,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CHICAGO_ACTION,BROOKLYN_SCORE,CHICAGO_SCORE
0,1,11:40.0,T. Young misses 2-pt jump shot from 4 ft (block by P. Gasol),,0,0
1,1,11:39.0,Offensive rebound by T. Young,,0,0
2,1,11:35.0,J. Johnson misses 3-pt jump shot from 24 ft,,0,0
3,1,11:34.0,Offensive rebound by B. Lopez,,0,0
4,1,11:23.0,T. Young makes 2-pt hook shot from 6 ft (assist by B. Lopez),,2,0
5,1,11:01.0,,N. Mirotić misses 2-pt jump shot from 20 ft,2,0
6,1,11:00.0,Defensive rebound by T. Young,,2,0
7,1,10:52.0,T. Young makes 2-pt jump shot from 3 ft,,4,0
8,1,10:36.0,,Turnover by D. Rose (bad pass),4,0
9,1,10:14.0,T. Young makes 2-pt hook shot from 10 ft,,6,0
10,1,10:04.0,,P. Gasol misses 2-pt jump shot from 17 ft,6,0
11,1,10:03.0,,Offensive rebound by T. Gibson,6,0
12,1,10:01.0,,T. Gibson makes 2-pt layup from 1 ft,6,2
13,1,9:43.0,B. Lopez makes 2-pt jump shot from 13 ft,,8,2
14,1,9:33.0,,D. Rose misses 3-pt jump shot from 24 ft,8,2
15,1,9:32.0,Defensive rebound by B. Lopez,,8,2
16,1,9:25.0,J. Jack misses 2-pt layup from 1 ft,,8,2
17,1,9:24.0,,Defensive rebound by T. Gibson,8,2
18,1,9:17.0,,J. Butler misses 3-pt jump shot from 23 ft,8,2
19,1,9:16.0,Defensive rebound by B. Lopez,,8,2
20,1,9:03.0,B. Lopez misses 2-pt jump shot from 12 ft,,8,2
21,1,9:02.0,,Defensive rebound by T. Gibson,8,2
22,1,8:49.0,,D. Rose makes 2-pt layup from 1 ft,8,4
23,1,8:49.0,,Shooting foul by B. Lopez (drawn by D. Rose),8,4
24,1,8:49.0,,D. Rose makes free throw 1 of 1,8,5
25,1,8:36.0,J. Jack misses 2-pt jump shot from 12 ft,,8,5
26,1,8:35.0,Offensive rebound by J. Jack,,8,5
27,1,8:21.0,B. Lopez makes 2-pt jump shot from 13 ft (assist by J. Johnson),,10,5
28,1,8:10.0,,Turnover by N. Mirotić (bad pass),10,5
29,1,7:55.0,T. Young misses 2-pt jump shot from 17 ft,,10,5
