,QUARTER,TIME_REMAINING,ORLANDO_ACTION,BOSTON_ACTION,ORLANDO_SCORE,BOSTON_SCORE
0,1,11:45.0,,J. Sullinger makes 2-pt layup from 1 ft (assist by A. Bradley),0,2
1,1,11:31.0,A. Gordon makes 3-pt jump shot from 24 ft (assist by N. Vučević),,3,2
2,1,11:18.0,,A. Bradley misses 3-pt jump shot from 24 ft,3,2
3,1,11:17.0,Defensive rebound by T. Harris,,3,2
4,1,11:03.0,A. Gordon misses 3-pt jump shot from 23 ft,,3,2
5,1,11:02.0,,Defensive rebound by J. Sullinger,3,2
6,1,10:46.0,,J. Sullinger misses 2-pt jump shot from 12 ft,3,2
7,1,10:45.0,Defensive rebound by T. Harris,,3,2
8,1,10:24.0,T. Harris misses 3-pt jump shot from 24 ft,,3,2
9,1,10:23.0,,Defensive rebound by A. Johnson,3,2
10,1,10:08.0,,Turnover by I. Thomas (bad pass; steal by A. Gordon),3,2
11,1,9:59.0,A. Gordon misses 2-pt layup from 1 ft,,3,2
12,1,9:58.0,Offensive rebound by A. Gordon,,3,2
13,1,9:48.0,E. Payton misses 2-pt jump shot from 12 ft,,3,2
14,1,9:47.0,Offensive rebound by V. Oladipo,,3,2
15,1,9:30.0,T. Harris misses 2-pt layup from 2 ft,,3,2
16,1,9:29.0,Offensive rebound by N. Vučević,,3,2
17,1,9:29.0,N. Vučević misses 2-pt layup from 1 ft,,3,2
18,1,9:28.0,Offensive rebound by T. Harris,,3,2
19,1,9:26.0,T. Harris misses 2-pt layup from 1 ft,,3,2
20,1,9:25.0,,Defensive rebound by J. Sullinger,3,2
21,1,9:10.0,,I. Thomas misses 2-pt jump shot from 14 ft,3,2
22,1,9:09.0,Defensive rebound by A. Gordon,,3,2
23,1,9:05.0,Turnover by A. Gordon (traveling),,3,2
24,1,8:55.0,,A. Bradley misses 2-pt jump shot from 13 ft,3,2
25,1,8:54.0,Defensive rebound by N. Vučević,,3,2
26,1,8:41.0,Shooting foul by A. Bradley (drawn by V. Oladipo),,3,2
27,1,8:41.0,V. Oladipo makes free throw 1 of 2,,4,2
28,1,8:41.0,V. Oladipo makes free throw 2 of 2,,5,2
29,1,8:17.0,,J. Sullinger makes 2-pt hook shot from 8 ft,5,4
30,1,8:06.0,T. Harris misses 2-pt layup from 2 ft,,5,4
31,1,8:05.0,Offensive rebound by A. Gordon,,5,4
32,1,8:05.0,Shooting foul by A. Johnson (drawn by A. Gordon),,5,4
33,1,8:05.0,A. Gordon makes free throw 1 of 2,,6,4
34,1,8:05.0,A. Gordon makes free throw 2 of 2,,7,4
35,1,7:47.0,,J. Sullinger makes 2-pt layup from 1 ft,7,6
36,1,7:47.0,,Shooting foul by A. Gordon (drawn by J. Sullinger),7,6
37,1,7:47.0,,J. Sullinger makes free throw 1 of 1,7,7
38,1,7:38.0,Personal foul by I. Thomas (drawn by E. Payton),,7,7
39,1,7:21.0,V. Oladipo misses 3-pt jump shot from 27 ft,,7,7
40,1,7:20.0,,Defensive rebound by A. Johnson,7,7
41,1,7:09.0,,I. Thomas misses 2-pt jump shot from 4 ft,7,7
42,1,7:08.0,Defensive rebound by A. Gordon,,7,7
43,1,6:59.0,E. Payton misses 2-pt layup from 2 ft (block by J. Sullinger),,7,7
44,1,6:58.0,,Defensive rebound by J. Sullinger,7,7
45,1,6:49.0,,A. Johnson misses 2-pt jump shot from 7 ft,7,7
46,1,6:48.0,Defensive rebound by A. Gordon,,7,7
47,1,6:42.0,E. Payton makes 2-pt layup from 2 ft (assist by V. Oladipo),,9,7
48,1,6:32.0,,Personal foul by E. Payton (drawn by I. Thomas),9,7
49,1,6:20.0,,J. Sullinger misses 2-pt jump shot from 16 ft,9,7
50,1,6:19.0,Defensive rebound by A. Gordon,,9,7
51,1,6:02.0,V. Oladipo misses 2-pt jump shot from 19 ft,,9,7
52,1,6:01.0,,Defensive rebound by A. Johnson,9,7
53,1,5:53.0,,I. Thomas makes 2-pt layup from 1 ft,9,9
54,1,5:31.0,N. Vučević makes 2-pt hook shot from 5 ft (assist by A. Gordon),,11,9
55,1,5:21.0,,A. Bradley misses 3-pt jump shot from 26 ft,11,9
56,1,5:20.0,,Offensive rebound by A. Johnson,11,9
57,1,5:15.0,,J. Sullinger makes 2-pt layup at rim (assist by I. Thomas),11,11
58,1,5:09.0,Orlando full timeout,,11,11
59,1,4:56.0,T. Harris makes 3-pt jump shot from 25 ft (assist by N. Vučević),,14,11
60,1,4:37.0,,Shooting foul by E. Payton (drawn by I. Thomas),14,11
61,1,4:37.0,,I. Thomas makes free throw 1 of 2,14,12
62,1,4:37.0,E. Fournier enters the game for E. Payton,,14,12
63,1,4:37.0,,I. Thomas makes free throw 2 of 2,14,13
64,1,4:13.0,V. Oladipo misses 2-pt jump shot from 8 ft,,14,13
65,1,4:12.0,,Defensive rebound by J. Sullinger,14,13
66,1,4:05.0,,I. Thomas makes 2-pt jump shot from 22 ft,14,15
67,1,3:45.0,N. Vučević misses 2-pt jump shot from 4 ft,,14,15
68,1,3:44.0,,Defensive rebound by J. Sullinger,14,15
69,1,3:36.0,,I. Thomas misses 3-pt jump shot from 26 ft,14,15
70,1,3:35.0,Defensive rebound by N. Vučević,,14,15
71,1,3:22.0,Turnover by T. Harris (bad pass),,14,15
72,1,3:22.0,,E. Turner enters the game for J. Sullinger,14,15
73,1,3:22.0,,M. Smart enters the game for A. Bradley,14,15
74,1,3:11.0,,A. Johnson makes 2-pt dunk at rim (assist by I. Thomas),14,17
75,1,2:55.0,Turnover by T. Harris (bad pass),,14,17
76,1,2:55.0,,Boston full timeout,14,17
77,1,2:55.0,C. Frye enters the game for A. Gordon,,14,17
78,1,2:55.0,S. Napier enters the game for V. Oladipo,,14,17
79,1,2:55.0,M. Hezonja enters the game for T. Harris,,14,17
80,1,2:35.0,,J. Crowder makes 2-pt jump shot from 12 ft (assist by I. Thomas),14,19
81,1,2:22.0,S. Napier makes 2-pt jump shot from 7 ft,,16,19
82,1,2:04.0,,J. Crowder misses 3-pt jump shot from 25 ft,16,19
83,1,2:02.0,Defensive rebound by E. Fournier,,16,19
84,1,1:51.0,C. Frye makes 2-pt jump shot from 20 ft (assist by E. Fournier),,18,19
85,1,1:44.0,,I. Thomas misses 2-pt layup from 2 ft,18,19
86,1,1:43.0,Defensive rebound by N. Vučević,,18,19
87,1,1:27.0,E. Fournier misses 2-pt jump shot from 15 ft,,18,19
88,1,1:26.0,,Defensive rebound by A. Johnson,18,19
89,1,1:14.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by I. Thomas),18,22
90,1,1:00.0,Turnover by M. Hezonja (bad pass; steal by J. Crowder),,18,22
91,1,0:58.0,,E. Turner makes 2-pt layup from 1 ft,18,24
92,1,0:45.0,S. Napier misses 3-pt jump shot from 26 ft,,18,24
93,1,0:44.0,Offensive rebound by Team,,18,24
94,1,0:44.0,,Loose ball foul by E. Turner (drawn by C. Frye),18,24
95,1,0:44.0,,K. Olynyk enters the game for I. Thomas,18,24
96,1,0:37.0,E. Fournier makes 2-pt jump shot from 20 ft,,20,24
97,1,0:28.0,,J. Crowder makes 2-pt layup from 2 ft (assist by E. Turner),20,26
98,1,0:08.0,E. Fournier makes 2-pt jump shot from 19 ft (assist by S. Napier),,22,26
99,1,0:00.0,,E. Turner misses 2-pt jump shot from 13 ft,22,26
100,1,0:00.0,,Offensive rebound by Team,22,26
101,2,11:48.0,J. Smith misses 2-pt layup from 1 ft,,22,26
102,2,11:47.0,,Defensive rebound by E. Turner,22,26
103,2,11:27.0,,K. Olynyk misses 2-pt layup from 1 ft (block by C. Frye),22,26
104,2,11:26.0,Defensive rebound by C. Frye,,22,26
105,2,11:21.0,Turnover by S. Napier (bad pass),,22,26
106,2,11:14.0,,Personal foul by E. Fournier (drawn by E. Turner),22,26
107,2,10:59.0,,K. Olynyk misses 2-pt jump shot from 17 ft,22,26
108,2,10:58.0,Defensive rebound by C. Frye,,22,26
109,2,10:43.0,Turnover by C. Frye (bad pass; steal by E. Turner),,22,26
110,2,10:36.0,,E. Turner makes 2-pt jump shot from 11 ft,22,28
111,2,10:17.0,S. Napier makes 2-pt jump shot from 22 ft,,24,28
112,2,9:58.0,,Shooting foul by M. Hezonja (drawn by E. Turner),24,28
113,2,9:58.0,,E. Turner makes free throw 1 of 2,24,29
114,2,9:58.0,,E. Turner makes free throw 2 of 2,24,30
115,2,9:36.0,E. Fournier misses 2-pt jump shot from 12 ft (block by M. Smart),,24,30
116,2,9:35.0,,Defensive rebound by M. Smart,24,30
117,2,9:34.0,,Personal foul by E. Fournier (drawn by M. Smart),24,30
118,2,9:23.0,,E. Turner misses 2-pt jump shot from 10 ft,24,30
119,2,9:20.0,,Offensive rebound by J. Jerebko,24,30
120,2,9:16.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by E. Turner),24,33
121,2,9:01.0,Shooting foul by K. Olynyk (drawn by E. Fournier),,24,33
122,2,9:01.0,E. Fournier misses free throw 1 of 2,,24,33
123,2,9:01.0,Offensive rebound by Team,,24,33
124,2,9:01.0,E. Fournier makes free throw 2 of 2,,25,33
125,2,8:48.0,,A. Bradley makes 2-pt jump shot from 20 ft (assist by K. Olynyk),25,35
126,2,8:36.0,E. Fournier makes 2-pt layup from 2 ft,,27,35
127,2,8:25.0,,Shooting foul by M. Hezonja (drawn by E. Turner),27,35
128,2,8:25.0,,E. Turner makes 2-pt jump shot from 3 ft,27,37
129,2,8:25.0,Official timeout,,27,37
130,2,8:25.0,,E. Turner makes free throw 1 of 1,27,38
131,2,8:09.0,Shooting foul by M. Smart (drawn by E. Fournier),,27,38
132,2,8:09.0,E. Fournier makes free throw 1 of 2,,28,38
133,2,8:09.0,E. Payton enters the game for S. Napier,,28,38
134,2,8:09.0,E. Fournier misses free throw 2 of 2,,28,38
135,2,8:09.0,,Defensive rebound by E. Turner,28,38
136,2,7:54.0,,Turnover by J. Jerebko (lost ball; steal by E. Fournier),28,38
137,2,7:50.0,M. Hezonja makes 2-pt dunk at rim (assist by E. Fournier),,30,38
138,2,7:28.0,,A. Bradley misses 3-pt jump shot from 26 ft,30,38
139,2,7:27.0,Defensive rebound by E. Payton,,30,38
140,2,7:17.0,E. Payton misses 2-pt layup from 2 ft,,30,38
141,2,7:16.0,Offensive rebound by J. Smith,,30,38
142,2,7:16.0,J. Smith makes 2-pt layup from 1 ft,,32,38
143,2,7:03.0,,Turnover by E. Turner (bad pass; steal by J. Smith),32,38
144,2,6:57.0,Turnover by C. Frye (step out of bounds),,32,38
145,2,6:38.0,,Turnover by E. Turner (bad pass; steal by C. Frye),32,38
146,2,6:27.0,J. Smith misses 2-pt jump shot from 19 ft,,32,38
147,2,6:26.0,,Defensive rebound by J. Jerebko,32,38
148,2,6:15.0,,Shooting foul by J. Smith (drawn by K. Olynyk),32,38
149,2,6:15.0,,K. Olynyk misses free throw 1 of 2,32,38
150,2,6:15.0,,Offensive rebound by Team,32,38
151,2,6:15.0,V. Oladipo enters the game for E. Fournier,,32,38
152,2,6:15.0,,K. Olynyk makes free throw 2 of 2,32,39
153,2,6:07.0,Offensive foul by J. Smith (drawn by A. Bradley),,32,39
154,2,6:07.0,Turnover by J. Smith (offensive foul),,32,39
155,2,6:07.0,N. Vučević enters the game for J. Smith,,32,39
156,2,5:54.0,,K. Olynyk makes 2-pt dunk at rim,32,41
157,2,5:40.0,N. Vučević misses 2-pt jump shot from 20 ft,,32,41
158,2,5:39.0,,Defensive rebound by J. Jerebko,32,41
159,2,5:30.0,,K. Olynyk misses 3-pt jump shot from 26 ft,32,41
160,2,5:29.0,Defensive rebound by E. Payton,,32,41
161,2,5:18.0,E. Payton misses 2-pt layup from 1 ft,,32,41
162,2,5:17.0,,Defensive rebound by J. Jerebko,32,41
