,QUARTER,TIME_REMAINING,DENVER_ACTION,LA LAKERS_ACTION,DENVER_SCORE,LA LAKERS_SCORE
0,1,11:42.0,,K. Bryant misses 2-pt jump shot from 15 ft,0,0
1,1,11:38.0,Defensive rebound by E. Mudiay,,0,0
2,1,11:27.0,E. Mudiay misses 2-pt jump shot from 19 ft,,0,0
3,1,11:26.0,,Defensive rebound by J. Randle,0,0
4,1,11:15.0,,J. Clarkson makes 3-pt jump shot from 24 ft (assist by J. Randle),0,3
5,1,11:02.0,Turnover by N. Jokić (lost ball; steal by J. Clarkson),,0,3
6,1,10:54.0,,K. Bryant makes 2-pt layup from 1 ft (assist by J. Clarkson),0,5
7,1,10:27.0,E. Mudiay makes 2-pt jump shot from 19 ft,,2,5
8,1,10:09.0,,K. Bryant misses 3-pt jump shot from 24 ft,2,5
9,1,10:08.0,Defensive rebound by N. Jokić,,2,5
10,1,10:00.0,J. Sampson makes 2-pt layup from 1 ft (assist by N. Jokić),,4,5
11,1,9:42.0,,R. Hibbert misses 2-pt hook shot from 6 ft,4,5
12,1,9:38.0,Defensive rebound by N. Jokić,,4,5
13,1,9:21.0,E. Mudiay misses 2-pt jump shot from 12 ft,,4,5
14,1,9:19.0,,Defensive rebound by J. Randle,4,5
15,1,9:12.0,,D. Russell misses 2-pt jump shot from 18 ft,4,5
16,1,9:09.0,Defensive rebound by N. Jokić,,4,5
17,1,9:03.0,J. Sampson misses 2-pt jump shot from 19 ft,,4,5
18,1,9:01.0,,Defensive rebound by J. Randle,4,5
19,1,8:56.0,,J. Clarkson makes 3-pt jump shot from 24 ft (assist by J. Randle),4,8
20,1,8:41.0,N. Jokić misses 2-pt layup at rim,,4,8
21,1,8:38.0,,Defensive rebound by J. Randle,4,8
22,1,8:33.0,,K. Bryant misses 2-pt jump shot from 7 ft,4,8
23,1,8:32.0,,Offensive rebound by R. Hibbert,4,8
24,1,8:32.0,,Shooting foul by N. Jokić (drawn by R. Hibbert),4,8
25,1,8:32.0,,R. Hibbert makes free throw 1 of 2,4,9
26,1,8:32.0,,R. Hibbert makes free throw 2 of 2,4,10
27,1,8:12.0,N. Jokić misses 3-pt jump shot from 24 ft,,4,10
28,1,8:11.0,,Defensive rebound by J. Clarkson,4,10
29,1,7:57.0,,K. Bryant misses 2-pt jump shot from 17 ft,4,10
30,1,7:55.0,Defensive rebound by N. Jokić,,4,10
31,1,7:47.0,G. Harris misses 2-pt jump shot from 13 ft,,4,10
32,1,7:45.0,,Defensive rebound by R. Hibbert,4,10
33,1,7:36.0,,J. Clarkson makes 3-pt jump shot from 25 ft,4,13
34,1,7:36.0,Denver full timeout,,4,13
35,1,7:21.0,N. Jokić makes 2-pt layup from 1 ft (assist by D. Arthur),,6,13
36,1,7:05.0,,J. Randle misses 2-pt jump shot from 8 ft (block by D. Arthur),6,13
37,1,7:05.0,,Offensive rebound by Team,6,13
38,1,7:05.0,,Personal foul by G. Harris,6,13
39,1,6:55.0,,Shooting foul by J. Sampson (drawn by K. Bryant),6,13
40,1,6:55.0,,K. Bryant makes free throw 1 of 2,6,14
41,1,6:55.0,,K. Bryant makes free throw 2 of 2,6,15
42,1,6:50.0,Shooting foul by R. Hibbert (drawn by E. Mudiay),,6,15
43,1,6:50.0,E. Mudiay makes free throw 1 of 2,,7,15
44,1,6:50.0,E. Mudiay misses free throw 2 of 2,,7,15
45,1,6:49.0,,Defensive rebound by J. Randle,7,15
46,1,6:32.0,,J. Clarkson misses 2-pt jump shot from 17 ft,7,15
47,1,6:30.0,Defensive rebound by D. Arthur,,7,15
