,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,PORTLAND_ACTION,LA LAKERS_SCORE,PORTLAND_SCORE
0,1,11:48.0,,Turnover by D. Lillard (bad pass; steal by J. Clarkson),0,0
1,1,11:41.0,J. Randle makes 2-pt dunk at rim (assist by J. Clarkson),,2,0
2,1,11:29.0,,C. McCollum makes 2-pt jump shot from 18 ft (assist by D. Lillard),2,2
3,1,10:59.0,R. Hibbert makes 2-pt hook shot from 4 ft,,4,2
4,1,10:44.0,,C. McCollum makes 2-pt jump shot from 14 ft,4,4
5,1,10:24.0,J. Randle misses 2-pt jump shot from 10 ft,,4,4
6,1,10:24.0,Offensive rebound by Team,,4,4
7,1,10:24.0,,Loose ball foul by M. Plumlee (drawn by R. Hibbert),4,4
8,1,10:12.0,Turnover by R. Hibbert (lost ball; steal by M. Plumlee),,4,4
9,1,10:04.0,,C. McCollum makes 2-pt jump shot from 18 ft,4,6
10,1,9:47.0,J. Randle makes 2-pt hook shot from 1 ft (assist by K. Bryant),,6,6
11,1,9:35.0,,C. McCollum makes 3-pt jump shot from 23 ft (assist by M. Plumlee),6,9
12,1,9:14.0,K. Bryant misses 2-pt jump shot from 21 ft,,6,9
13,1,9:12.0,,Defensive rebound by Team,6,9
14,1,9:02.0,,C. McCollum misses 3-pt jump shot from 25 ft,6,9
15,1,9:00.0,Defensive rebound by J. Clarkson,,6,9
16,1,8:42.0,K. Bryant misses 2-pt jump shot from 17 ft,,6,9
17,1,8:40.0,,Defensive rebound by N. Vonleh,6,9
18,1,8:34.0,,D. Lillard makes 2-pt layup at rim,6,11
19,1,8:34.0,,Away from play foul by J. Randle (drawn by M. Plumlee),6,11
20,1,8:34.0,,M. Plumlee makes free throw 1 of 1,6,12
21,1,8:16.0,D. Russell misses 3-pt jump shot from 24 ft,,6,12
22,1,8:15.0,,Defensive rebound by N. Vonleh,6,12
23,1,8:06.0,,Turnover by M. Plumlee (lost ball; steal by J. Clarkson),6,12
24,1,8:02.0,Turnover by J. Clarkson (bad pass; steal by N. Vonleh),,6,12
25,1,7:57.0,,N. Vonleh makes 2-pt dunk at rim,6,14
26,1,7:49.0,LA Lakers full timeout,,6,14
27,1,7:37.0,J. Randle makes 2-pt jump shot from 17 ft (assist by J. Clarkson),,8,14
28,1,7:20.0,,D. Lillard misses 3-pt jump shot from 24 ft,8,14
29,1,7:20.0,Defensive rebound by J. Clarkson,,8,14
30,1,7:05.0,K. Bryant misses 2-pt jump shot from 10 ft,,8,14
31,1,7:03.0,,Defensive rebound by A. Aminu,8,14
32,1,6:51.0,,N. Vonleh makes 2-pt hook shot from 4 ft (assist by D. Lillard),8,16
33,1,6:30.0,D. Russell misses 2-pt jump shot from 19 ft,,8,16
34,1,6:29.0,,Defensive rebound by A. Aminu,8,16
35,1,6:24.0,,Shooting foul by J. Randle (drawn by A. Aminu),8,16
36,1,6:24.0,,A. Aminu makes free throw 1 of 2,8,17
37,1,6:24.0,L. Nance enters the game for J. Randle,,8,17
38,1,6:24.0,,A. Aminu misses free throw 2 of 2,8,17
39,1,6:23.0,Defensive rebound by R. Hibbert,,8,17
40,1,6:08.0,J. Clarkson misses 2-pt jump shot from 18 ft,,8,17
41,1,6:07.0,,Defensive rebound by D. Lillard,8,17
42,1,6:03.0,,Turnover by D. Lillard (bad pass; steal by J. Clarkson),8,17
43,1,5:59.0,Turnover by D. Russell (lost ball),,8,17
44,1,5:42.0,,A. Aminu makes 2-pt jump shot from 15 ft,8,19
45,1,5:27.0,K. Bryant makes 2-pt jump shot from 15 ft (assist by D. Russell),,10,19
46,1,5:09.0,,C. McCollum makes 2-pt jump shot from 20 ft (assist by M. Plumlee),10,21
47,1,4:47.0,K. Bryant makes 2-pt jump shot from 18 ft,,12,21
48,1,4:29.0,,C. McCollum makes 3-pt jump shot from 23 ft (assist by D. Lillard),12,24
49,1,4:09.0,K. Bryant misses 2-pt jump shot from 20 ft,,12,24
50,1,4:09.0,,Defensive rebound by N. Vonleh,12,24
