,QUARTER,TIME_REMAINING,TORONTO_ACTION,MILWAUKEE_ACTION,TORONTO_SCORE,MILWAUKEE_SCORE
0,1,11:39.0,N. Powell misses 3-pt jump shot from 24 ft,,0,0
1,1,11:37.0,,Defensive rebound by J. Parker,0,0
2,1,11:15.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by J. Parker),0,2
3,1,10:58.0,Shooting foul by J. Bayless (drawn by K. Lowry),,0,2
4,1,10:58.0,K. Lowry misses free throw 1 of 3,,0,2
5,1,10:58.0,Offensive rebound by Team,,0,2
6,1,10:58.0,K. Lowry makes free throw 2 of 3,,1,2
7,1,10:58.0,K. Lowry makes free throw 3 of 3,,2,2
8,1,10:41.0,,J. Parker misses 2-pt jump shot from 20 ft,2,2
9,1,10:39.0,Defensive rebound by B. Biyombo,,2,2
10,1,10:28.0,B. Biyombo makes 2-pt hook shot from 4 ft (assist by K. Lowry),,4,2
11,1,10:12.0,,K. Middleton misses 2-pt jump shot from 20 ft,4,2
12,1,10:10.0,Defensive rebound by L. Scola,,4,2
13,1,10:02.0,Personal foul by G. Antetokounmpo,,4,2
14,1,9:48.0,N. Powell misses 2-pt jump shot from 13 ft,,4,2
15,1,9:47.0,Offensive rebound by J. Johnson,,4,2
16,1,9:37.0,K. Lowry makes 2-pt jump shot from 16 ft,,6,2
17,1,9:15.0,,J. Bayless makes 2-pt jump shot from 8 ft (assist by J. Parker),6,4
18,1,8:56.0,J. Johnson makes 2-pt layup from 1 ft (assist by K. Lowry),,8,4
19,1,8:41.0,,G. Monroe makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),8,6
20,1,8:41.0,,Shooting foul by B. Biyombo (drawn by G. Monroe),8,6
21,1,8:41.0,,G. Monroe misses free throw 1 of 1,8,6
22,1,8:40.0,Defensive rebound by L. Scola,,8,6
23,1,8:25.0,K. Lowry misses 3-pt jump shot from 24 ft,,8,6
24,1,8:24.0,,Defensive rebound by G. Antetokounmpo,8,6
25,1,8:04.0,,Shooting foul by N. Powell (drawn by G. Antetokounmpo),8,6
26,1,8:04.0,,G. Antetokounmpo misses free throw 1 of 2,8,6
27,1,8:04.0,,Offensive rebound by Team,8,6
28,1,8:04.0,,G. Antetokounmpo misses free throw 2 of 2,8,6
29,1,8:02.0,Defensive rebound by B. Biyombo,,8,6
30,1,7:47.0,J. Johnson makes 2-pt layup at rim,,10,6
31,1,7:36.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,10,8
32,1,7:11.0,Turnover by L. Scola (lost ball; steal by K. Middleton),,10,8
33,1,7:04.0,,J. Bayless makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),10,11
34,1,6:45.0,N. Powell misses 2-pt jump shot from 20 ft,,10,11
35,1,6:43.0,,Defensive rebound by G. Antetokounmpo,10,11
36,1,6:37.0,,G. Antetokounmpo misses 2-pt layup from 1 ft (block by N. Powell),10,11
37,1,6:34.0,,Offensive rebound by G. Antetokounmpo,10,11
38,1,6:30.0,,G. Monroe makes 2-pt layup at rim (assist by K. Middleton),10,13
39,1,6:20.0,Toronto full timeout,,10,13
40,1,6:16.0,Shooting foul by G. Monroe (drawn by K. Lowry),,10,13
41,1,6:16.0,K. Lowry makes free throw 1 of 2,,11,13
42,1,6:16.0,K. Lowry misses free throw 2 of 2,,11,13
43,1,6:15.0,,Defensive rebound by G. Monroe,11,13
44,1,5:52.0,,G. Antetokounmpo makes 2-pt layup at rim,11,15
45,1,5:43.0,J. Johnson misses 2-pt jump shot from 16 ft,,11,15
46,1,5:42.0,,Defensive rebound by G. Antetokounmpo,11,15
47,1,5:29.0,,Shooting foul by J. Johnson (drawn by G. Antetokounmpo),11,15
48,1,5:29.0,,G. Antetokounmpo misses free throw 1 of 2,11,15
49,1,5:29.0,,Offensive rebound by Team,11,15
50,1,5:29.0,T. Ross enters the game for N. Powell,,11,15
51,1,5:29.0,,G. Antetokounmpo makes free throw 2 of 2,11,16
52,1,5:13.0,B. Biyombo makes 2-pt layup at rim (assist by K. Lowry),,13,16
53,1,5:00.0,,Personal foul by T. Ross,13,16
54,1,4:52.0,,K. Middleton makes 2-pt jump shot from 15 ft,13,18
55,1,4:35.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by B. Biyombo),,16,18
56,1,4:16.0,,J. Parker makes 2-pt jump shot from 20 ft (assist by G. Antetokounmpo),16,20
57,1,3:59.0,L. Scola makes 2-pt jump shot from 3 ft (assist by J. Johnson),,18,20
58,1,3:44.0,,G. Antetokounmpo misses 3-pt jump shot from 22 ft,18,20
59,1,3:43.0,Defensive rebound by L. Scola,,18,20
60,1,3:31.0,B. Biyombo makes 2-pt jump shot from 16 ft (assist by K. Lowry),,20,20
61,1,3:13.0,,Shooting foul by K. Lowry (drawn by J. Bayless),20,20
62,1,3:13.0,,J. Bayless makes free throw 1 of 2,20,21
63,1,3:13.0,P. Patterson enters the game for L. Scola,,20,21
64,1,3:13.0,C. Joseph enters the game for K. Lowry,,20,21
65,1,3:13.0,,M. Plumlee enters the game for G. Monroe,20,21
66,1,3:13.0,,J. Bayless makes free throw 2 of 2,20,22
67,1,3:00.0,T. Ross misses 3-pt jump shot from 26 ft,,20,22
68,1,2:59.0,,Defensive rebound by M. Plumlee,20,22
69,1,2:48.0,,J. Bayless misses 3-pt jump shot from 24 ft,20,22
70,1,2:46.0,Defensive rebound by B. Biyombo,,20,22
71,1,2:36.0,C. Joseph misses 2-pt layup from 1 ft,,20,22
72,1,2:36.0,,Defensive rebound by Team,20,22
73,1,2:36.0,,Milwaukee full timeout,20,22
74,1,2:36.0,,T. Ennis enters the game for J. Parker,20,22
75,1,2:36.0,,J. O'Bryant enters the game for J. Bayless,20,22
76,1,2:36.0,N. Powell enters the game for J. Johnson,,20,22
77,1,2:36.0,J. Thompson enters the game for B. Biyombo,,20,22
78,1,2:23.0,,K. Middleton misses 2-pt jump shot from 7 ft (block by J. Thompson),20,22
79,1,2:21.0,,Offensive rebound by M. Plumlee,20,22
80,1,2:20.0,,M. Plumlee misses 2-pt layup from 2 ft,20,22
81,1,2:19.0,Defensive rebound by T. Ross,,20,22
82,1,2:02.0,C. Joseph misses 2-pt jump shot from 8 ft,,20,22
83,1,2:00.0,Offensive rebound by C. Joseph,,20,22
84,1,1:55.0,P. Patterson misses 3-pt jump shot from 24 ft,,20,22
85,1,1:54.0,,Defensive rebound by G. Antetokounmpo,20,22
86,1,1:40.0,,M. Plumlee makes 2-pt layup from 3 ft (assist by K. Middleton),20,24
87,1,1:18.0,P. Patterson misses 2-pt jump shot from 8 ft,,20,24
88,1,1:17.0,Offensive rebound by J. Thompson,,20,24
89,1,1:12.0,J. Thompson makes 2-pt layup from 2 ft,,22,24
90,1,1:01.0,,Personal foul by J. Thompson,22,24
91,1,1:01.0,,M. Plumlee makes free throw 1 of 2,22,25
92,1,1:01.0,,M. Plumlee makes free throw 2 of 2,22,26
93,1,0:42.0,Turnover by T. Ross (lost ball; steal by K. Middleton),,22,26
94,1,0:38.0,,M. Plumlee makes 2-pt dunk at rim (assist by K. Middleton),22,28
95,1,0:15.0,T. Ross misses 3-pt jump shot from 24 ft,,22,28
96,1,0:13.0,,Defensive rebound by J. O'Bryant,22,28
97,1,0:03.0,,M. Plumlee misses 2-pt layup from 1 ft (block by P. Patterson),22,28
98,1,0:01.0,,Offensive rebound by M. Plumlee,22,28
99,2,11:45.0,,J. Parker misses 2-pt hook shot from 2 ft,22,28
100,2,11:44.0,Defensive rebound by P. Patterson,,22,28
101,2,11:26.0,Shooting foul by R. Vaughn (drawn by K. Lowry),,22,28
102,2,11:26.0,K. Lowry makes free throw 1 of 3,,23,28
103,2,11:26.0,K. Lowry makes free throw 2 of 3,,24,28
104,2,11:26.0,K. Lowry makes free throw 3 of 3,,25,28
105,2,11:13.0,,Turnover by M. Plumlee (bad pass; steal by P. Patterson),25,28
106,2,10:52.0,P. Patterson makes 2-pt jump shot from 9 ft (assist by K. Lowry),,27,28
107,2,10:40.0,Violation by T. Ross (kicked ball),,27,28
108,2,10:40.0,,J. Bayless enters the game for R. Vaughn,27,28
