,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,CLEVELAND_ACTION,MEMPHIS_SCORE,CLEVELAND_SCORE
0,1,11:42.0,J. Green makes 2-pt jump shot from 20 ft (assist by M. Chalmers),,2,0
1,1,11:23.0,,Turnover by J. Smith (bad pass; steal by M. Chalmers),2,0
2,1,11:18.0,T. Allen makes 2-pt dunk from 1 ft (assist by J. Green),,4,0
3,1,11:00.0,,J. Smith misses 3-pt jump shot from 25 ft,4,0
4,1,10:59.0,Defensive rebound by P. Hairston,,4,0
5,1,10:44.0,M. Chalmers misses 3-pt jump shot from 23 ft,,4,0
6,1,10:43.0,,Defensive rebound by K. Love,4,0
7,1,10:29.0,,K. Love misses 3-pt jump shot from 25 ft,4,0
8,1,10:29.0,,Offensive rebound by T. Mozgov,4,0
9,1,10:19.0,,L. James makes 2-pt layup from 1 ft (assist by K. Irving),4,2
10,1,9:56.0,P. Hairston misses 3-pt jump shot from 25 ft,,4,2
11,1,9:55.0,,Defensive rebound by T. Mozgov,4,2
12,1,9:47.0,,Turnover by K. Love (lost ball; steal by T. Allen),4,2
13,1,9:38.0,P. Hairston makes 3-pt jump shot from 23 ft (assist by J. Green),,7,2
14,1,9:18.0,,T. Mozgov misses 2-pt jump shot from 17 ft,7,2
15,1,9:18.0,Defensive rebound by M. Chalmers,,7,2
16,1,9:12.0,Turnover by M. Chalmers (bad pass; steal by T. Mozgov),,7,2
17,1,9:06.0,,L. James misses 2-pt layup from 2 ft (block by R. Hollins),7,2
18,1,9:04.0,,Offensive rebound by L. James,7,2
19,1,9:04.0,Violation by J. Green (def goaltending),,7,2
20,1,9:04.0,,L. James makes 2-pt layup from 1 ft,7,4
21,1,8:52.0,R. Hollins makes 2-pt jump shot from 5 ft (assist by T. Allen),,9,4
22,1,8:39.0,,K. Irving misses 3-pt jump shot from 23 ft,9,4
23,1,8:38.0,Defensive rebound by R. Hollins,,9,4
24,1,8:29.0,T. Allen makes 2-pt jump shot from 21 ft,,11,4
25,1,8:18.0,,Def 3 sec tech foul by R. Hollins,11,4
26,1,8:18.0,,K. Irving makes technical free throw,11,5
27,1,8:11.0,,Shooting foul by J. Green (drawn by K. Love),11,5
28,1,8:11.0,,K. Love makes free throw 1 of 2,11,6
29,1,8:11.0,,K. Love makes free throw 2 of 2,11,7
30,1,7:59.0,Turnover by P. Hairston (bad pass),,11,7
31,1,7:59.0,Loose ball foul by M. Chalmers (drawn by J. Smith),,11,7
32,1,7:50.0,,L. James misses 2-pt layup at rim,11,7
33,1,7:48.0,,Offensive rebound by T. Mozgov,11,7
34,1,7:48.0,,T. Mozgov misses 2-pt layup at rim,11,7
35,1,7:47.0,,Offensive rebound by T. Mozgov,11,7
36,1,7:47.0,,T. Mozgov makes 2-pt layup at rim,11,9
37,1,7:29.0,P. Hairston misses 3-pt jump shot from 22 ft,,11,9
38,1,7:29.0,,Defensive rebound by Team,11,9
39,1,7:09.0,,K. Love makes 2-pt dunk at rim (assist by T. Mozgov),11,11
40,1,6:52.0,M. Chalmers misses 2-pt layup from 1 ft,,11,11
41,1,6:50.0,,Defensive rebound by K. Love,11,11
42,1,6:40.0,,Personal foul by P. Hairston (drawn by L. James),11,11
43,1,6:26.0,,Turnover by T. Mozgov (lost ball; steal by T. Allen),11,11
44,1,6:19.0,M. Chalmers makes 2-pt layup at rim,,13,11
45,1,6:02.0,,Turnover by K. Irving (bad pass; steal by J. Green),13,11
46,1,5:58.0,Shooting foul by K. Irving (drawn by P. Hairston),,13,11
47,1,5:58.0,,Cleveland full timeout,13,11
48,1,5:58.0,J. Martin enters the game for J. Green,,13,11
49,1,5:58.0,P. Hairston makes free throw 1 of 2,,14,11
50,1,5:58.0,P. Hairston misses free throw 2 of 2,,14,11
51,1,5:57.0,,Defensive rebound by J. Smith,14,11
52,1,5:35.0,,J. Smith misses 2-pt jump shot from 21 ft,14,11
53,1,5:35.0,Defensive rebound by M. Chalmers,,14,11
54,1,5:25.0,T. Allen makes 2-pt layup from 1 ft,,16,11
55,1,5:07.0,,K. Irving misses 2-pt jump shot from 6 ft,16,11
56,1,5:07.0,Defensive rebound by R. Hollins,,16,11
57,1,4:46.0,J. Martin misses 2-pt jump shot from 4 ft,,16,11
58,1,4:46.0,,Defensive rebound by T. Mozgov,16,11
59,1,4:40.0,,K. Love makes 2-pt dunk at rim (assist by L. James),16,13
60,1,4:16.0,R. Hollins makes 2-pt jump shot from 9 ft (assist by T. Allen),,18,13
61,1,4:04.0,,L. James makes 2-pt layup from 1 ft (assist by K. Irving),18,15
62,1,3:48.0,Shooting foul by T. Mozgov (drawn by T. Allen),,18,15
63,1,3:48.0,T. Allen makes free throw 1 of 2,,19,15
64,1,3:48.0,L. Stephenson enters the game for M. Chalmers,,19,15
65,1,3:48.0,,M. Dellavedova enters the game for K. Irving,19,15
66,1,3:48.0,,T. Thompson enters the game for T. Mozgov,19,15
67,1,3:48.0,T. Allen makes free throw 2 of 2,,20,15
68,1,3:35.0,,L. James makes 3-pt jump shot from 26 ft (assist by K. Love),20,18
69,1,3:16.0,J. Martin misses 2-pt layup at rim,,20,18
70,1,3:12.0,Offensive rebound by J. Martin,,20,18
71,1,3:12.0,J. Martin makes 2-pt layup from 1 ft,,22,18
72,1,3:05.0,,L. James misses 3-pt jump shot from 25 ft,22,18
73,1,3:04.0,,Offensive rebound by K. Love,22,18
74,1,3:00.0,,J. Smith misses 2-pt jump shot from 16 ft,22,18
75,1,2:59.0,Defensive rebound by J. Martin,,22,18
76,1,2:48.0,T. Allen misses 2-pt jump shot from 5 ft,,22,18
77,1,2:42.0,,Defensive rebound by K. Love,22,18
78,1,2:40.0,,Shooting foul by P. Hairston (drawn by J. Smith),22,18
79,1,2:40.0,Memphis full timeout,,22,18
80,1,2:40.0,J. Green enters the game for R. Hollins,,22,18
81,1,2:40.0,V. Carter enters the game for T. Allen,,22,18
82,1,2:40.0,,J. Smith misses free throw 1 of 2,22,18
83,1,2:40.0,,Offensive rebound by Team,22,18
84,1,2:40.0,,J. Smith makes free throw 2 of 2,22,19
85,1,2:22.0,L. Stephenson makes 2-pt jump shot from 13 ft,,24,19
86,1,2:03.0,,K. Love misses 2-pt jump shot from 5 ft (block by J. Green),24,19
87,1,2:03.0,Defensive rebound by Team,,24,19
88,1,2:03.0,,I. Shumpert enters the game for J. Smith,24,19
