,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MILWAUKEE_ACTION,GOLDEN STATE_SCORE,MILWAUKEE_SCORE
0,1,11:46.0,,J. Parker makes 2-pt jump shot from 13 ft (assist by G. Antetokounmpo),0,2
1,1,11:27.0,D. Green misses 3-pt jump shot from 26 ft,,0,2
2,1,11:26.0,,Defensive rebound by Team,0,2
3,1,11:15.0,,G. Antetokounmpo misses 2-pt jump shot from 10 ft,0,2
4,1,11:14.0,Defensive rebound by S. Curry,,0,2
5,1,11:07.0,S. Curry misses 3-pt jump shot from 29 ft,,0,2
6,1,11:03.0,Offensive rebound by K. Thompson,,0,2
7,1,11:01.0,A. Bogut makes 2-pt dunk at rim (assist by K. Thompson),,2,2
8,1,10:45.0,,K. Middleton makes 2-pt layup at rim,2,4
9,1,10:27.0,A. Bogut misses 2-pt hook shot from 4 ft,,2,4
10,1,10:25.0,,Defensive rebound by G. Monroe,2,4
11,1,10:05.0,,O. Mayo misses 2-pt jump shot from 20 ft,2,4
12,1,10:04.0,Defensive rebound by K. Thompson,,2,4
13,1,9:59.0,K. Thompson makes 3-pt jump shot from 23 ft,,5,4
14,1,9:50.0,,Turnover by J. Parker (lost ball; steal by K. Thompson),5,4
15,1,9:43.0,K. Thompson misses 3-pt jump shot from 28 ft,,5,4
16,1,9:39.0,,Defensive rebound by J. Parker,5,4
17,1,9:34.0,,K. Middleton makes 3-pt jump shot from 26 ft,5,7
18,1,9:15.0,K. Thompson misses 2-pt jump shot from 7 ft,,5,7
19,1,9:14.0,,Defensive rebound by G. Antetokounmpo,5,7
20,1,9:02.0,,G. Monroe makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),5,9
21,1,8:52.0,B. Rush misses 3-pt jump shot from 28 ft,,5,9
22,1,8:50.0,,Defensive rebound by G. Antetokounmpo,5,9
23,1,8:38.0,,G. Monroe misses 2-pt jump shot from 8 ft,5,9
24,1,8:38.0,,Offensive rebound by Team,5,9
25,1,8:38.0,Loose ball foul by K. Thompson (drawn by J. Parker),,5,9
26,1,8:27.0,,O. Mayo makes 2-pt jump shot from 14 ft (assist by G. Monroe),5,11
27,1,8:07.0,D. Green misses 2-pt jump shot from 6 ft (block by J. Parker),,5,11
28,1,8:05.0,,Defensive rebound by G. Antetokounmpo,5,11
29,1,7:54.0,,O. Mayo makes 3-pt jump shot from 26 ft (assist by G. Monroe),5,14
30,1,7:43.0,Shooting foul by O. Mayo (drawn by S. Curry),,5,14
31,1,7:43.0,S. Curry makes free throw 1 of 2,,6,14
32,1,7:43.0,S. Curry makes free throw 2 of 2,,7,14
33,1,7:27.0,,Turnover by G. Monroe (lost ball; steal by D. Green),7,14
34,1,7:16.0,S. Curry misses 3-pt jump shot from 25 ft,,7,14
35,1,7:14.0,,Defensive rebound by G. Antetokounmpo,7,14
36,1,7:09.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,7,14
37,1,7:09.0,,Offensive rebound by Team,7,14
38,1,7:09.0,Loose ball foul by A. Bogut (drawn by J. Parker),,7,14
39,1,7:06.0,,K. Middleton misses 3-pt jump shot from 24 ft,7,14
40,1,7:04.0,Defensive rebound by S. Curry,,7,14
41,1,6:55.0,K. Thompson misses 3-pt jump shot from 25 ft,,7,14
42,1,6:52.0,,Defensive rebound by O. Mayo,7,14
43,1,6:50.0,,O. Mayo misses 2-pt layup from 1 ft (block by B. Rush),7,14
44,1,6:47.0,,Offensive rebound by G. Monroe,7,14
45,1,6:45.0,,G. Monroe makes 2-pt layup from 1 ft,7,16
46,1,6:30.0,S. Curry makes 2-pt layup from 1 ft (assist by A. Bogut),,9,16
47,1,6:16.0,,K. Middleton makes 2-pt jump shot from 12 ft,9,18
48,1,6:01.0,S. Curry makes 2-pt layup from 1 ft,,11,18
49,1,5:28.0,,K. Middleton misses 2-pt jump shot from 15 ft,11,18
50,1,5:27.0,Defensive rebound by B. Rush,,11,18
51,1,5:16.0,S. Curry makes 3-pt jump shot from 22 ft,,14,18
52,1,5:01.0,,J. Parker misses 2-pt layup from 2 ft,14,18
