,QUARTER,TIME_REMAINING,UTAH_ACTION,ORLANDO_ACTION,UTAH_SCORE,ORLANDO_SCORE
0,1,11:35.0,Turnover by D. Favors (lost ball; steal by N. Vučević),,0,0
1,1,11:26.0,,Turnover by N. Vučević (3 sec),0,0
2,1,11:20.0,Personal foul by E. Payton (drawn by R. Neto),,0,0
3,1,11:07.0,G. Hayward misses 2-pt layup from 2 ft (block by N. Vučević),,0,0
4,1,11:04.0,,Defensive rebound by C. Frye,0,0
5,1,10:54.0,,C. Frye misses 3-pt jump shot from 24 ft,0,0
6,1,10:53.0,Defensive rebound by T. Lyles,,0,0
7,1,10:40.0,D. Favors misses 2-pt jump shot from 9 ft,,0,0
8,1,10:38.0,,Defensive rebound by N. Vučević,0,0
9,1,10:32.0,,N. Vučević makes 2-pt jump shot from 19 ft (assist by E. Payton),0,2
10,1,10:11.0,A. Burks misses 2-pt jump shot from 19 ft,,0,2
11,1,10:10.0,,Defensive rebound by C. Frye,0,2
12,1,10:02.0,,Shooting foul by D. Favors (drawn by E. Fournier),0,2
13,1,10:02.0,,E. Fournier makes free throw 1 of 2,0,3
14,1,10:02.0,,E. Fournier makes free throw 2 of 2,0,4
15,1,9:48.0,Turnover by A. Burks (back court),,0,4
16,1,9:34.0,,Turnover by E. Payton (step out of bounds),0,4
17,1,9:13.0,D. Favors misses 2-pt jump shot from 17 ft,,0,4
18,1,9:11.0,,Defensive rebound by E. Fournier,0,4
19,1,9:04.0,Violation by T. Lyles (kicked ball),,0,4
20,1,8:55.0,,E. Fournier makes 2-pt jump shot from 18 ft,0,6
21,1,8:28.0,Turnover by G. Hayward (lost ball; steal by E. Fournier),,0,6
22,1,8:22.0,,Turnover by E. Payton (bad pass; steal by D. Favors),0,6
23,1,8:17.0,G. Hayward makes 2-pt jump shot from 13 ft,,2,6
24,1,8:05.0,,Personal foul by D. Favors (drawn by N. Vučević),2,6
25,1,8:05.0,T. Pleiß enters the game for D. Favors,,2,6
26,1,7:54.0,,N. Vučević misses 2-pt layup from 1 ft (block by T. Pleiß),2,6
27,1,7:51.0,Defensive rebound by G. Hayward,,2,6
28,1,7:48.0,R. Neto misses 2-pt layup from 2 ft,,2,6
29,1,7:48.0,,Defensive rebound by Team,2,6
30,1,7:34.0,,E. Fournier misses 2-pt jump shot from 8 ft,2,6
31,1,7:33.0,,Offensive rebound by N. Vučević,2,6
32,1,7:33.0,,N. Vučević makes 2-pt jump shot from 1 ft,2,8
33,1,7:14.0,T. Lyles misses 2-pt layup from 1 ft,,2,8
34,1,7:13.0,,Defensive rebound by T. Harris,2,8
35,1,7:05.0,,E. Fournier misses 3-pt jump shot from 26 ft,2,8
36,1,7:02.0,,Offensive rebound by C. Frye,2,8
37,1,6:49.0,,E. Payton misses 2-pt jump shot from 7 ft,2,8
38,1,6:47.0,Defensive rebound by T. Lyles,,2,8
39,1,6:40.0,T. Lyles misses 3-pt jump shot from 25 ft,,2,8
40,1,6:39.0,,Defensive rebound by T. Harris,2,8
41,1,6:29.0,,E. Fournier makes 3-pt jump shot from 24 ft (assist by N. Vučević),2,11
42,1,6:28.0,Utah full timeout,,2,11
43,1,6:28.0,J. Ingles enters the game for T. Lyles,,2,11
44,1,6:28.0,T. Booker enters the game for A. Burks,,2,11
45,1,6:09.0,G. Hayward misses 3-pt jump shot from 25 ft,,2,11
46,1,6:07.0,,Defensive rebound by C. Frye,2,11
47,1,5:51.0,,C. Frye makes 3-pt jump shot from 25 ft (assist by E. Payton),2,14
48,1,5:28.0,Turnover by R. Neto (bad pass),,2,14
49,1,5:28.0,T. Burke enters the game for R. Neto,,2,14
50,1,5:09.0,,E. Fournier makes 2-pt layup from 2 ft,2,16
51,1,4:51.0,G. Hayward makes 2-pt jump shot from 12 ft,,4,16
52,1,4:51.0,Shooting foul by E. Fournier (drawn by G. Hayward),,4,16
53,1,4:51.0,E. Millsap enters the game for J. Ingles,,4,16
54,1,4:51.0,G. Hayward makes free throw 1 of 1,,5,16
55,1,4:26.0,,E. Payton makes 3-pt jump shot from 25 ft (assist by T. Harris),5,19
56,1,4:05.0,Turnover by T. Pleiß (3 sec),,5,19
57,1,3:55.0,,E. Payton misses 2-pt layup from 2 ft,5,19
58,1,3:52.0,,Offensive rebound by N. Vučević,5,19
59,1,3:52.0,,N. Vučević makes 2-pt jump shot from 1 ft,5,21
60,1,3:41.0,T. Pleiß makes 2-pt dunk at rim (assist by E. Millsap),,7,21
61,1,3:32.0,,N. Vučević makes 2-pt jump shot from 17 ft (assist by T. Harris),7,23
62,1,3:16.0,Turnover by G. Hayward (bad pass; steal by E. Payton),,7,23
63,1,3:10.0,,Shooting foul by T. Pleiß (drawn by E. Payton),7,23
64,1,3:10.0,,E. Payton makes free throw 1 of 2,7,24
65,1,3:10.0,A. Burks enters the game for G. Hayward,,7,24
66,1,3:10.0,,M. Hezonja enters the game for E. Fournier,7,24
67,1,3:10.0,,E. Payton makes free throw 2 of 2,7,25
68,1,2:57.0,T. Booker makes 2-pt jump shot from 9 ft (assist by E. Millsap),,9,25
69,1,2:34.0,,T. Harris misses 2-pt layup at rim,9,25
70,1,2:33.0,,Offensive rebound by T. Harris,9,25
71,1,2:29.0,,Shooting foul by T. Pleiß (drawn by T. Harris),9,25
72,1,2:29.0,,Orlando full timeout,9,25
73,1,2:29.0,,S. Napier enters the game for C. Frye,9,25
74,1,2:29.0,,A. Gordon enters the game for E. Payton,9,25
75,1,2:29.0,J. Withey enters the game for T. Pleiß,,9,25
76,1,2:29.0,,T. Harris makes free throw 1 of 2,9,26
77,1,2:29.0,,T. Harris makes free throw 2 of 2,9,27
78,1,2:20.0,Shooting foul by M. Hezonja (drawn by A. Burks),,9,27
79,1,2:20.0,A. Burks makes free throw 1 of 2,,10,27
80,1,2:20.0,A. Burks makes free throw 2 of 2,,11,27
81,1,1:56.0,,M. Hezonja makes 3-pt jump shot from 25 ft (assist by N. Vučević),11,30
82,1,1:46.0,T. Booker misses 2-pt jump shot from 6 ft (block by A. Gordon),,11,30
83,1,1:43.0,Offensive rebound by T. Booker,,11,30
84,1,1:42.0,T. Booker makes 2-pt layup from 1 ft,,13,30
85,1,1:30.0,,M. Hezonja makes 2-pt jump shot from 2 ft (assist by N. Vučević),13,32
86,1,1:30.0,,Shooting foul by A. Burks (drawn by M. Hezonja),13,32
87,1,1:30.0,J. Ingles enters the game for E. Millsap,,13,32
88,1,1:30.0,,D. Dedmon enters the game for N. Vučević,13,32
