,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DALLAS_ACTION,WASHINGTON_SCORE,DALLAS_SCORE
0,1,11:36.0,G. Temple misses 2-pt layup from 2 ft,,0,0
1,1,11:34.0,,Defensive rebound by D. Nowitzki,0,0
2,1,11:24.0,,Turnover by Z. Pachulia (bad pass; steal by G. Temple),0,0
3,1,11:20.0,J. Dudley makes 2-pt layup at rim (assist by G. Temple),,2,0
4,1,11:04.0,,C. Parsons makes 3-pt jump shot from 24 ft,2,3
5,1,10:51.0,O. Porter makes 3-pt jump shot from 24 ft (assist by J. Wall),,5,3
6,1,10:37.0,,Z. Pachulia makes 2-pt jump shot from 16 ft (assist by R. Felton),5,5
7,1,10:21.0,M. Gortat makes 2-pt jump shot from 7 ft (assist by G. Temple),,7,5
8,1,9:52.0,,W. Matthews misses 3-pt jump shot from 24 ft,7,5
9,1,9:51.0,Defensive rebound by J. Dudley,,7,5
10,1,9:45.0,G. Temple makes 2-pt layup at rim (assist by J. Dudley),,9,5
11,1,9:26.0,,C. Parsons misses 2-pt jump shot from 3 ft,9,5
12,1,9:24.0,Defensive rebound by J. Wall,,9,5
13,1,9:16.0,G. Temple makes 3-pt jump shot from 22 ft (assist by J. Wall),,12,5
14,1,9:00.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by R. Felton),12,8
15,1,8:49.0,J. Wall misses 2-pt jump shot from 8 ft,,12,8
16,1,8:48.0,,Defensive rebound by D. Nowitzki,12,8
17,1,8:39.0,,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by R. Felton),12,11
18,1,8:19.0,O. Porter makes 2-pt jump shot from 18 ft (assist by J. Wall),,14,11
19,1,8:06.0,,R. Felton misses 2-pt layup from 1 ft,14,11
20,1,8:04.0,,Offensive rebound by Z. Pachulia,14,11
21,1,8:01.0,,R. Felton misses 3-pt jump shot from 22 ft,14,11
22,1,7:59.0,Defensive rebound by J. Dudley,,14,11
23,1,7:54.0,J. Wall makes 2-pt layup at rim,,16,11
24,1,7:41.0,,Personal foul by G. Temple (drawn by C. Parsons),16,11
25,1,7:34.0,,Z. Pachulia makes 2-pt dunk at rim (assist by R. Felton),16,13
26,1,7:16.0,O. Porter misses 2-pt jump shot from 19 ft,,16,13
