,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MIAMI_ACTION,WASHINGTON_SCORE,MIAMI_SCORE
0,1,11:43.0,,G. Dragić makes 2-pt jump shot from 13 ft (assist by A. Stoudemire),0,2
1,1,11:22.0,M. Gortat makes 2-pt jump shot from 7 ft,,2,2
2,1,11:10.0,,G. Dragić misses 2-pt jump shot from 11 ft,2,2
3,1,11:09.0,Defensive rebound by J. Dudley,,2,2
4,1,10:56.0,O. Porter makes 2-pt jump shot from 21 ft,,4,2
5,1,10:43.0,,Turnover by J. Winslow (bad pass; steal by M. Gortat),4,2
6,1,10:40.0,Shooting foul by G. Green (drawn by O. Porter),,4,2
7,1,10:40.0,O. Porter misses free throw 1 of 2,,4,2
8,1,10:40.0,Offensive rebound by Team,,4,2
9,1,10:40.0,O. Porter makes free throw 2 of 2,,5,2
10,1,10:26.0,,L. Deng makes 2-pt jump shot from 10 ft,5,4
11,1,10:11.0,J. Dudley misses 2-pt jump shot from 18 ft,,5,4
12,1,10:10.0,Offensive rebound by M. Gortat,,5,4
13,1,10:08.0,Personal foul by A. Stoudemire (drawn by M. Gortat),,5,4
14,1,9:58.0,Shooting foul by A. Stoudemire (drawn by M. Gortat),,5,4
15,1,9:58.0,M. Gortat misses free throw 1 of 2,,5,4
16,1,9:58.0,Offensive rebound by Team,,5,4
17,1,9:58.0,M. Gortat misses free throw 2 of 2,,5,4
18,1,9:57.0,,Defensive rebound by A. Stoudemire,5,4
19,1,9:46.0,,G. Green misses 2-pt jump shot from 6 ft,5,4
20,1,9:45.0,Defensive rebound by M. Gortat,,5,4
21,1,9:31.0,J. Wall misses 3-pt jump shot from 25 ft,,5,4
22,1,9:30.0,,Defensive rebound by A. Stoudemire,5,4
23,1,9:24.0,,G. Green makes 2-pt jump shot from 18 ft (assist by G. Dragić),5,6
24,1,9:05.0,O. Porter misses 2-pt jump shot from 15 ft,,5,6
25,1,9:04.0,,Defensive rebound by J. Winslow,5,6
26,1,8:58.0,,J. Winslow misses 2-pt layup at rim,5,6
27,1,8:57.0,Defensive rebound by O. Porter,,5,6
28,1,8:47.0,G. Temple misses 2-pt jump shot from 10 ft,,5,6
29,1,8:46.0,,Defensive rebound by A. Stoudemire,5,6
30,1,8:32.0,,L. Deng makes 2-pt jump shot from 1 ft,5,8
31,1,8:16.0,J. Wall misses 2-pt jump shot from 3 ft (block by A. Stoudemire),,5,8
32,1,8:15.0,,Defensive rebound by A. Stoudemire,5,8
33,1,8:11.0,,G. Dragić makes 2-pt layup from 1 ft,5,10
34,1,8:11.0,,Shooting foul by G. Temple (drawn by G. Dragić),5,10
35,1,8:11.0,,G. Dragić makes free throw 1 of 1,5,11
36,1,7:46.0,Turnover by J. Dudley (bad pass; steal by L. Deng),,5,11
37,1,7:42.0,,G. Dragić makes 2-pt layup from 1 ft (assist by L. Deng),5,13
38,1,7:42.0,Washington full timeout,,5,13
39,1,7:33.0,J. Wall misses 2-pt layup from 1 ft (block by A. Stoudemire),,5,13
40,1,7:32.0,Offensive rebound by Team,,5,13
41,1,7:18.0,M. Gortat misses 2-pt jump shot from 5 ft,,5,13
42,1,7:17.0,,Defensive rebound by L. Deng,5,13
43,1,7:06.0,,Personal foul by G. Temple (drawn by G. Dragić),5,13
44,1,7:06.0,B. Beal enters the game for G. Temple,,5,13
45,1,6:54.0,,A. Stoudemire makes 2-pt jump shot from 12 ft (assist by J. Winslow),5,15
46,1,6:44.0,J. Dudley makes 3-pt jump shot from 24 ft (assist by J. Wall),,8,15
47,1,6:16.0,,J. Winslow makes 2-pt layup at rim (assist by A. Stoudemire),8,17
48,1,6:05.0,M. Gortat makes 2-pt hook shot from 5 ft (assist by J. Dudley),,10,17
49,1,5:51.0,,J. Winslow makes 2-pt jump shot from 6 ft (assist by G. Dragić),10,19
50,1,5:43.0,B. Beal misses 3-pt jump shot from 24 ft,,10,19
51,1,5:42.0,,Defensive rebound by L. Deng,10,19
52,1,5:37.0,,G. Dragić misses 3-pt jump shot from 24 ft,10,19
53,1,5:36.0,Defensive rebound by B. Beal,,10,19
54,1,5:26.0,B. Beal makes 2-pt jump shot from 14 ft,,12,19
55,1,5:18.0,,Miami full timeout,12,19
56,1,5:18.0,,J. Richardson enters the game for L. Deng,12,19
57,1,4:58.0,,G. Green misses 3-pt jump shot from 24 ft,12,19
58,1,4:57.0,Defensive rebound by O. Porter,,12,19
59,1,4:43.0,J. Wall misses 2-pt jump shot from 18 ft,,12,19
60,1,4:42.0,,Defensive rebound by A. Stoudemire,12,19
61,1,4:34.0,,Shooting foul by B. Beal (drawn by G. Dragić),12,19
62,1,4:34.0,,G. Dragić makes free throw 1 of 2,12,20
63,1,4:34.0,,H. Whiteside enters the game for A. Stoudemire,12,20
64,1,4:34.0,,G. Dragić makes free throw 2 of 2,12,21
65,1,4:25.0,B. Beal misses 3-pt jump shot from 24 ft,,12,21
66,1,4:24.0,,Defensive rebound by G. Green,12,21
67,1,4:16.0,,G. Green misses 2-pt jump shot from 10 ft (block by O. Porter),12,21
68,1,4:15.0,Defensive rebound by O. Porter,,12,21
69,1,4:08.0,B. Beal makes 2-pt layup from 1 ft,,14,21
70,1,3:45.0,,Shooting foul by O. Porter (drawn by H. Whiteside),14,21
71,1,3:45.0,,H. Whiteside misses free throw 1 of 2,14,21
