,QUARTER,TIME_REMAINING,INDIANA_ACTION,LA CLIPPERS_ACTION,INDIANA_SCORE,LA CLIPPERS_SCORE
0,1,11:43.0,,Shooting foul by G. Hill (drawn by J. Redick),0,0
1,1,11:43.0,,LA Clippers full timeout,0,0
2,1,11:43.0,,J. Redick makes free throw 1 of 2,0,1
3,1,11:43.0,,C. Wilcox enters the game for L. Mbah a Moute,0,1
4,1,11:43.0,,J. Redick makes free throw 2 of 2,0,2
5,1,11:42.0,Personal take foul by C. Wilcox (drawn by L. Allen),,0,2
6,1,11:42.0,,L. Mbah a Moute enters the game for C. Wilcox,0,2
7,1,11:42.0,,J. Crawford enters the game for J. Redick,0,2
8,1,11:16.0,L. Allen misses 2-pt jump shot from 14 ft,,0,2
9,1,11:15.0,,Defensive rebound by D. Jordan,0,2
10,1,11:07.0,,B. Griffin misses 2-pt jump shot from 18 ft,0,2
11,1,11:06.0,Defensive rebound by P. George,,0,2
12,1,10:58.0,P. George makes 3-pt jump shot from 25 ft,,3,2
13,1,10:32.0,,B. Griffin makes 2-pt jump shot from 19 ft (assist by J. Crawford),3,4
14,1,10:20.0,Personal foul by D. Jordan (drawn by P. George),,3,4
15,1,10:10.0,P. George misses 2-pt jump shot from 17 ft,,3,4
16,1,10:10.0,,Defensive rebound by D. Jordan,3,4
17,1,9:55.0,,B. Griffin misses 2-pt jump shot from 18 ft,3,4
18,1,9:54.0,Defensive rebound by P. George,,3,4
19,1,9:42.0,I. Mahinmi makes 2-pt jump shot from 19 ft (assist by G. Hill),,5,4
20,1,9:16.0,,J. Crawford misses 3-pt jump shot from 27 ft,5,4
21,1,9:15.0,Defensive rebound by M. Ellis,,5,4
22,1,9:03.0,P. George misses 2-pt jump shot from 15 ft,,5,4
23,1,9:03.0,,Defensive rebound by A. Rivers,5,4
24,1,8:51.0,,A. Rivers misses 3-pt jump shot from 25 ft,5,4
25,1,8:50.0,Defensive rebound by I. Mahinmi,,5,4
26,1,8:44.0,P. George makes 2-pt jump shot from 8 ft,,7,4
27,1,8:31.0,,Shooting foul by G. Hill (drawn by B. Griffin),7,4
28,1,8:31.0,,B. Griffin misses free throw 1 of 2,7,4
29,1,8:31.0,,Offensive rebound by Team,7,4
30,1,8:31.0,R. Stuckey enters the game for G. Hill,,7,4
