,QUARTER,TIME_REMAINING,CHICAGO_ACTION,PHILADELPHIA_ACTION,CHICAGO_SCORE,PHILADELPHIA_SCORE
0,1,11:48.0,Shooting foul by J. Okafor (drawn by P. Gasol),,0,0
1,1,11:48.0,P. Gasol makes free throw 1 of 2,,1,0
2,1,11:48.0,P. Gasol makes free throw 2 of 2,,2,0
3,1,11:28.0,,N. Stauskas misses 3-pt jump shot from 26 ft,2,0
4,1,11:26.0,Defensive rebound by P. Gasol,,2,0
5,1,11:10.0,P. Gasol makes 2-pt jump shot from 18 ft (assist by J. Butler),,4,0
6,1,10:59.0,,Shooting foul by D. McDermott (drawn by J. Grant),4,0
7,1,10:59.0,,J. Grant makes free throw 1 of 2,4,1
8,1,10:59.0,,J. Grant makes free throw 2 of 2,4,2
9,1,10:41.0,P. Gasol misses 2-pt jump shot from 11 ft,,4,2
10,1,10:39.0,,Defensive rebound by J. Grant,4,2
11,1,10:19.0,,J. Grant misses 3-pt jump shot from 25 ft,4,2
12,1,10:16.0,,Offensive rebound by J. Okafor,4,2
13,1,10:16.0,,J. Okafor makes 2-pt layup at rim,4,4
14,1,10:05.0,J. Butler makes 3-pt jump shot from 25 ft,,7,4
15,1,9:48.0,,J. Grant makes 2-pt layup from 2 ft (assist by N. Stauskas),7,6
16,1,9:36.0,N. Mirotić misses 3-pt jump shot from 25 ft,,7,6
17,1,9:34.0,,Defensive rebound by J. Okafor,7,6
18,1,9:23.0,,J. Okafor misses 2-pt jump shot from 7 ft,7,6
19,1,9:22.0,Defensive rebound by N. Mirotić,,7,6
20,1,9:12.0,P. Gasol misses 2-pt jump shot from 14 ft,,7,6
21,1,9:11.0,Offensive rebound by N. Mirotić,,7,6
22,1,9:07.0,D. McDermott misses 2-pt layup from 3 ft,,7,6
23,1,9:05.0,,Defensive rebound by J. Okafor,7,6
24,1,8:52.0,,N. Stauskas makes 2-pt layup from 1 ft (assist by T. McConnell),7,8
25,1,8:37.0,D. McDermott misses 2-pt jump shot from 4 ft,,7,8
26,1,8:36.0,Offensive rebound by J. Butler,,7,8
27,1,8:34.0,P. Gasol makes 2-pt jump shot from 11 ft (assist by J. Butler),,9,8
28,1,8:13.0,,J. Okafor misses 2-pt jump shot from 10 ft,9,8
29,1,8:12.0,,Offensive rebound by Team,9,8
30,1,8:09.0,,J. Grant misses 2-pt jump shot from 10 ft,9,8
31,1,8:08.0,,Offensive rebound by J. Okafor,9,8
32,1,8:08.0,,Turnover by Team (shot clock),9,8
33,1,7:58.0,D. Rose misses 3-pt jump shot from 27 ft,,9,8
34,1,7:56.0,,Defensive rebound by J. Okafor,9,8
35,1,7:41.0,,J. Okafor misses 2-pt jump shot from 5 ft (block by P. Gasol),9,8
36,1,7:41.0,,Offensive rebound by Team,9,8
37,1,7:39.0,,T. McConnell makes 2-pt jump shot from 14 ft (assist by N. Stauskas),9,10
38,1,7:29.0,D. Rose misses 2-pt layup from 2 ft (block by T. McConnell),,9,10
39,1,7:28.0,,Defensive rebound by J. Okafor,9,10
40,1,7:25.0,,J. Okafor makes 2-pt layup from 2 ft (assist by J. Grant),9,12
41,1,7:25.0,,Shooting foul by N. Mirotić (drawn by J. Okafor),9,12
42,1,7:25.0,,J. Okafor misses free throw 1 of 1,9,12
43,1,7:18.0,,Offensive rebound by R. Holmes,9,12
44,1,7:15.0,,J. Okafor misses 2-pt jump shot from 17 ft,9,12
45,1,7:13.0,Defensive rebound by J. Butler,,9,12
46,1,7:03.0,Turnover by N. Mirotić (bad pass; steal by N. Stauskas),,9,12
47,1,6:56.0,,J. Okafor misses 2-pt jump shot from 12 ft,9,12
48,1,6:54.0,Defensive rebound by D. Rose,,9,12
49,1,6:51.0,D. McDermott misses 3-pt jump shot from 25 ft,,9,12
50,1,6:48.0,Offensive rebound by D. McDermott,,9,12
51,1,6:46.0,D. McDermott makes 2-pt jump shot from 10 ft,,11,12
52,1,6:46.0,,Philadelphia full timeout,11,12
53,1,6:46.0,,J. Sampson enters the game for R. Holmes,11,12
54,1,6:37.0,,Personal foul by D. McDermott (drawn by J. Sampson),11,12
55,1,6:37.0,T. Snell enters the game for D. McDermott,,11,12
56,1,6:22.0,,T. McConnell misses 2-pt jump shot from 7 ft,11,12
57,1,6:21.0,Defensive rebound by N. Mirotić,,11,12
58,1,6:15.0,T. Snell makes 3-pt jump shot from 25 ft (assist by D. Rose),,14,12
59,1,6:08.0,,Turnover by J. Okafor (lost ball),14,12
60,1,5:55.0,J. Butler makes 2-pt jump shot from 12 ft (assist by P. Gasol),,16,12
61,1,5:50.0,,Turnover by N. Stauskas (lost ball),16,12
62,1,5:34.0,Turnover by J. Butler (bad pass; steal by J. Grant),,16,12
63,1,5:28.0,,J. Sampson makes 2-pt layup from 1 ft (assist by T. McConnell),16,14
64,1,5:19.0,P. Gasol misses 2-pt jump shot from 18 ft,,16,14
65,1,5:17.0,Offensive rebound by D. Rose,,16,14
66,1,5:17.0,D. Rose makes 2-pt layup from 1 ft,,18,14
67,1,4:58.0,,J. Sampson misses 2-pt jump shot from 15 ft,18,14
68,1,4:57.0,Defensive rebound by T. Snell,,18,14
69,1,4:51.0,D. Rose makes 2-pt jump shot from 18 ft,,20,14
70,1,4:31.0,,N. Stauskas misses 2-pt jump shot from 16 ft,20,14
71,1,4:30.0,Defensive rebound by T. Snell,,20,14
72,1,4:21.0,D. Rose makes 2-pt jump shot from 11 ft,,22,14
73,1,4:21.0,Shooting foul by J. Okafor (drawn by D. Rose),,22,14
74,1,4:21.0,T. Gibson enters the game for P. Gasol,,22,14
75,1,4:21.0,,C. Wood enters the game for J. Okafor,22,14
76,1,4:21.0,,I. Canaan enters the game for N. Stauskas,22,14
77,1,4:21.0,D. Rose misses free throw 1 of 1,,22,14
78,1,4:20.0,,Defensive rebound by Team,22,14
79,1,4:13.0,,J. Grant makes 2-pt layup from 1 ft (assist by T. McConnell),22,16
80,1,4:04.0,J. Butler misses 2-pt jump shot from 12 ft,,22,16
81,1,4:01.0,,Defensive rebound by C. Wood,22,16
82,1,3:50.0,,C. Wood misses 2-pt layup from 1 ft,22,16
83,1,3:48.0,Defensive rebound by T. Gibson,,22,16
84,1,3:41.0,N. Mirotić makes 2-pt layup from 2 ft,,24,16
85,1,3:41.0,,Violation by J. Grant (def goaltending),24,16
86,1,3:20.0,,J. Grant misses 2-pt jump shot from 6 ft,24,16
87,1,3:18.0,,Offensive rebound by C. Wood,24,16
88,1,3:16.0,,Turnover by Team (shot clock),24,16
89,1,3:16.0,A. Brooks enters the game for D. Rose,,24,16
90,1,3:16.0,,H. Thompson enters the game for T. McConnell,24,16
91,1,3:04.0,Shooting foul by J. Grant (drawn by J. Butler),,24,16
92,1,3:04.0,J. Butler makes free throw 1 of 2,,25,16
93,1,3:04.0,,R. Holmes enters the game for J. Grant,25,16
94,1,3:04.0,B. Portis enters the game for N. Mirotić,,25,16
95,1,3:04.0,J. Butler makes free throw 2 of 2,,26,16
96,1,2:49.0,,Turnover by J. Sampson (bad pass; steal by J. Butler),26,16
97,1,2:30.0,A. Brooks makes 2-pt jump shot from 12 ft (assist by J. Butler),,28,16
98,1,2:25.0,,I. Canaan misses 2-pt layup from 1 ft (block by T. Gibson),28,16
99,1,2:22.0,Defensive rebound by A. Brooks,,28,16
100,1,2:16.0,J. Butler misses 3-pt jump shot from 23 ft,,28,16
101,1,2:14.0,Offensive rebound by T. Gibson,,28,16
102,1,2:11.0,T. Snell makes 3-pt jump shot from 26 ft (assist by T. Gibson),,31,16
103,1,1:55.0,,Shooting foul by B. Portis (drawn by C. Wood),31,16
104,1,1:55.0,Chicago full timeout,,31,16
105,1,1:55.0,E. Moore enters the game for J. Butler,,31,16
106,1,1:55.0,,C. Wood makes free throw 1 of 2,31,17
107,1,1:55.0,,P. Pressey enters the game for J. Sampson,31,17
108,1,1:55.0,,C. Wood misses free throw 2 of 2,31,17
109,1,1:54.0,Defensive rebound by T. Snell,,31,17
110,1,1:38.0,Turnover by E. Moore (traveling),,31,17
111,1,1:15.0,,I. Canaan makes 3-pt jump shot from 24 ft,31,20
112,1,0:59.0,B. Portis misses 2-pt jump shot from 19 ft,,31,20
113,1,0:58.0,,Defensive rebound by I. Canaan,31,20
114,1,0:44.0,,Turnover by H. Thompson (bad pass; steal by B. Portis),31,20
115,1,0:41.0,Turnover by B. Portis (bad pass; steal by C. Wood),,31,20
116,1,0:39.0,,Turnover by C. Wood (offensive foul),31,20
117,1,0:39.0,Offensive charge foul by C. Wood (drawn by T. Snell),,31,20
118,1,0:32.0,Turnover by T. Gibson (bad pass; steal by I. Canaan),,31,20
119,1,0:29.0,,R. Holmes makes 2-pt dunk at rim (assist by P. Pressey),31,22
120,1,0:09.0,A. Brooks misses 2-pt jump shot from 14 ft,,31,22
121,1,0:08.0,Offensive rebound by A. Brooks,,31,22
122,1,0:05.0,T. Snell misses 3-pt jump shot from 26 ft,,31,22
123,1,0:03.0,,Defensive rebound by C. Wood,31,22
124,1,0:01.0,,C. Wood misses 3-pt jump shot from 35 ft,31,22
125,1,0:00.0,,Offensive rebound by Team,31,22
126,2,11:41.0,,Turnover by R. Holmes (traveling),31,22
127,2,11:28.0,A. Brooks misses 2-pt layup from 1 ft,,31,22
128,2,11:26.0,,Defensive rebound by J. Okafor,31,22
129,2,11:20.0,,H. Thompson makes 3-pt jump shot from 22 ft (assist by P. Pressey),31,25
130,2,11:00.0,T. Snell misses 2-pt jump shot from 3 ft,,31,25
131,2,10:58.0,,Defensive rebound by R. Holmes,31,25
132,2,10:50.0,,Shooting foul by T. Gibson (drawn by R. Holmes),31,25
133,2,10:50.0,,R. Holmes makes free throw 1 of 2,31,26
134,2,10:50.0,D. Rose enters the game for A. Brooks,,31,26
135,2,10:50.0,P. Gasol enters the game for B. Portis,,31,26
136,2,10:50.0,,N. Stauskas enters the game for P. Pressey,31,26
137,2,10:50.0,,R. Holmes misses free throw 2 of 2,31,26
138,2,10:48.0,Defensive rebound by E. Moore,,31,26
139,2,10:36.0,T. Snell misses 2-pt jump shot from 6 ft (block by R. Holmes),,31,26
140,2,10:34.0,,Defensive rebound by I. Canaan,31,26
141,2,10:16.0,,R. Holmes makes 2-pt layup from 2 ft (assist by I. Canaan),31,28
142,2,10:03.0,D. Rose misses 2-pt layup from 1 ft (block by R. Holmes),,31,28
143,2,10:01.0,,Defensive rebound by J. Okafor,31,28
144,2,9:56.0,,I. Canaan misses 3-pt jump shot from 25 ft,31,28
145,2,9:54.0,,Offensive rebound by R. Holmes,31,28
146,2,9:51.0,,J. Okafor misses 2-pt layup from 1 ft (block by P. Gasol),31,28
147,2,9:50.0,,Offensive rebound by Team,31,28
148,2,9:40.0,,J. Okafor misses 2-pt jump shot from 6 ft,31,28
149,2,9:39.0,Defensive rebound by T. Gibson,,31,28
150,2,9:30.0,T. Gibson misses 2-pt jump shot from 16 ft,,31,28
151,2,9:29.0,,Defensive rebound by H. Thompson,31,28
152,2,9:19.0,,R. Holmes misses 3-pt jump shot from 25 ft,31,28
153,2,9:18.0,Defensive rebound by P. Gasol,,31,28
154,2,9:12.0,D. Rose misses 2-pt jump shot from 3 ft,,31,28
155,2,9:11.0,Offensive rebound by T. Gibson,,31,28
156,2,9:11.0,Shooting foul by H. Thompson (drawn by T. Gibson),,31,28
157,2,9:11.0,T. Gibson makes free throw 1 of 2,,32,28
158,2,9:11.0,,T. McConnell enters the game for I. Canaan,32,28
159,2,9:11.0,D. McDermott enters the game for T. Snell,,32,28
160,2,9:11.0,T. Gibson makes free throw 2 of 2,,33,28
161,2,9:11.0,,Philadelphia full timeout,33,28
162,2,8:58.0,,N. Stauskas misses 2-pt layup from 2 ft (block by P. Gasol),33,28
163,2,8:54.0,Defensive rebound by E. Moore,,33,28
164,2,8:51.0,D. McDermott misses 2-pt jump shot from 4 ft,,33,28
165,2,8:47.0,Offensive rebound by T. Gibson,,33,28
166,2,8:47.0,T. Gibson makes 2-pt dunk at rim,,35,28
167,2,8:35.0,,Shooting foul by P. Gasol (drawn by R. Holmes),35,28
168,2,8:35.0,,R. Holmes misses free throw 1 of 2,35,28
169,2,8:35.0,,Offensive rebound by Team,35,28
170,2,8:35.0,,R. Holmes makes free throw 2 of 2,35,29
171,2,8:21.0,P. Gasol misses 2-pt hook shot from 6 ft,,35,29
172,2,8:19.0,,Defensive rebound by N. Stauskas,35,29
173,2,8:12.0,,C. Wood enters the game for R. Holmes,35,29
174,2,8:12.0,,J. Grant enters the game for H. Thompson,35,29
