,QUARTER,TIME_REMAINING,UTAH_ACTION,NEW ORLEANS_ACTION,UTAH_SCORE,NEW ORLEANS_SCORE
0,1,11:45.0,,A. Davis misses 2-pt jump shot from 9 ft,0,0
1,1,11:44.0,Defensive rebound by G. Hayward,,0,0
2,1,11:22.0,D. Favors makes 2-pt jump shot from 18 ft (assist by G. Hayward),,2,0
3,1,11:10.0,,N. Cole misses 2-pt jump shot from 21 ft,2,0
4,1,11:09.0,Defensive rebound by R. Gobert,,2,0
5,1,10:57.0,S. Mack makes 2-pt layup from 4 ft (assist by D. Favors),,4,0
6,1,10:42.0,,N. Cole makes 2-pt layup from 2 ft,4,2
7,1,10:24.0,S. Mack misses 2-pt jump shot from 4 ft (block by A. Davis),,4,2
8,1,10:23.0,,Defensive rebound by A. Davis,4,2
9,1,10:08.0,,A. Davis misses 2-pt jump shot from 19 ft,4,2
10,1,10:07.0,Defensive rebound by R. Gobert,,4,2
11,1,9:45.0,D. Favors misses 2-pt jump shot from 8 ft (block by A. Davis),,4,2
12,1,9:43.0,,Defensive rebound by A. Davis,4,2
13,1,9:35.0,,D. Cunningham makes 2-pt layup from 4 ft (assist by A. Davis),4,4
14,1,9:19.0,G. Hayward misses 3-pt jump shot from 25 ft,,4,4
15,1,9:18.0,,Defensive rebound by Ö. Aşık,4,4
16,1,9:03.0,,A. Davis misses 2-pt jump shot from 7 ft,4,4
17,1,9:01.0,Defensive rebound by D. Favors,,4,4
18,1,8:49.0,D. Favors makes 2-pt dunk at rim (assist by G. Hayward),,6,4
19,1,8:30.0,,A. Davis makes 2-pt jump shot from 20 ft (assist by E. Gordon),6,6
20,1,8:02.0,S. Mack misses 2-pt jump shot from 16 ft,,6,6
21,1,8:01.0,Offensive rebound by R. Gobert,,6,6
22,1,8:01.0,R. Gobert misses 2-pt layup from 1 ft,,6,6
23,1,8:00.0,Offensive rebound by R. Gobert,,6,6
24,1,8:00.0,R. Gobert misses 2-pt layup from 1 ft,,6,6
25,1,7:59.0,,Defensive rebound by A. Davis,6,6
26,1,7:35.0,,E. Gordon makes 2-pt jump shot from 9 ft,6,8
27,1,7:11.0,R. Hood makes 3-pt jump shot from 26 ft (assist by S. Mack),,9,8
28,1,6:53.0,,A. Davis misses 2-pt jump shot from 4 ft (block by D. Favors),9,8
29,1,6:52.0,Defensive rebound by D. Favors,,9,8
30,1,6:41.0,D. Favors misses 2-pt hook shot from 3 ft,,9,8
31,1,6:40.0,,Defensive rebound by A. Davis,9,8
32,1,6:29.0,,A. Davis misses 3-pt jump shot from 25 ft,9,8
33,1,6:28.0,Defensive rebound by R. Gobert,,9,8
34,1,6:17.0,G. Hayward makes 2-pt jump shot from 7 ft,,11,8
35,1,6:17.0,,New Orleans full timeout,11,8
36,1,6:17.0,R. Neto enters the game for S. Mack,,11,8
37,1,6:04.0,,A. Davis makes 2-pt jump shot from 9 ft (assist by N. Cole),11,10
38,1,5:40.0,R. Hood makes 2-pt jump shot from 10 ft,,13,10
39,1,5:19.0,,N. Cole misses 2-pt jump shot from 21 ft,13,10
40,1,5:18.0,Defensive rebound by G. Hayward,,13,10
41,1,4:59.0,R. Neto misses 3-pt jump shot from 26 ft (block by E. Gordon),,13,10
42,1,4:58.0,,Defensive rebound by Ö. Aşık,13,10
43,1,4:55.0,,E. Gordon makes 2-pt layup from 1 ft (assist by Ö. Aşık),13,12
44,1,4:32.0,Turnover by R. Hood (bad pass),,13,12
45,1,4:19.0,,E. Gordon misses 2-pt layup from 3 ft,13,12
46,1,4:18.0,Defensive rebound by R. Gobert,,13,12
47,1,4:15.0,Personal block foul by D. Cunningham (drawn by G. Hayward),,13,12
48,1,4:15.0,T. Booker enters the game for D. Favors,,13,12
49,1,4:15.0,J. Ingles enters the game for R. Hood,,13,12
50,1,4:15.0,,R. Anderson enters the game for Ö. Aşık,13,12
51,1,4:15.0,,J. Holiday enters the game for E. Gordon,13,12
52,1,4:08.0,Shooting foul by A. Davis (drawn by R. Gobert),,13,12
53,1,4:08.0,R. Gobert misses free throw 1 of 2,,13,12
54,1,4:08.0,Offensive rebound by Team,,13,12
55,1,4:08.0,R. Gobert makes free throw 2 of 2,,14,12
56,1,4:01.0,,Shooting foul by R. Gobert (drawn by A. Davis),14,12
57,1,4:01.0,,A. Davis makes free throw 1 of 2,14,13
58,1,4:01.0,,A. Davis makes free throw 2 of 2,14,14
59,1,3:51.0,Personal block foul by D. Cunningham (drawn by R. Gobert),,14,14
60,1,3:51.0,,A. Gee enters the game for D. Cunningham,14,14
61,1,3:39.0,R. Gobert makes 2-pt dunk at rim (assist by G. Hayward),,16,14
62,1,3:28.0,,A. Davis misses 2-pt jump shot from 20 ft,16,14
63,1,3:25.0,Defensive rebound by T. Booker,,16,14
64,1,3:04.0,G. Hayward makes 2-pt jump shot from 16 ft (assist by R. Neto),,18,14
65,1,2:49.0,,A. Davis misses 2-pt hook shot from 6 ft,18,14
66,1,2:48.0,Defensive rebound by T. Booker,,18,14
67,1,2:43.0,Personal foul by N. Cole (drawn by R. Neto),,18,14
68,1,2:43.0,Utah full timeout,,18,14
69,1,2:43.0,,T. Douglas enters the game for N. Cole,18,14
70,1,2:33.0,G. Hayward makes 3-pt jump shot from 26 ft (assist by R. Gobert),,21,14
71,1,2:22.0,,Personal foul by T. Booker (drawn by J. Holiday),21,14
72,1,2:08.0,,R. Anderson misses 2-pt jump shot from 11 ft,21,14
73,1,2:07.0,Defensive rebound by J. Ingles,,21,14
74,1,1:51.0,G. Hayward misses 2-pt layup from 3 ft,,21,14
75,1,1:51.0,Offensive rebound by R. Gobert,,21,14
76,1,1:45.0,R. Neto makes 2-pt jump shot from 22 ft (assist by R. Gobert),,23,14
77,1,1:34.0,,T. Douglas makes 3-pt jump shot from 24 ft (assist by A. Gee),23,17
78,1,1:13.0,T. Booker makes 2-pt jump shot from 12 ft (assist by J. Ingles),,25,17
79,1,1:03.0,,R. Anderson misses 3-pt jump shot from 24 ft,25,17
80,1,1:02.0,Defensive rebound by R. Gobert,,25,17
81,1,0:55.0,G. Hayward makes 2-pt jump shot from 8 ft,,27,17
