,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,TORONTO_ACTION,GOLDEN STATE_SCORE,TORONTO_SCORE
0,1,11:43.0,,L. Scola makes 2-pt jump shot from 19 ft (assist by D. DeRozan),0,2
1,1,11:27.0,K. Thompson misses 2-pt jump shot from 17 ft,,0,2
2,1,11:26.0,,Defensive rebound by B. Biyombo,0,2
3,1,11:15.0,,Personal foul by F. Ezeli (drawn by B. Biyombo),0,2
4,1,11:10.0,,D. DeRozan misses 2-pt jump shot from 15 ft,0,2
5,1,11:10.0,,Offensive rebound by L. Scola,0,2
6,1,11:05.0,,L. Scola misses 2-pt hook shot from 9 ft,0,2
7,1,11:04.0,Defensive rebound by K. Thompson,,0,2
8,1,10:50.0,Personal foul by B. Biyombo (drawn by F. Ezeli),,0,2
9,1,10:41.0,D. Green misses 2-pt jump shot from 9 ft,,0,2
10,1,10:41.0,,Defensive rebound by L. Scola,0,2
11,1,10:25.0,,D. Carroll makes 3-pt jump shot from 25 ft (assist by K. Lowry),0,5
12,1,10:18.0,S. Curry makes 3-pt jump shot from 24 ft,,3,5
13,1,10:12.0,,Personal foul by D. Green (drawn by L. Scola),3,5
14,1,10:04.0,,Personal foul by S. Curry (drawn by L. Scola),3,5
15,1,9:51.0,,D. DeRozan misses 2-pt jump shot from 16 ft,3,5
16,1,9:51.0,,Offensive rebound by B. Biyombo,3,5
17,1,9:42.0,,Turnover by B. Biyombo (3 sec),3,5
18,1,9:32.0,,Violation by B. Biyombo (def goaltending),3,5
19,1,9:32.0,D. Green makes 2-pt layup from 2 ft (assist by B. Rush),,5,5
20,1,9:21.0,,K. Lowry makes 3-pt jump shot from 27 ft (assist by L. Scola),5,8
21,1,9:12.0,Turnover by S. Curry (lost ball; steal by D. Carroll),,5,8
22,1,9:06.0,,D. Carroll makes 2-pt dunk at rim,5,10
23,1,8:49.0,S. Curry makes 3-pt jump shot from 24 ft (assist by B. Rush),,8,10
24,1,8:32.0,,K. Lowry misses 3-pt jump shot from 23 ft,8,10
25,1,8:31.0,Defensive rebound by F. Ezeli,,8,10
26,1,8:26.0,S. Curry makes 3-pt jump shot from 22 ft (assist by D. Green),,11,10
27,1,8:06.0,,D. DeRozan misses 2-pt jump shot from 23 ft,11,10
28,1,8:05.0,Defensive rebound by B. Rush,,11,10
29,1,7:59.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by B. Rush),,14,10
30,1,7:42.0,,D. Carroll misses 2-pt layup from 2 ft,14,10
31,1,7:41.0,Defensive rebound by F. Ezeli,,14,10
32,1,7:41.0,Personal foul by L. Scola (drawn by F. Ezeli),,14,10
33,1,7:31.0,K. Thompson makes 2-pt jump shot from 21 ft (assist by S. Curry),,16,10
34,1,7:25.0,,Toronto full timeout,16,10
35,1,7:12.0,,K. Lowry misses 2-pt jump shot from 10 ft,16,10
36,1,7:12.0,Defensive rebound by F. Ezeli,,16,10
37,1,7:05.0,S. Curry makes 2-pt jump shot from 15 ft,,18,10
38,1,6:49.0,,Turnover by D. DeRozan (bad pass; steal by F. Ezeli),18,10
39,1,6:39.0,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Green),,21,10
40,1,6:14.0,,L. Scola misses 2-pt jump shot from 11 ft,21,10
41,1,6:13.0,Defensive rebound by F. Ezeli,,21,10
42,1,6:05.0,S. Curry misses 3-pt jump shot from 25 ft,,21,10
43,1,6:03.0,Offensive rebound by F. Ezeli,,21,10
44,1,5:59.0,K. Thompson misses 3-pt jump shot from 24 ft,,21,10
45,1,5:59.0,,Defensive rebound by D. Carroll,21,10
46,1,5:46.0,,D. Carroll misses 2-pt jump shot from 16 ft,21,10
47,1,5:45.0,Defensive rebound by B. Rush,,21,10
48,1,5:36.0,B. Rush misses 3-pt jump shot from 25 ft,,21,10
49,1,5:35.0,,Defensive rebound by B. Biyombo,21,10
50,1,5:23.0,,L. Scola makes 2-pt jump shot from 6 ft,21,12
51,1,5:09.0,D. Green misses 3-pt jump shot from 24 ft,,21,12
52,1,5:08.0,,Defensive rebound by K. Lowry,21,12
53,1,4:53.0,,L. Scola misses 2-pt layup from 2 ft,21,12
