,QUARTER,TIME_REMAINING,INDIANA_ACTION,BOSTON_ACTION,INDIANA_SCORE,BOSTON_SCORE
0,1,11:42.0,L. Allen misses 2-pt jump shot from 21 ft,,0,0
1,1,11:41.0,,Defensive rebound by A. Johnson,0,0
2,1,11:28.0,,A. Bradley misses 2-pt jump shot from 20 ft,0,0
3,1,11:27.0,Defensive rebound by I. Mahinmi,,0,0
4,1,11:18.0,M. Ellis makes 2-pt jump shot from 10 ft,,2,0
5,1,11:08.0,,J. Sullinger misses 2-pt jump shot from 20 ft,2,0
6,1,11:06.0,,Offensive rebound by A. Johnson,2,0
7,1,11:05.0,,Turnover by A. Johnson (bad pass; steal by I. Mahinmi),2,0
8,1,10:48.0,I. Mahinmi makes 2-pt hook shot from 5 ft (assist by P. George),,4,0
9,1,10:30.0,,A. Bradley misses 2-pt jump shot from 22 ft,4,0
10,1,10:28.0,,Offensive rebound by A. Johnson,4,0
11,1,10:21.0,,Turnover by A. Bradley (lost ball; steal by M. Ellis),4,0
12,1,10:13.0,I. Mahinmi makes 2-pt hook shot from 3 ft (assist by M. Ellis),,6,0
13,1,10:00.0,,Turnover by I. Thomas (lost ball; steal by G. Hill),6,0
14,1,9:52.0,G. Hill makes 2-pt jump shot from 13 ft,,8,0
15,1,9:52.0,,Boston full timeout,8,0
16,1,9:41.0,,J. Crowder makes 2-pt layup from 1 ft (assist by A. Bradley),8,2
17,1,9:31.0,Def 3 sec tech foul by J. Sullinger,,8,2
18,1,9:31.0,P. George makes technical free throw,,9,2
19,1,9:27.0,L. Allen misses 2-pt hook shot from 3 ft,,9,2
20,1,9:26.0,,Defensive rebound by A. Johnson,9,2
21,1,9:14.0,,Turnover by J. Sullinger (lost ball; steal by I. Mahinmi),9,2
22,1,9:11.0,Turnover by M. Ellis (discontinued dribble),,9,2
23,1,8:58.0,,I. Thomas misses 2-pt jump shot from 12 ft,9,2
24,1,8:57.0,,Offensive rebound by A. Johnson,9,2
25,1,8:57.0,,A. Johnson makes 2-pt layup from 1 ft,9,4
26,1,8:40.0,P. George makes 3-pt jump shot from 24 ft (assist by M. Ellis),,12,4
27,1,8:24.0,,I. Thomas makes 3-pt jump shot from 24 ft (assist by J. Sullinger),12,7
28,1,7:55.0,P. George misses 2-pt jump shot from 14 ft,,12,7
29,1,7:55.0,,Defensive rebound by A. Johnson,12,7
30,1,7:44.0,,A. Bradley misses 3-pt jump shot from 24 ft,12,7
31,1,7:43.0,Defensive rebound by P. George,,12,7
32,1,7:31.0,P. George misses 2-pt jump shot from 16 ft,,12,7
33,1,7:30.0,,Defensive rebound by Team,12,7
