,QUARTER,TIME_REMAINING,DALLAS_ACTION,ORLANDO_ACTION,DALLAS_SCORE,ORLANDO_SCORE
0,1,11:46.0,D. Nowitzki misses 2-pt jump shot from 17 ft,,0,0
1,1,11:45.0,Offensive rebound by Z. Pachulia,,0,0
2,1,11:32.0,Z. Pachulia misses 2-pt layup from 2 ft (block by N. Vučević),,0,0
3,1,11:31.0,Offensive rebound by Z. Pachulia,,0,0
4,1,11:31.0,Z. Pachulia misses 2-pt layup from 2 ft,,0,0
5,1,11:29.0,Offensive rebound by Z. Pachulia,,0,0
6,1,11:29.0,Z. Pachulia misses 2-pt layup from 1 ft,,0,0
7,1,11:27.0,,Defensive rebound by E. Payton,0,0
8,1,11:16.0,,E. Fournier misses 2-pt jump shot from 7 ft,0,0
9,1,11:15.0,Defensive rebound by Z. Pachulia,,0,0
10,1,11:13.0,Turnover by Z. Pachulia (bad pass; steal by A. Gordon),,0,0
11,1,11:07.0,,N. Vučević misses 2-pt layup from 1 ft,0,0
12,1,11:05.0,Defensive rebound by Z. Pachulia,,0,0
13,1,10:53.0,C. Parsons misses 2-pt layup from 2 ft,,0,0
14,1,10:52.0,,Defensive rebound by N. Vučević,0,0
15,1,10:45.0,,V. Oladipo makes 2-pt layup from 1 ft (assist by A. Gordon),0,2
16,1,10:25.0,Z. Pachulia misses 2-pt layup from 1 ft (block by E. Payton),,0,2
17,1,10:23.0,Offensive rebound by Z. Pachulia,,0,2
18,1,10:20.0,Turnover by Z. Pachulia (lost ball; steal by A. Gordon),,0,2
19,1,10:09.0,,V. Oladipo makes 3-pt jump shot from 25 ft (assist by N. Vučević),0,5
20,1,9:50.0,Z. Pachulia misses 2-pt jump shot from 18 ft,,0,5
21,1,9:49.0,,Defensive rebound by N. Vučević,0,5
22,1,9:37.0,,Turnover by E. Fournier (step out of bounds),0,5
23,1,9:29.0,Personal foul by A. Gordon (drawn by D. Nowitzki),,0,5
24,1,9:19.0,D. Nowitzki misses 2-pt jump shot from 9 ft,,0,5
25,1,9:17.0,,Defensive rebound by N. Vučević,0,5
26,1,9:06.0,,N. Vučević makes 2-pt layup from 2 ft (assist by V. Oladipo),0,7
27,1,9:06.0,Dallas full timeout,,0,7
28,1,8:49.0,D. Williams makes 2-pt jump shot from 15 ft (assist by W. Matthews),,2,7
29,1,8:27.0,,N. Vučević makes 2-pt jump shot from 15 ft,2,9
30,1,8:17.0,Turnover by W. Matthews (lost ball; steal by V. Oladipo),,2,9
31,1,8:10.0,,V. Oladipo makes 3-pt jump shot from 24 ft (assist by E. Payton),2,12
32,1,7:51.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,2,12
33,1,7:49.0,,Defensive rebound by E. Payton,2,12
34,1,7:37.0,,V. Oladipo misses 3-pt jump shot from 25 ft,2,12
35,1,7:36.0,Defensive rebound by C. Parsons,,2,12
36,1,7:28.0,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by C. Parsons),,5,12
37,1,7:13.0,,A. Gordon makes 3-pt jump shot from 25 ft (assist by E. Fournier),5,15
38,1,7:02.0,Shooting foul by V. Oladipo (drawn by Z. Pachulia),,5,15
39,1,7:02.0,Z. Pachulia makes free throw 1 of 2,,6,15
40,1,7:02.0,R. Felton enters the game for D. Nowitzki,,6,15
41,1,7:02.0,Z. Pachulia makes free throw 2 of 2,,7,15
42,1,6:51.0,,E. Payton makes 2-pt layup from 2 ft,7,17
43,1,6:30.0,Turnover by C. Parsons (bad pass),,7,17
44,1,6:30.0,,Orlando full timeout,7,17
45,1,6:10.0,,N. Vučević makes 2-pt layup from 2 ft,7,19
46,1,6:10.0,,Shooting foul by Z. Pachulia (drawn by N. Vučević),7,19
47,1,6:10.0,S. Mejri enters the game for Z. Pachulia,,7,19
48,1,6:10.0,,N. Vučević makes free throw 1 of 1,7,20
49,1,5:47.0,W. Matthews misses 3-pt jump shot from 25 ft,,7,20
50,1,5:44.0,,Defensive rebound by V. Oladipo,7,20
51,1,5:37.0,,N. Vučević makes 2-pt hook shot from 7 ft (assist by V. Oladipo),7,22
52,1,5:25.0,W. Matthews misses 3-pt jump shot from 24 ft,,7,22
53,1,5:24.0,,Defensive rebound by N. Vučević,7,22
54,1,5:05.0,,Shooting foul by S. Mejri (drawn by N. Vučević),7,22
55,1,5:05.0,,N. Vučević makes free throw 1 of 2,7,23
56,1,5:05.0,J. Anderson enters the game for C. Parsons,,7,23
57,1,5:05.0,J. Barea enters the game for W. Matthews,,7,23
58,1,5:05.0,D. Nowitzki enters the game for D. Williams,,7,23
59,1,5:05.0,,N. Vučević makes free throw 2 of 2,7,24
