,QUARTER,TIME_REMAINING,ORLANDO_ACTION,ATLANTA_ACTION,ORLANDO_SCORE,ATLANTA_SCORE
0,1,11:38.0,V. Oladipo misses 2-pt jump shot from 20 ft,,0,0
1,1,11:36.0,,Defensive rebound by K. Korver,0,0
2,1,11:26.0,,Personal foul by E. Payton (drawn by K. Bazemore),0,0
3,1,11:11.0,,A. Horford makes 2-pt layup at rim (assist by J. Teague),0,2
4,1,10:57.0,V. Oladipo misses 3-pt jump shot from 24 ft,,0,2
5,1,10:56.0,,Defensive rebound by A. Horford,0,2
6,1,10:48.0,,J. Teague misses 2-pt jump shot from 14 ft,0,2
7,1,10:45.0,,Offensive rebound by K. Bazemore,0,2
8,1,10:39.0,,J. Teague makes 2-pt jump shot from 16 ft,0,4
9,1,10:20.0,N. Vučević makes 2-pt jump shot from 18 ft (assist by V. Oladipo),,2,4
10,1,10:03.0,,A. Horford makes 2-pt jump shot from 4 ft (assist by K. Korver),2,6
11,1,9:54.0,Turnover by E. Payton (bad pass; steal by P. Millsap),,2,6
12,1,9:47.0,,A. Horford makes 2-pt layup from 2 ft (assist by K. Korver),2,8
13,1,9:31.0,E. Payton makes 2-pt jump shot from 19 ft (assist by V. Oladipo),,4,8
14,1,9:16.0,,K. Korver makes 2-pt layup from 1 ft (assist by P. Millsap),4,10
15,1,9:05.0,Personal foul by K. Bazemore (drawn by E. Fournier),,4,10
16,1,8:52.0,V. Oladipo misses 3-pt jump shot from 24 ft,,4,10
17,1,8:51.0,,Defensive rebound by K. Bazemore,4,10
18,1,8:33.0,,Personal foul by E. Fournier (drawn by K. Bazemore),4,10
19,1,8:20.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by P. Millsap),4,12
20,1,8:15.0,Orlando full timeout,,4,12
21,1,8:15.0,S. Napier enters the game for A. Gordon,,4,12
22,1,8:15.0,M. Hezonja enters the game for V. Oladipo,,4,12
23,1,8:15.0,C. Frye enters the game for E. Payton,,4,12
24,1,8:01.0,C. Frye misses 3-pt jump shot from 24 ft,,4,12
25,1,7:59.0,,Defensive rebound by K. Korver,4,12
26,1,7:44.0,,Personal foul by S. Napier (drawn by J. Teague),4,12
27,1,7:38.0,,Shooting foul by C. Frye (drawn by P. Millsap),4,12
28,1,7:38.0,,P. Millsap misses free throw 1 of 2,4,12
29,1,7:38.0,,Offensive rebound by Team,4,12
30,1,7:38.0,,P. Millsap makes free throw 2 of 2,4,13
31,1,7:30.0,M. Hezonja makes 2-pt jump shot from 17 ft,,6,13
32,1,7:17.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by P. Millsap),6,16
33,1,7:03.0,M. Hezonja makes 2-pt layup from 1 ft (assist by N. Vučević),,8,16
34,1,6:55.0,,P. Millsap misses 2-pt jump shot from 8 ft,8,16
35,1,6:54.0,Defensive rebound by N. Vučević,,8,16
36,1,6:39.0,E. Fournier misses 3-pt jump shot from 23 ft,,8,16
37,1,6:38.0,,Defensive rebound by K. Bazemore,8,16
38,1,6:23.0,,K. Bazemore makes 3-pt jump shot from 24 ft (assist by P. Millsap),8,19
39,1,6:07.0,M. Hezonja misses 3-pt jump shot from 23 ft,,8,19
40,1,6:06.0,,Defensive rebound by J. Teague,8,19
41,1,5:54.0,,J. Teague makes 3-pt jump shot from 22 ft (assist by A. Horford),8,22
42,1,5:33.0,C. Frye misses 3-pt jump shot from 24 ft,,8,22
43,1,5:32.0,,Defensive rebound by K. Bazemore,8,22
