,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,NEW YORK_ACTION,PHILADELPHIA_SCORE,NEW YORK_SCORE
0,1,11:39.0,,C. Anthony misses 2-pt jump shot from 14 ft,0,0
1,1,11:37.0,Defensive rebound by J. Sampson,,0,0
2,1,11:21.0,N. Noel makes 2-pt layup from 2 ft (assist by I. Smith),,2,0
3,1,11:06.0,,K. Porziņģis misses 2-pt jump shot from 14 ft,2,0
4,1,11:05.0,Defensive rebound by J. Okafor,,2,0
5,1,10:52.0,N. Noel misses 2-pt jump shot from 4 ft (block by K. Porziņģis),,2,0
6,1,10:49.0,,Defensive rebound by K. Porziņģis,2,0
7,1,10:30.0,,J. Calderón misses 2-pt layup from 2 ft,2,0
8,1,10:28.0,Defensive rebound by R. Covington,,2,0
9,1,10:23.0,I. Smith makes 2-pt layup from 2 ft,,4,0
10,1,10:10.0,,J. Calderón makes 3-pt jump shot from 24 ft (assist by K. Porziņģis),4,3
11,1,9:53.0,J. Okafor makes 2-pt jump shot from 13 ft (assist by I. Smith),,6,3
12,1,9:37.0,,R. Lopez makes 2-pt hook shot from 4 ft,6,5
13,1,9:23.0,J. Okafor misses 2-pt jump shot from 19 ft,,6,5
14,1,9:22.0,,Defensive rebound by K. Porziņģis,6,5
15,1,9:12.0,,A. Afflalo makes 2-pt jump shot from 7 ft,6,7
16,1,9:12.0,,Shooting foul by J. Sampson (drawn by A. Afflalo),6,7
17,1,9:12.0,,A. Afflalo makes free throw 1 of 1,6,8
18,1,8:59.0,I. Smith misses 2-pt jump shot from 5 ft,,6,8
19,1,8:57.0,,Defensive rebound by R. Lopez,6,8
20,1,8:47.0,,R. Lopez makes 2-pt hook shot from 4 ft (assist by J. Calderón),6,10
21,1,8:34.0,J. Okafor misses 2-pt jump shot from 3 ft,,6,10
22,1,8:32.0,,Defensive rebound by K. Porziņģis,6,10
23,1,8:27.0,,K. Porziņģis makes 2-pt dunk at rim (assist by J. Calderón),6,12
24,1,8:14.0,R. Covington makes 3-pt jump shot from 27 ft (assist by I. Smith),,9,12
25,1,8:01.0,,R. Lopez makes 2-pt layup from 1 ft (assist by C. Anthony),9,14
26,1,8:00.0,Philadelphia full timeout,,9,14
27,1,7:46.0,I. Smith misses 2-pt jump shot from 18 ft,,9,14
28,1,7:44.0,,Defensive rebound by K. Porziņģis,9,14
29,1,7:31.0,,J. Calderón misses 2-pt jump shot from 17 ft,9,14
30,1,7:29.0,Defensive rebound by R. Covington,,9,14
31,1,7:14.0,I. Smith misses 2-pt jump shot from 15 ft,,9,14
32,1,7:12.0,,Defensive rebound by K. Porziņģis,9,14
33,1,6:56.0,,C. Anthony misses 2-pt jump shot from 6 ft,9,14
34,1,6:55.0,Defensive rebound by N. Noel,,9,14
35,1,6:46.0,Turnover by R. Covington (bad pass),,9,14
36,1,6:32.0,,C. Anthony misses 2-pt layup from 1 ft (block by J. Okafor),9,14
37,1,6:30.0,Defensive rebound by J. Okafor,,9,14
38,1,6:19.0,J. Okafor makes 2-pt jump shot from 3 ft,,11,14
39,1,6:00.0,,A. Afflalo misses 2-pt jump shot from 13 ft,11,14
40,1,5:58.0,Defensive rebound by N. Noel,,11,14
41,1,5:45.0,J. Okafor makes 2-pt jump shot from 14 ft,,13,14
42,1,5:28.0,,C. Anthony misses 3-pt jump shot from 24 ft,13,14
43,1,5:26.0,,Offensive rebound by K. Porziņģis,13,14
44,1,5:22.0,,K. Porziņģis makes 2-pt dunk at rim (assist by R. Lopez),13,16
45,1,5:08.0,J. Okafor makes 2-pt hook shot from 2 ft,,15,16
46,1,4:52.0,,C. Anthony makes 2-pt jump shot from 11 ft,15,18
47,1,4:29.0,N. Noel misses 2-pt jump shot from 4 ft,,15,18
48,1,4:27.0,,Defensive rebound by K. Porziņģis,15,18
49,1,4:14.0,,C. Anthony misses 2-pt jump shot from 5 ft,15,18
50,1,4:13.0,Defensive rebound by N. Noel,,15,18
51,1,4:07.0,J. Okafor makes 2-pt layup from 2 ft (assist by I. Smith),,17,18
52,1,3:50.0,,Turnover by A. Afflalo (bad pass),17,18
53,1,3:50.0,,L. Thomas enters the game for K. Porziņģis,17,18
54,1,3:50.0,R. Holmes enters the game for R. Covington,,17,18
55,1,3:50.0,J. Grant enters the game for N. Noel,,17,18
56,1,3:50.0,H. Thompson enters the game for J. Sampson,,17,18
57,1,3:35.0,Offensive foul by J. Grant (drawn by J. Calderón),,17,18
58,1,3:35.0,Turnover by J. Grant (offensive foul),,17,18
59,1,3:23.0,,R. Lopez misses 2-pt jump shot from 5 ft,17,18
60,1,3:21.0,Defensive rebound by I. Smith,,17,18
