,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,GOLDEN STATE_ACTION,SAN ANTONIO_SCORE,GOLDEN STATE_SCORE
0,1,11:48.0,T. Parker misses 2-pt jump shot from 6 ft,,0,0
1,1,11:48.0,,Defensive rebound by A. Bogut,0,0
2,1,11:44.0,,Turnover by D. Green (bad pass; steal by D. Green),0,0
3,1,11:25.0,T. Parker makes 2-pt jump shot from 20 ft (assist by K. Leonard),,2,0
4,1,11:02.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),2,3
5,1,11:01.0,San Antonio full timeout,,2,3
6,1,10:48.0,D. Green misses 3-pt jump shot from 25 ft,,2,3
7,1,10:47.0,,Defensive rebound by A. Bogut,2,3
8,1,10:33.0,,S. Curry misses 2-pt jump shot from 19 ft,2,3
9,1,10:32.0,Defensive rebound by K. Leonard,,2,3
10,1,10:12.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by T. Parker),,4,3
11,1,10:06.0,,H. Barnes makes 2-pt jump shot from 17 ft (assist by S. Curry),4,5
12,1,9:51.0,Personal foul by D. Green,,4,5
13,1,9:36.0,L. Aldridge misses 2-pt jump shot from 17 ft,,4,5
14,1,9:36.0,,Defensive rebound by H. Barnes,4,5
15,1,9:25.0,,D. Green misses 2-pt jump shot from 15 ft,4,5
16,1,9:24.0,Defensive rebound by K. Leonard,,4,5
17,1,9:04.0,Turnover by T. Duncan (back court),,4,5
18,1,8:40.0,,H. Barnes misses 3-pt jump shot from 27 ft,4,5
19,1,8:39.0,,Offensive rebound by A. Bogut,4,5
20,1,8:39.0,,Turnover by Team (shot clock),4,5
21,1,8:23.0,K. Leonard makes 2-pt hook shot from 3 ft,,6,5
22,1,8:07.0,,H. Barnes misses 3-pt jump shot from 24 ft,6,5
23,1,8:07.0,Defensive rebound by Team,,6,5
24,1,8:07.0,,Loose ball foul by D. Green,6,5
25,1,8:07.0,,Technical foul by D. Green,6,5
26,1,8:07.0,K. Leonard misses technical free throw,,6,5
27,1,8:07.0,Offensive rebound by Team,,6,5
28,1,8:07.0,,A. Iguodala enters the game for D. Green,6,5
29,1,8:07.0,,Violation by Team (jump ball),6,5
30,1,7:53.0,Turnover by T. Parker (bad pass; steal by S. Curry),,6,5
31,1,7:47.0,,Turnover by H. Barnes (bad pass),6,5
32,1,7:32.0,Personal foul by H. Barnes,,6,5
33,1,7:26.0,San Antonio full timeout,,6,5
34,1,7:21.0,Turnover by K. Leonard (lost ball; steal by A. Iguodala),,6,5
35,1,7:14.0,,H. Barnes makes 2-pt dunk at rim (assist by S. Curry),6,7
36,1,6:53.0,T. Parker misses 2-pt layup from 2 ft,,6,7
37,1,6:53.0,,Defensive rebound by H. Barnes,6,7
38,1,6:35.0,,A. Iguodala makes 2-pt layup from 2 ft (assist by A. Bogut),6,9
39,1,6:13.0,L. Aldridge misses 2-pt jump shot from 8 ft,,6,9
40,1,6:12.0,,Defensive rebound by A. Bogut,6,9
41,1,6:00.0,,Turnover by H. Barnes (lost ball; steal by L. Aldridge),6,9
42,1,5:47.0,L. Aldridge makes 2-pt hook shot from 10 ft (assist by T. Duncan),,8,9
43,1,5:30.0,,H. Barnes makes 2-pt jump shot from 3 ft (assist by K. Thompson),8,11
44,1,5:10.0,L. Aldridge misses 2-pt layup from 2 ft,,8,11
45,1,5:08.0,Offensive rebound by T. Duncan,,8,11
46,1,5:08.0,T. Duncan makes 2-pt layup at rim,,10,11
47,1,4:51.0,,H. Barnes misses 2-pt jump shot from 7 ft,10,11
48,1,4:51.0,Defensive rebound by T. Duncan,,10,11
49,1,4:38.0,Turnover by L. Aldridge (lost ball; steal by A. Bogut),,10,11
50,1,4:31.0,,K. Thompson misses 2-pt dunk at rim,10,11
51,1,4:30.0,,Offensive rebound by K. Thompson,10,11
52,1,4:29.0,,K. Thompson makes 2-pt jump shot from 17 ft,10,13
53,1,4:07.0,T. Parker misses 2-pt jump shot from 17 ft,,10,13
54,1,4:07.0,,Defensive rebound by H. Barnes,10,13
55,1,3:57.0,,S. Curry misses 2-pt jump shot from 17 ft,10,13
56,1,3:57.0,Defensive rebound by L. Aldridge,,10,13
57,1,3:49.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Leonard),,13,13
58,1,3:38.0,,S. Curry makes 2-pt layup from 1 ft,13,15
59,1,3:18.0,L. Aldridge misses 2-pt layup from 1 ft (block by A. Bogut),,13,15
60,1,3:17.0,,Defensive rebound by H. Barnes,13,15
61,1,3:11.0,,Personal foul by L. Aldridge,13,15
62,1,3:11.0,,Golden State full timeout,13,15
