,QUARTER,TIME_REMAINING,PORTLAND_ACTION,DETROIT_ACTION,PORTLAND_SCORE,DETROIT_SCORE
0,1,11:48.0,,K. Caldwell-Pope misses 2-pt jump shot from 19 ft,0,0
1,1,11:47.0,Defensive rebound by N. Vonleh,,0,0
2,1,11:26.0,D. Lillard misses 2-pt jump shot from 6 ft,,0,0
3,1,11:24.0,Offensive rebound by D. Lillard,,0,0
4,1,11:19.0,A. Aminu misses 3-pt jump shot from 25 ft,,0,0
5,1,11:18.0,,Defensive rebound by A. Drummond,0,0
6,1,11:00.0,,Turnover by A. Drummond (lost ball; steal by M. Plumlee),0,0
7,1,10:51.0,C. McCollum misses 2-pt jump shot from 8 ft,,0,0
8,1,10:50.0,,Defensive rebound by T. Harris,0,0
9,1,10:41.0,,M. Morris misses 2-pt jump shot from 5 ft,0,0
10,1,10:40.0,,Offensive rebound by A. Drummond,0,0
11,1,10:35.0,,A. Drummond makes 2-pt jump shot from 4 ft,0,2
12,1,10:15.0,D. Lillard makes 2-pt jump shot from 13 ft (assist by M. Plumlee),,2,2
13,1,9:53.0,,T. Harris makes 2-pt jump shot from 10 ft (assist by K. Caldwell-Pope),2,4
14,1,9:36.0,Shooting foul by K. Caldwell-Pope (drawn by M. Plumlee),,2,4
15,1,9:36.0,M. Plumlee makes free throw 1 of 2,,3,4
16,1,9:36.0,M. Plumlee makes free throw 2 of 2,,4,4
17,1,9:19.0,,A. Drummond makes 2-pt hook shot from 6 ft,4,6
18,1,9:10.0,Turnover by D. Lillard (bad pass),,4,6
19,1,8:53.0,,A. Drummond makes 2-pt hook shot from 5 ft,4,8
20,1,8:34.0,C. McCollum misses 2-pt hook shot from 4 ft,,4,8
21,1,8:33.0,,Defensive rebound by A. Drummond,4,8
22,1,8:24.0,,R. Jackson misses 3-pt jump shot from 26 ft,4,8
23,1,8:22.0,Defensive rebound by N. Vonleh,,4,8
24,1,8:15.0,Turnover by D. Lillard (bad pass; steal by R. Jackson),,4,8
25,1,7:55.0,,T. Harris makes 2-pt jump shot from 4 ft (assist by K. Caldwell-Pope),4,10
26,1,7:35.0,A. Aminu makes 3-pt jump shot from 25 ft (assist by M. Plumlee),,7,10
27,1,7:10.0,,Personal foul by A. Aminu (drawn by T. Harris),7,10
28,1,6:57.0,,R. Jackson makes 2-pt jump shot from 16 ft,7,12
29,1,6:45.0,Personal foul by A. Drummond (drawn by D. Lillard),,7,12
30,1,6:40.0,D. Lillard misses 3-pt jump shot from 24 ft,,7,12
31,1,6:38.0,,Defensive rebound by A. Drummond,7,12
32,1,6:31.0,,R. Jackson makes 2-pt layup at rim,7,14
33,1,6:09.0,N. Vonleh misses 2-pt hook shot from 4 ft,,7,14
34,1,6:08.0,,Defensive rebound by A. Drummond,7,14
35,1,6:00.0,,Shooting foul by C. McCollum (drawn by R. Jackson),7,14
36,1,6:00.0,,R. Jackson makes free throw 1 of 2,7,15
37,1,6:00.0,,R. Jackson makes free throw 2 of 2,7,16
38,1,5:37.0,A. Aminu makes 3-pt jump shot from 26 ft (assist by N. Vonleh),,10,16
39,1,5:24.0,,T. Harris misses 2-pt layup at rim,10,16
40,1,5:19.0,Defensive rebound by D. Lillard,,10,16
41,1,5:19.0,Turnover by D. Lillard (bad pass; steal by T. Harris),,10,16
42,1,5:13.0,,T. Harris makes 2-pt dunk at rim (assist by R. Jackson),10,18
43,1,5:08.0,Portland full timeout,,10,18
44,1,5:08.0,E. Davis enters the game for N. Vonleh,,10,18
45,1,5:08.0,M. Leonard enters the game for M. Plumlee,,10,18
