,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,MILWAUKEE_ACTION,MEMPHIS_SCORE,MILWAUKEE_SCORE
0,1,11:40.0,T. Allen misses 2-pt jump shot from 6 ft,,0,0
1,1,11:39.0,,Defensive rebound by G. Monroe,0,0
2,1,11:14.0,,G. Antetokounmpo misses 2-pt jump shot from 10 ft,0,0
3,1,11:13.0,Defensive rebound by L. Stephenson,,0,0
4,1,11:00.0,J. Green makes 2-pt jump shot from 7 ft,,2,0
5,1,11:00.0,Shooting foul by G. Antetokounmpo (drawn by J. Green),,2,0
6,1,11:00.0,J. Green makes free throw 1 of 1,,3,0
7,1,10:38.0,,K. Middleton misses 2-pt jump shot from 14 ft,3,0
8,1,10:37.0,,Offensive rebound by J. Parker,3,0
9,1,10:30.0,,J. Bayless misses 2-pt layup at rim,3,0
10,1,10:29.0,Defensive rebound by R. Hollins,,3,0
11,1,10:13.0,M. Barnes makes 3-pt jump shot from 25 ft (assist by L. Stephenson),,6,0
12,1,9:57.0,,G. Monroe makes 2-pt layup from 2 ft (assist by K. Middleton),6,2
13,1,9:33.0,T. Allen misses 2-pt jump shot from 5 ft,,6,2
14,1,9:32.0,,Defensive rebound by G. Monroe,6,2
15,1,9:28.0,,Turnover by G. Antetokounmpo (bad pass),6,2
16,1,9:18.0,L. Stephenson misses 2-pt layup from 2 ft (block by K. Middleton),,6,2
17,1,9:15.0,,Defensive rebound by G. Antetokounmpo,6,2
18,1,9:11.0,,J. Bayless makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),6,5
19,1,8:54.0,T. Allen misses 2-pt jump shot from 5 ft,,6,5
20,1,8:52.0,,Defensive rebound by J. Parker,6,5
21,1,8:47.0,,G. Antetokounmpo makes 2-pt layup at rim,6,7
22,1,8:36.0,T. Allen makes 2-pt layup from 2 ft,,8,7
23,1,8:36.0,Shooting foul by J. Parker (drawn by T. Allen),,8,7
24,1,8:36.0,T. Allen makes free throw 1 of 1,,9,7
25,1,8:24.0,,J. Parker makes 2-pt jump shot from 11 ft (assist by G. Antetokounmpo),9,9
26,1,8:06.0,M. Barnes makes 2-pt layup from 4 ft (assist by J. Green),,11,9
27,1,7:56.0,,K. Middleton makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),11,12
28,1,7:43.0,Turnover by R. Hollins (bad pass),,11,12
29,1,7:35.0,,Shooting foul by T. Allen (drawn by G. Monroe),11,12
30,1,7:35.0,,G. Monroe misses free throw 1 of 2,11,12
31,1,7:35.0,,Offensive rebound by Team,11,12
32,1,7:35.0,,G. Monroe makes free throw 2 of 2,11,13
33,1,7:23.0,L. Stephenson misses 2-pt jump shot from 8 ft,,11,13
34,1,7:22.0,,Defensive rebound by G. Monroe,11,13
35,1,7:16.0,,Turnover by G. Antetokounmpo (lost ball; steal by M. Barnes),11,13
36,1,7:13.0,M. Barnes makes 2-pt layup from 1 ft,,13,13
37,1,7:13.0,Shooting foul by J. Bayless (drawn by M. Barnes),,13,13
38,1,7:13.0,M. Barnes makes free throw 1 of 1,,14,13
39,1,6:53.0,,J. Parker makes 2-pt jump shot from 21 ft (assist by J. Bayless),14,15
40,1,6:37.0,M. Barnes makes 3-pt jump shot from 26 ft (assist by L. Stephenson),,17,15
41,1,6:25.0,,K. Middleton misses 3-pt jump shot from 24 ft,17,15
42,1,6:24.0,Defensive rebound by L. Stephenson,,17,15
43,1,6:08.0,M. Barnes misses 2-pt jump shot from 21 ft,,17,15
44,1,6:04.0,Offensive rebound by J. Green,,17,15
45,1,6:04.0,J. Green makes 2-pt layup from 2 ft,,19,15
46,1,5:48.0,,J. Parker misses 2-pt jump shot from 20 ft,19,15
47,1,5:46.0,Defensive rebound by L. Stephenson,,19,15
48,1,5:40.0,J. Green misses 2-pt jump shot from 18 ft,,19,15
49,1,5:39.0,,Defensive rebound by G. Monroe,19,15
50,1,5:31.0,,Turnover by K. Middleton (lost ball; steal by T. Allen),19,15
51,1,5:31.0,Personal foul by K. Middleton,,19,15
52,1,5:31.0,,Milwaukee full timeout,19,15
53,1,5:31.0,J. Martin enters the game for R. Hollins,,19,15
54,1,5:16.0,M. Barnes makes 2-pt hook shot from 5 ft,,21,15
55,1,5:01.0,,J. Bayless misses 2-pt jump shot from 19 ft,21,15
56,1,5:00.0,Defensive rebound by J. Green,,21,15
57,1,4:47.0,L. Stephenson misses 3-pt jump shot from 24 ft,,21,15
58,1,4:46.0,,Defensive rebound by G. Monroe,21,15
59,1,4:37.0,,J. Parker makes 2-pt jump shot from 15 ft (assist by G. Antetokounmpo),21,17
60,1,4:14.0,J. Martin makes 2-pt jump shot from 4 ft,,23,17
61,1,3:43.0,,J. Bayless makes 3-pt jump shot from 24 ft (assist by K. Middleton),23,20
62,1,3:32.0,L. Stephenson makes 2-pt layup from 1 ft,,25,20
63,1,3:21.0,,Shooting foul by J. Martin (drawn by G. Monroe),25,20
64,1,3:21.0,,G. Monroe makes free throw 1 of 2,25,21
65,1,3:21.0,,D. Inglis enters the game for J. Parker,25,21
66,1,3:21.0,A. Stepheson enters the game for J. Green,,25,21
67,1,3:21.0,B. Weber enters the game for L. Stephenson,,25,21
68,1,3:21.0,,T. Ennis enters the game for J. Bayless,25,21
69,1,3:21.0,,G. Monroe makes free throw 2 of 2,25,22
70,1,3:02.0,A. Stepheson makes 2-pt hook shot from 1 ft (assist by B. Weber),,27,22
71,1,2:42.0,,G. Monroe makes 2-pt layup from 2 ft,27,24
72,1,2:42.0,,Shooting foul by A. Stepheson (drawn by G. Monroe),27,24
73,1,2:42.0,Memphis full timeout,,27,24
74,1,2:42.0,R. McCallum enters the game for T. Allen,,27,24
75,1,2:42.0,,R. Vaughn enters the game for K. Middleton,27,24
76,1,2:42.0,,G. Monroe misses free throw 1 of 1,27,24
