,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,PHOENIX_ACTION,WASHINGTON_SCORE,PHOENIX_SCORE
0,1,11:48.0,M. Morris misses 2-pt jump shot from 13 ft,,0,0
1,1,11:45.0,,Defensive rebound by A. Len,0,0
2,1,11:36.0,,Shooting foul by M. Gortat (drawn by T. Chandler),0,0
3,1,11:36.0,,T. Chandler misses free throw 1 of 2,0,0
4,1,11:36.0,,Offensive rebound by Team,0,0
5,1,11:36.0,,T. Chandler makes free throw 2 of 2,0,1
6,1,11:20.0,O. Porter makes 2-pt jump shot from 15 ft (assist by J. Wall),,2,1
7,1,11:07.0,,P. Tucker makes 2-pt jump shot from 17 ft,2,3
8,1,10:50.0,J. Wall misses 2-pt jump shot from 17 ft,,2,3
9,1,10:48.0,,Defensive rebound by P. Tucker,2,3
10,1,10:30.0,,P. Tucker misses 2-pt layup from 1 ft,2,3
11,1,10:28.0,Defensive rebound by M. Gortat,,2,3
12,1,10:18.0,M. Morris makes 2-pt jump shot from 15 ft (assist by B. Beal),,4,3
13,1,10:06.0,,A. Len misses 2-pt jump shot from 3 ft,4,3
14,1,10:04.0,Defensive rebound by O. Porter,,4,3
15,1,9:58.0,M. Gortat misses 2-pt layup from 1 ft,,4,3
16,1,9:55.0,,Defensive rebound by A. Len,4,3
17,1,9:44.0,,D. Booker makes 3-pt jump shot from 24 ft (assist by R. Price),4,6
18,1,9:29.0,B. Beal misses 3-pt jump shot from 22 ft,,4,6
19,1,9:27.0,,Defensive rebound by T. Chandler,4,6
20,1,9:14.0,,A. Len misses 2-pt jump shot from 8 ft,4,6
21,1,9:14.0,,Offensive rebound by Team,4,6
22,1,9:10.0,,D. Booker makes 2-pt jump shot from 16 ft (assist by P. Tucker),4,8
23,1,8:52.0,M. Gortat makes 2-pt jump shot from 10 ft,,6,8
24,1,8:43.0,,D. Booker misses 2-pt jump shot from 20 ft,6,8
25,1,8:41.0,Defensive rebound by M. Morris,,6,8
26,1,8:37.0,O. Porter misses 2-pt jump shot from 17 ft,,6,8
27,1,8:37.0,Offensive rebound by Team,,6,8
28,1,8:37.0,,Loose ball foul by A. Len,6,8
29,1,8:31.0,B. Beal misses 3-pt jump shot from 25 ft,,6,8
30,1,8:26.0,,Defensive rebound by R. Price,6,8
31,1,8:20.0,,P. Tucker makes 2-pt layup at rim (assist by A. Len),6,10
32,1,8:00.0,M. Morris misses 3-pt jump shot from 24 ft,,6,10
33,1,7:57.0,,Defensive rebound by R. Price,6,10
34,1,7:53.0,,R. Price misses 2-pt layup from 2 ft (block by M. Morris),6,10
35,1,7:49.0,Defensive rebound by J. Wall,,6,10
36,1,7:45.0,M. Gortat misses 2-pt jump shot from 4 ft (block by D. Booker),,6,10
37,1,7:41.0,Offensive rebound by M. Gortat,,6,10
38,1,7:41.0,M. Gortat misses 2-pt hook shot from 7 ft,,6,10
39,1,7:39.0,Offensive rebound by O. Porter,,6,10
40,1,7:36.0,J. Wall makes 3-pt jump shot from 25 ft (assist by O. Porter),,9,10
41,1,7:16.0,,P. Tucker makes 3-pt jump shot from 22 ft (assist by R. Price),9,13
42,1,7:09.0,Turnover by J. Wall (bad pass),,9,13
43,1,6:51.0,,Personal foul by B. Beal,9,13
44,1,6:38.0,,R. Price misses 3-pt jump shot from 23 ft,9,13
45,1,6:36.0,,Offensive rebound by A. Len,9,13
46,1,6:28.0,,T. Chandler makes 2-pt dunk at rim (assist by R. Price),9,15
47,1,6:05.0,M. Morris misses 3-pt jump shot from 25 ft,,9,15
48,1,6:03.0,,Defensive rebound by D. Booker,9,15
49,1,5:52.0,,D. Booker misses 2-pt jump shot from 16 ft,9,15
50,1,5:52.0,Defensive rebound by Team,,9,15
51,1,5:52.0,,Loose ball foul by A. Len,9,15
52,1,5:52.0,,Phoenix full timeout,9,15
53,1,5:52.0,,M. Teletović enters the game for A. Len,9,15
54,1,5:39.0,J. Wall makes 2-pt jump shot from 20 ft,,11,15
55,1,5:25.0,,D. Booker makes 2-pt layup from 2 ft (assist by R. Price),11,17
56,1,5:10.0,Turnover by J. Wall (lost ball; steal by R. Price),,11,17
57,1,5:07.0,,Shooting foul by J. Wall (drawn by R. Price),11,17
58,1,5:07.0,,R. Price makes free throw 1 of 2,11,18
59,1,5:07.0,,R. Price makes free throw 2 of 2,11,19
60,1,4:51.0,J. Wall makes 3-pt jump shot from 24 ft (assist by B. Beal),,14,19
61,1,4:43.0,,M. Teletović misses 3-pt jump shot from 25 ft,14,19
62,1,4:40.0,,Offensive rebound by T. Chandler,14,19
63,1,4:36.0,,M. Teletović misses 2-pt jump shot from 21 ft,14,19
64,1,4:35.0,,Offensive rebound by Team,14,19
65,1,4:15.0,,P. Tucker misses 2-pt dunk at rim,14,19
66,1,4:12.0,Defensive rebound by M. Gortat,,14,19
67,1,4:03.0,Personal foul by P. Tucker,,14,19
68,1,4:03.0,G. Temple enters the game for B. Beal,,14,19
69,1,3:59.0,O. Porter misses 2-pt jump shot from 17 ft,,14,19
70,1,3:56.0,,Defensive rebound by M. Teletović,14,19
