,QUARTER,TIME_REMAINING,DETROIT_ACTION,CHARLOTTE_ACTION,DETROIT_SCORE,CHARLOTTE_SCORE
0,1,11:43.0,,C. Lee makes 2-pt layup from 1 ft (assist by K. Walker),0,2
1,1,11:25.0,M. Morris misses 2-pt jump shot from 13 ft,,0,2
2,1,11:23.0,,Defensive rebound by C. Zeller,0,2
3,1,11:14.0,,N. Batum misses 2-pt jump shot from 17 ft,0,2
4,1,11:13.0,Defensive rebound by A. Drummond,,0,2
5,1,11:07.0,K. Caldwell-Pope makes 2-pt jump shot from 16 ft (assist by R. Jackson),,2,2
6,1,10:49.0,Violation by M. Morris (kicked ball),,2,2
7,1,10:43.0,,K. Walker makes 3-pt jump shot from 25 ft (assist by N. Batum),2,5
8,1,10:21.0,T. Harris misses 3-pt jump shot from 24 ft,,2,5
9,1,10:20.0,,Defensive rebound by C. Lee,2,5
10,1,10:11.0,,K. Walker misses 3-pt jump shot from 23 ft,2,5
11,1,10:08.0,,Offensive rebound by C. Zeller,2,5
12,1,10:04.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by N. Batum),2,8
13,1,9:57.0,Detroit full timeout,,2,8
14,1,9:45.0,K. Caldwell-Pope makes 2-pt jump shot from 19 ft,,4,8
15,1,9:28.0,,N. Batum makes 2-pt jump shot from 13 ft,4,10
16,1,9:19.0,Offensive foul by A. Drummond (drawn by C. Zeller),,4,10
17,1,9:19.0,Turnover by A. Drummond (offensive foul),,4,10
18,1,9:01.0,,M. Williams makes 3-pt jump shot from 27 ft (assist by C. Lee),4,13
19,1,8:45.0,T. Harris makes 3-pt jump shot from 24 ft (assist by M. Morris),,7,13
20,1,8:24.0,,Turnover by K. Walker (lost ball; steal by K. Caldwell-Pope),7,13
21,1,8:18.0,T. Harris makes 2-pt jump shot from 14 ft (assist by R. Jackson),,9,13
22,1,8:01.0,,N. Batum misses 2-pt jump shot from 14 ft,9,13
23,1,7:59.0,Defensive rebound by A. Drummond,,9,13
24,1,7:47.0,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by R. Jackson),,12,13
25,1,7:43.0,,Charlotte full timeout,12,13
26,1,7:30.0,,C. Lee makes 2-pt jump shot from 15 ft,12,15
27,1,7:19.0,Offensive foul by K. Caldwell-Pope (drawn by C. Lee),,12,15
28,1,7:19.0,Turnover by K. Caldwell-Pope (offensive foul),,12,15
29,1,7:07.0,,C. Zeller makes 2-pt dunk at rim (assist by N. Batum),12,17
30,1,6:55.0,Shooting foul by K. Walker (drawn by R. Jackson),,12,17
31,1,6:55.0,R. Jackson makes free throw 1 of 2,,13,17
32,1,6:55.0,R. Jackson makes free throw 2 of 2,,14,17
33,1,6:34.0,,M. Williams makes 3-pt jump shot from 24 ft (assist by N. Batum),14,20
34,1,6:10.0,R. Jackson makes 3-pt jump shot from 28 ft (assist by T. Harris),,17,20
35,1,5:55.0,,M. Williams makes 2-pt jump shot from 10 ft (assist by N. Batum),17,22
36,1,5:39.0,K. Caldwell-Pope makes 2-pt jump shot from 17 ft (assist by R. Jackson),,19,22
37,1,5:28.0,,Shooting foul by A. Drummond (drawn by C. Zeller),19,22
38,1,5:28.0,,C. Zeller makes free throw 1 of 2,19,23
39,1,5:28.0,A. Baynes enters the game for A. Drummond,,19,23
40,1,5:28.0,,C. Zeller makes free throw 2 of 2,19,24
41,1,5:16.0,M. Morris misses 3-pt jump shot from 25 ft,,19,24
42,1,5:15.0,,Defensive rebound by M. Williams,19,24
43,1,5:07.0,,K. Walker misses 3-pt jump shot from 25 ft,19,24
44,1,5:04.0,Defensive rebound by M. Morris,,19,24
45,1,4:48.0,Turnover by T. Harris (lost ball; steal by C. Zeller),,19,24
46,1,4:38.0,,Shooting foul by M. Morris (drawn by C. Zeller),19,24
47,1,4:38.0,,C. Zeller makes free throw 1 of 2,19,25
48,1,4:38.0,,J. Lin enters the game for C. Lee,19,25
49,1,4:38.0,,C. Zeller makes free throw 2 of 2,19,26
50,1,4:25.0,Turnover by K. Caldwell-Pope (bad pass; steal by N. Batum),,19,26
51,1,4:18.0,,J. Lin misses 3-pt jump shot from 24 ft,19,26
52,1,4:17.0,Defensive rebound by A. Baynes,,19,26
53,1,4:09.0,Turnover by R. Jackson (bad pass; steal by J. Lin),,19,26
54,1,4:02.0,,K. Walker misses 2-pt layup from 2 ft (block by A. Baynes),19,26
55,1,4:02.0,,Offensive rebound by Team,19,26
56,1,4:02.0,,A. Jefferson enters the game for C. Zeller,19,26
57,1,3:58.0,,J. Lin makes 3-pt jump shot from 25 ft (assist by N. Batum),19,29
58,1,3:51.0,Detroit full timeout,,19,29
59,1,3:51.0,,J. Lamb enters the game for N. Batum,19,29
60,1,3:36.0,M. Morris makes 2-pt jump shot from 5 ft,,21,29
61,1,3:24.0,,Shooting foul by M. Morris (drawn by A. Jefferson),21,29
62,1,3:24.0,,A. Jefferson makes free throw 1 of 2,21,30
63,1,3:24.0,,F. Kaminsky enters the game for M. Williams,21,30
64,1,3:24.0,R. Bullock enters the game for M. Morris,,21,30
65,1,3:24.0,,A. Jefferson misses free throw 2 of 2,21,30
66,1,3:22.0,Defensive rebound by R. Bullock,,21,30
67,1,3:09.0,T. Harris makes 2-pt layup from 1 ft (assist by R. Jackson),,23,30
68,1,2:52.0,,A. Jefferson misses 2-pt jump shot from 19 ft,23,30
69,1,2:51.0,Defensive rebound by T. Harris,,23,30
70,1,2:36.0,K. Caldwell-Pope makes 2-pt jump shot from 21 ft (assist by R. Bullock),,25,30
71,1,2:18.0,,Turnover by K. Walker (bad pass; steal by T. Harris),25,30
72,1,2:10.0,R. Jackson misses 3-pt jump shot from 22 ft,,25,30
73,1,2:09.0,,Defensive rebound by J. Lamb,25,30
74,1,1:44.0,,A. Jefferson makes 2-pt jump shot from 7 ft,25,32
