,QUARTER,TIME_REMAINING,ORLANDO_ACTION,OKLAHOMA CITY_ACTION,ORLANDO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:36.0,A. Gordon misses 2-pt jump shot from 10 ft,,0,0
1,1,11:35.0,,Defensive rebound by R. Westbrook,0,0
2,1,11:21.0,,K. Durant makes 2-pt layup at rim (assist by R. Westbrook),0,2
3,1,11:05.0,N. Vučević makes 2-pt jump shot from 16 ft,,2,2
4,1,10:45.0,,D. Waiters makes 2-pt layup at rim,2,4
5,1,10:24.0,E. Payton misses 2-pt jump shot from 17 ft,,2,4
6,1,10:24.0,,Defensive rebound by K. Durant,2,4
7,1,10:14.0,,Personal foul by E. Payton (drawn by R. Westbrook),2,4
8,1,10:02.0,,R. Westbrook misses 2-pt jump shot from 11 ft,2,4
9,1,10:01.0,Defensive rebound by V. Oladipo,,2,4
10,1,9:52.0,N. Vučević makes 2-pt hook shot from 4 ft,,4,4
11,1,9:26.0,,K. Durant misses 3-pt jump shot from 24 ft,4,4
12,1,9:25.0,Defensive rebound by T. Harris,,4,4
13,1,9:09.0,T. Harris misses 3-pt jump shot from 22 ft,,4,4
14,1,9:09.0,,Defensive rebound by R. Westbrook,4,4
15,1,9:03.0,,R. Westbrook makes 2-pt jump shot from 14 ft,4,6
16,1,8:42.0,T. Harris misses 3-pt jump shot from 24 ft,,4,6
17,1,8:42.0,,Defensive rebound by R. Westbrook,4,6
18,1,8:27.0,,Turnover by S. Adams (lost ball),4,6
19,1,8:17.0,N. Vučević misses 2-pt layup from 1 ft (block by S. Ibaka),,4,6
20,1,8:16.0,,Defensive rebound by S. Ibaka,4,6
21,1,8:11.0,,S. Adams misses 2-pt dunk at rim,4,6
22,1,8:10.0,Defensive rebound by E. Payton,,4,6
23,1,8:04.0,T. Harris makes 2-pt dunk at rim (assist by V. Oladipo),,6,6
24,1,7:54.0,,Personal foul by E. Payton (drawn by R. Westbrook),6,6
25,1,7:54.0,M. Hezonja enters the game for E. Payton,,6,6
26,1,7:43.0,,S. Ibaka makes 2-pt jump shot from 8 ft (assist by R. Westbrook),6,8
27,1,7:27.0,A. Gordon misses 3-pt jump shot from 24 ft,,6,8
28,1,7:26.0,,Defensive rebound by K. Durant,6,8
29,1,7:20.0,,R. Westbrook makes 2-pt jump shot from 13 ft (assist by K. Durant),6,10
30,1,7:07.0,M. Hezonja makes 2-pt layup at rim,,8,10
31,1,6:57.0,,Shooting foul by T. Harris (drawn by K. Durant),8,10
