,QUARTER,TIME_REMAINING,DALLAS_ACTION,PHILADELPHIA_ACTION,DALLAS_SCORE,PHILADELPHIA_SCORE
0,1,11:41.0,,N. Noel misses 2-pt jump shot from 17 ft,0,0
1,1,11:39.0,Defensive rebound by D. Nowitzki,,0,0
2,1,11:24.0,D. Williams misses 2-pt jump shot from 12 ft (block by T. McConnell),,0,0
3,1,11:22.0,,Defensive rebound by T. McConnell,0,0
4,1,11:11.0,,Turnover by J. Okafor (traveling),0,0
5,1,10:49.0,W. Matthews misses 3-pt jump shot from 25 ft,,0,0
6,1,10:48.0,,Defensive rebound by N. Noel,0,0
7,1,10:40.0,,Turnover by N. Noel (lost ball; steal by D. Nowitzki),0,0
8,1,10:38.0,Shooting foul by T. McConnell (drawn by C. Parsons),,0,0
9,1,10:38.0,C. Parsons makes 2-pt layup from 2 ft (assist by W. Matthews),,2,0
10,1,10:38.0,C. Parsons makes free throw 1 of 1,,3,0
11,1,10:15.0,,Turnover by J. Grant (bad pass; steal by W. Matthews),3,0
12,1,10:07.0,C. Parsons misses 3-pt jump shot from 26 ft,,3,0
13,1,10:05.0,,Defensive rebound by N. Noel,3,0
14,1,9:46.0,,N. Stauskas misses 3-pt jump shot from 26 ft,3,0
15,1,9:44.0,Defensive rebound by Z. Pachulia,,3,0
16,1,9:29.0,D. Williams makes 2-pt layup from 1 ft,,5,0
17,1,9:18.0,,Personal foul by D. Nowitzki (drawn by N. Noel),5,0
18,1,9:09.0,,N. Stauskas misses 2-pt jump shot from 16 ft,5,0
19,1,9:05.0,Defensive rebound by D. Nowitzki,,5,0
20,1,8:56.0,W. Matthews misses 2-pt jump shot from 7 ft,,5,0
21,1,8:54.0,Offensive rebound by Z. Pachulia,,5,0
22,1,8:52.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,5,0
23,1,8:50.0,,Defensive rebound by T. McConnell,5,0
24,1,8:36.0,,J. Okafor misses 2-pt jump shot from 4 ft (block by D. Nowitzki),5,0
25,1,8:34.0,,Offensive rebound by N. Noel,5,0
26,1,8:32.0,,N. Noel makes 2-pt jump shot from 5 ft,5,2
27,1,8:15.0,D. Nowitzki makes 2-pt jump shot from 18 ft (assist by D. Williams),,7,2
28,1,7:57.0,,Personal foul by W. Matthews (drawn by N. Stauskas),7,2
29,1,7:48.0,,Turnover by T. McConnell (lost ball; steal by Z. Pachulia),7,2
30,1,7:44.0,C. Parsons makes 2-pt dunk at rim,,9,2
31,1,7:27.0,,J. Grant misses 2-pt jump shot from 13 ft,9,2
32,1,7:26.0,Defensive rebound by D. Nowitzki,,9,2
33,1,7:18.0,C. Parsons makes 2-pt jump shot from 18 ft,,11,2
34,1,7:17.0,,Philadelphia full timeout,11,2
35,1,7:17.0,D. Harris enters the game for W. Matthews,,11,2
36,1,7:17.0,D. Powell enters the game for D. Nowitzki,,11,2
37,1,6:54.0,,T. McConnell makes 2-pt jump shot from 19 ft,11,4
38,1,6:43.0,Personal foul by N. Stauskas (drawn by D. Harris),,11,4
39,1,6:43.0,,R. Covington enters the game for J. Okafor,11,4
40,1,6:31.0,C. Parsons makes 2-pt jump shot from 20 ft (assist by Z. Pachulia),,13,4
41,1,6:17.0,,T. McConnell misses 3-pt jump shot from 25 ft,13,4
42,1,6:15.0,Defensive rebound by D. Harris,,13,4
43,1,6:11.0,,I. Canaan enters the game for T. McConnell,13,4
44,1,6:08.0,C. Parsons makes 2-pt jump shot from 1 ft (assist by D. Williams),,15,4
45,1,6:00.0,,R. Covington misses 3-pt jump shot from 25 ft,15,4
46,1,5:58.0,Defensive rebound by D. Harris,,15,4
47,1,5:48.0,Turnover by D. Harris (bad pass),,15,4
48,1,5:39.0,,Turnover by N. Stauskas (bad pass),15,4
49,1,5:27.0,Z. Pachulia misses 2-pt layup from 2 ft,,15,4
50,1,5:25.0,,Defensive rebound by J. Grant,15,4
51,1,5:19.0,,Turnover by J. Grant (bad pass),15,4
52,1,5:06.0,Shooting foul by N. Noel (drawn by Z. Pachulia),,15,4
53,1,5:06.0,Z. Pachulia misses free throw 1 of 2,,15,4
54,1,5:06.0,Offensive rebound by Team,,15,4
55,1,5:06.0,,J. Sampson enters the game for N. Stauskas,15,4
56,1,5:06.0,Z. Pachulia makes free throw 2 of 2,,16,4
57,1,4:59.0,,J. Grant misses 2-pt jump shot from 3 ft (block by C. Parsons),16,4
58,1,4:56.0,Defensive rebound by D. Harris,,16,4
59,1,4:53.0,D. Williams misses 2-pt layup from 2 ft,,16,4
60,1,4:53.0,Offensive rebound by Team,,16,4
61,1,4:53.0,,Loose ball foul by J. Sampson (drawn by Z. Pachulia),16,4
62,1,4:53.0,R. Felton enters the game for D. Williams,,16,4
63,1,4:45.0,Shooting foul by J. Grant (drawn by D. Powell),,16,4
64,1,4:45.0,,H. Thompson enters the game for J. Grant,16,4
65,1,4:45.0,D. Powell misses free throw 1 of 2,,16,4
66,1,4:45.0,Offensive rebound by Team,,16,4
67,1,4:45.0,,J. Okafor enters the game for N. Noel,16,4
68,1,4:45.0,D. Powell misses free throw 2 of 2,,16,4
69,1,4:43.0,,Defensive rebound by R. Covington,16,4
70,1,4:26.0,,I. Canaan misses 3-pt jump shot from 26 ft,16,4
71,1,4:24.0,Defensive rebound by Z. Pachulia,,16,4
72,1,4:15.0,R. Felton misses 2-pt jump shot from 17 ft,,16,4
73,1,4:13.0,,Defensive rebound by J. Okafor,16,4
74,1,3:56.0,,J. Sampson makes 2-pt layup from 1 ft (assist by I. Canaan),16,6
75,1,3:40.0,D. Harris misses 2-pt jump shot from 18 ft,,16,6
76,1,3:38.0,Offensive rebound by D. Powell,,16,6
77,1,3:38.0,Turnover by D. Powell (lost ball; steal by H. Thompson),,16,6
78,1,3:30.0,,H. Thompson makes 2-pt layup from 2 ft (assist by R. Covington),16,8
79,1,3:30.0,,Shooting foul by D. Powell (drawn by H. Thompson),16,8
80,1,3:30.0,Dallas full timeout,,16,8
81,1,3:30.0,W. Matthews enters the game for C. Parsons,,16,8
82,1,3:30.0,D. Nowitzki enters the game for Z. Pachulia,,16,8
83,1,3:30.0,,H. Thompson makes free throw 1 of 1,16,9
84,1,3:06.0,D. Harris misses 2-pt jump shot from 3 ft,,16,9
85,1,3:04.0,,Defensive rebound by I. Canaan,16,9
86,1,3:00.0,,Personal foul by D. Nowitzki (drawn by R. Covington),16,9
87,1,3:00.0,,R. Covington makes free throw 1 of 2,16,10
88,1,3:00.0,C. Villanueva enters the game for D. Nowitzki,,16,10
89,1,3:00.0,,R. Covington misses free throw 2 of 2,16,10
90,1,2:58.0,Defensive rebound by D. Powell,,16,10
