,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MILWAUKEE_ACTION,SAN ANTONIO_SCORE,MILWAUKEE_SCORE
0,1,11:47.0,,J. Parker makes 2-pt layup at rim (assist by G. Monroe),0,2
1,1,11:32.0,D. Green misses 3-pt jump shot from 23 ft,,0,2
2,1,11:31.0,,Defensive rebound by G. Monroe,0,2
3,1,11:18.0,,J. Parker makes 2-pt jump shot from 21 ft (assist by G. Monroe),0,4
4,1,11:06.0,Shooting foul by J. Parker (drawn by K. Leonard),,0,4
5,1,11:06.0,K. Leonard makes free throw 1 of 2,,1,4
6,1,11:06.0,K. Leonard makes free throw 2 of 2,,2,4
7,1,10:48.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by M. Carter-Williams),2,6
8,1,10:38.0,L. Aldridge misses 2-pt jump shot from 6 ft,,2,6
9,1,10:37.0,Offensive rebound by L. Aldridge,,2,6
10,1,10:36.0,L. Aldridge misses 2-pt layup from 4 ft,,2,6
11,1,10:35.0,Offensive rebound by T. Duncan,,2,6
12,1,10:35.0,T. Duncan misses 2-pt layup from 2 ft,,2,6
13,1,10:33.0,Offensive rebound by D. Green,,2,6
14,1,10:28.0,K. Leonard misses 2-pt jump shot from 18 ft,,2,6
15,1,10:27.0,Offensive rebound by D. Green,,2,6
16,1,10:27.0,D. Green misses 2-pt layup at rim,,2,6
17,1,10:23.0,,Defensive rebound by G. Monroe,2,6
18,1,10:19.0,,Turnover by G. Antetokounmpo (lost ball),2,6
19,1,9:56.0,T. Duncan makes 2-pt jump shot from 5 ft,,4,6
20,1,9:41.0,,Shooting foul by L. Aldridge (drawn by G. Antetokounmpo),4,6
21,1,9:41.0,,G. Antetokounmpo misses free throw 1 of 2,4,6
22,1,9:41.0,,Offensive rebound by Team,4,6
23,1,9:41.0,,G. Antetokounmpo makes free throw 2 of 2,4,7
24,1,9:19.0,D. Green misses 3-pt jump shot from 25 ft,,4,7
25,1,9:18.0,,Defensive rebound by J. Parker,4,7
26,1,9:10.0,,G. Antetokounmpo makes 2-pt jump shot from 17 ft (assist by M. Carter-Williams),4,9
27,1,8:49.0,P. Mills misses 3-pt jump shot from 26 ft,,4,9
28,1,8:48.0,,Defensive rebound by J. Parker,4,9
29,1,8:30.0,,J. Parker misses 3-pt jump shot from 24 ft,4,9
30,1,8:28.0,Defensive rebound by T. Duncan,,4,9
31,1,8:07.0,D. Green misses 3-pt jump shot from 23 ft,,4,9
32,1,8:06.0,Offensive rebound by Team,,4,9
33,1,7:55.0,T. Duncan misses 2-pt jump shot from 8 ft,,4,9
34,1,7:54.0,Offensive rebound by L. Aldridge,,4,9
35,1,7:53.0,L. Aldridge makes 2-pt layup from 1 ft,,6,9
36,1,7:41.0,,Shooting foul by D. Green (drawn by K. Middleton),6,9
37,1,7:41.0,,K. Middleton makes free throw 1 of 2,6,10
38,1,7:41.0,,K. Middleton makes free throw 2 of 2,6,11
39,1,7:23.0,Turnover by P. Mills (bad pass),,6,11
40,1,7:08.0,,G. Monroe makes 2-pt layup from 1 ft,6,13
41,1,7:08.0,San Antonio full timeout,,6,13
42,1,6:46.0,Turnover by D. Green (step out of bounds),,6,13
43,1,6:31.0,,K. Middleton makes 2-pt jump shot from 16 ft (assist by J. Parker),6,15
44,1,6:11.0,K. Leonard makes 3-pt jump shot from 25 ft (assist by T. Duncan),,9,15
45,1,5:56.0,,M. Carter-Williams makes 2-pt layup from 1 ft,9,17
46,1,5:33.0,K. Leonard makes 2-pt jump shot from 14 ft (assist by P. Mills),,11,17
47,1,5:23.0,,Turnover by K. Middleton (bad pass; steal by D. Green),11,17
48,1,5:15.0,T. Duncan makes 2-pt layup at rim (assist by K. Leonard),,13,17
49,1,4:54.0,,M. Carter-Williams makes 3-pt jump shot from 25 ft (assist by K. Middleton),13,20
50,1,4:37.0,D. Green makes 3-pt jump shot from 24 ft (assist by P. Mills),,16,20
51,1,4:19.0,,G. Monroe misses 2-pt jump shot from 16 ft,16,20
52,1,4:18.0,Defensive rebound by L. Aldridge,,16,20
53,1,4:11.0,K. Leonard misses 3-pt jump shot from 24 ft,,16,20
54,1,4:09.0,Offensive rebound by L. Aldridge,,16,20
55,1,4:08.0,L. Aldridge makes 2-pt dunk at rim,,18,20
56,1,4:00.0,,Milwaukee full timeout,18,20
57,1,4:00.0,,O. Mayo enters the game for G. Antetokounmpo,18,20
58,1,4:00.0,,J. Henson enters the game for G. Monroe,18,20
59,1,4:00.0,R. McCallum enters the game for T. Duncan,,18,20
60,1,4:00.0,M. Ginóbili enters the game for D. Green,,18,20
61,1,4:00.0,B. Diaw enters the game for P. Mills,,18,20
62,1,3:48.0,,J. Parker makes 2-pt layup from 1 ft,18,22
63,1,3:34.0,K. Leonard makes 2-pt jump shot from 19 ft (assist by M. Ginóbili),,20,22
64,1,3:23.0,,M. Carter-Williams misses 2-pt jump shot from 18 ft,20,22
65,1,3:22.0,Defensive rebound by L. Aldridge,,20,22
66,1,3:06.0,Turnover by K. Leonard (bad pass),,20,22
67,1,3:06.0,D. West enters the game for B. Diaw,,20,22
68,1,2:53.0,Violation by L. Aldridge (def goaltending),,20,22
69,1,2:53.0,,K. Middleton makes 2-pt layup at rim,20,24
70,1,2:33.0,L. Aldridge makes 2-pt hook shot from 6 ft (assist by D. West),,22,24
