,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,TORONTO_ACTION,CHARLOTTE_SCORE,TORONTO_SCORE
0,1,11:41.0,,L. Scola misses 2-pt jump shot from 4 ft (block by C. Zeller),0,0
1,1,11:39.0,,Offensive rebound by J. Valančiūnas,0,0
2,1,11:35.0,,J. Valančiūnas makes 2-pt dunk at rim,0,2
3,1,11:25.0,C. Zeller makes 2-pt layup at rim (assist by N. Batum),,2,2
4,1,11:06.0,,K. Lowry misses 2-pt jump shot from 16 ft,2,2
5,1,11:06.0,Defensive rebound by M. Williams,,2,2
6,1,10:59.0,N. Batum makes 2-pt jump shot from 16 ft,,4,2
7,1,10:33.0,,Shooting foul by C. Zeller (drawn by J. Valančiūnas),4,2
8,1,10:33.0,,J. Valančiūnas makes free throw 1 of 2,4,3
9,1,10:33.0,,J. Valančiūnas makes free throw 2 of 2,4,4
10,1,10:20.0,N. Batum misses 2-pt jump shot from 17 ft,,4,4
11,1,10:18.0,,Defensive rebound by L. Scola,4,4
12,1,9:56.0,,D. DeRozan misses 2-pt jump shot from 4 ft,4,4
13,1,9:55.0,,Offensive rebound by L. Scola,4,4
14,1,9:53.0,,L. Scola misses 2-pt layup from 1 ft,4,4
15,1,9:52.0,,Offensive rebound by L. Scola,4,4
16,1,9:50.0,,L. Scola misses 2-pt layup from 1 ft (block by M. Williams),4,4
17,1,9:49.0,Defensive rebound by C. Zeller,,4,4
18,1,9:45.0,C. Zeller makes 2-pt layup at rim (assist by K. Walker),,6,4
19,1,9:33.0,,Turnover by D. DeRozan (bad pass; steal by K. Walker),6,4
20,1,9:27.0,C. Zeller misses 2-pt layup from 1 ft,,6,4
21,1,9:26.0,,Defensive rebound by D. Carroll,6,4
22,1,9:13.0,,D. DeRozan makes 3-pt jump shot from 23 ft (assist by K. Lowry),6,7
23,1,8:54.0,P. Hairston makes 2-pt jump shot from 19 ft,,8,7
24,1,8:34.0,,K. Lowry makes 2-pt layup at rim (assist by J. Valančiūnas),8,9
25,1,8:22.0,M. Williams misses 3-pt jump shot from 24 ft,,8,9
26,1,8:21.0,,Defensive rebound by K. Lowry,8,9
27,1,8:10.0,,K. Lowry misses 3-pt jump shot from 23 ft,8,9
28,1,8:10.0,Defensive rebound by M. Williams,,8,9
29,1,8:06.0,Turnover by M. Williams (bad pass; steal by D. DeRozan),,8,9
30,1,7:50.0,,L. Scola makes 3-pt jump shot from 22 ft (assist by K. Lowry),8,12
31,1,7:42.0,Charlotte full timeout,,8,12
32,1,7:42.0,Violation by Team (delay of game),,8,12
33,1,7:29.0,N. Batum misses 2-pt jump shot from 15 ft,,8,12
34,1,7:28.0,Offensive rebound by C. Zeller,,8,12
35,1,7:23.0,K. Walker misses 3-pt jump shot from 23 ft,,8,12
36,1,7:22.0,,Defensive rebound by L. Scola,8,12
37,1,7:16.0,,Turnover by K. Lowry (bad pass; steal by K. Walker),8,12
38,1,7:09.0,M. Williams makes 2-pt jump shot from 1 ft (assist by K. Walker),,10,12
39,1,6:53.0,,D. Carroll makes 3-pt jump shot from 23 ft (assist by J. Valančiūnas),10,15
40,1,6:32.0,K. Walker misses 2-pt jump shot from 14 ft,,10,15
41,1,6:32.0,,Defensive rebound by J. Valančiūnas,10,15
42,1,6:25.0,,L. Scola misses 3-pt jump shot from 24 ft,10,15
43,1,6:24.0,Defensive rebound by P. Hairston,,10,15
44,1,6:14.0,Shooting foul by D. DeRozan (drawn by C. Zeller),,10,15
45,1,6:14.0,C. Zeller makes free throw 1 of 2,,11,15
46,1,6:14.0,C. Zeller makes free throw 2 of 2,,12,15
47,1,5:56.0,,Turnover by K. Lowry (bad pass),12,15
48,1,5:48.0,Personal foul by L. Scola (drawn by C. Zeller),,12,15
49,1,5:42.0,N. Batum makes 3-pt jump shot from 24 ft,,15,15
50,1,5:18.0,,D. Carroll makes 3-pt jump shot from 24 ft (assist by D. DeRozan),15,18
51,1,4:58.0,M. Williams makes 3-pt jump shot from 23 ft (assist by C. Zeller),,18,18
52,1,4:43.0,,D. DeRozan makes 2-pt layup from 2 ft,18,20
53,1,4:35.0,Charlotte full timeout,,18,20
54,1,4:35.0,,T. Ross enters the game for D. Carroll,18,20
55,1,4:35.0,F. Kaminsky enters the game for M. Williams,,18,20
56,1,4:22.0,Shooting foul by J. Valančiūnas (drawn by C. Zeller),,18,20
57,1,4:22.0,C. Zeller misses free throw 1 of 2,,18,20
58,1,4:22.0,Offensive rebound by Team,,18,20
59,1,4:22.0,,P. Patterson enters the game for L. Scola,18,20
60,1,4:22.0,C. Zeller makes free throw 2 of 2,,19,20
61,1,4:03.0,,D. DeRozan makes 2-pt jump shot from 16 ft,19,22
62,1,3:46.0,F. Kaminsky misses 3-pt jump shot from 24 ft,,19,22
63,1,3:45.0,Offensive rebound by C. Zeller,,19,22
64,1,3:39.0,K. Walker misses 3-pt jump shot from 23 ft,,19,22
65,1,3:38.0,Offensive rebound by P. Hairston,,19,22
66,1,3:33.0,P. Hairston misses 2-pt layup from 1 ft,,19,22
67,1,3:32.0,,Defensive rebound by J. Valančiūnas,19,22
68,1,3:29.0,,Turnover by K. Lowry (bad pass),19,22
69,1,3:29.0,J. Lamb enters the game for N. Batum,,19,22
70,1,3:29.0,,B. Biyombo enters the game for J. Valančiūnas,19,22
71,1,3:11.0,J. Lamb makes 3-pt jump shot from 22 ft (assist by K. Walker),,22,22
72,1,2:52.0,,P. Patterson misses 3-pt jump shot from 25 ft,22,22
73,1,2:51.0,Defensive rebound by P. Hairston,,22,22
74,1,2:43.0,K. Walker misses 2-pt jump shot from 8 ft,,22,22
75,1,2:42.0,Offensive rebound by C. Zeller,,22,22
76,1,2:39.0,C. Zeller misses 2-pt layup from 4 ft,,22,22
77,1,2:38.0,,Defensive rebound by B. Biyombo,22,22
78,1,2:33.0,,D. DeRozan misses 2-pt layup from 1 ft,22,22
79,1,2:33.0,,Offensive rebound by Team,22,22
80,1,2:33.0,,Toronto full timeout,22,22
81,1,2:33.0,B. Roberts enters the game for P. Hairston,,22,22
82,1,2:33.0,T. Hansbrough enters the game for C. Zeller,,22,22
83,1,2:33.0,,C. Joseph enters the game for K. Lowry,22,22
84,1,2:25.0,,D. DeRozan misses 2-pt jump shot from 7 ft,22,22
85,1,2:24.0,Defensive rebound by F. Kaminsky,,22,22
86,1,2:22.0,Turnover by F. Kaminsky (lost ball; steal by P. Patterson),,22,22
87,1,2:13.0,,Def 3 sec tech foul by T. Hansbrough,22,22
88,1,2:13.0,,D. DeRozan makes technical free throw,22,23
89,1,2:01.0,,C. Joseph makes 2-pt jump shot from 20 ft,22,25
90,1,1:52.0,Personal foul by T. Ross (drawn by B. Roberts),,22,25
91,1,1:44.0,Shooting foul by T. Ross (drawn by B. Roberts),,22,25
92,1,1:44.0,B. Roberts makes free throw 1 of 2,,23,25
93,1,1:44.0,B. Roberts makes free throw 2 of 2,,24,25
94,1,1:25.0,,P. Patterson misses 2-pt jump shot from 6 ft,24,25
95,1,1:25.0,Defensive rebound by F. Kaminsky,,24,25
96,1,1:14.0,K. Walker makes 2-pt layup from 2 ft,,26,25
97,1,1:04.0,,D. DeRozan makes 2-pt layup from 2 ft,26,27
98,1,0:44.0,K. Walker misses 2-pt jump shot from 18 ft,,26,27
99,1,0:43.0,,Defensive rebound by B. Biyombo,26,27
100,1,0:34.0,,D. DeRozan makes 2-pt jump shot from 2 ft,26,29
101,1,0:20.0,J. Lamb misses 2-pt layup from 1 ft,,26,29
102,1,0:20.0,Offensive rebound by T. Hansbrough,,26,29
103,1,0:17.0,T. Hansbrough misses 2-pt layup from 2 ft,,26,29
104,1,0:16.0,Offensive rebound by F. Kaminsky,,26,29
105,1,0:02.0,B. Roberts makes 2-pt jump shot from 21 ft,,28,29
106,1,0:00.0,,C. Joseph misses 3-pt jump shot from 30 ft,28,29
107,1,0:00.0,,Offensive rebound by Team,28,29
108,2,11:53.0,Personal foul by T. Ross (drawn by N. Batum),,28,29
109,2,11:53.0,,J. Johnson enters the game for T. Ross,28,29
110,2,11:42.0,T. Hansbrough misses 2-pt layup from 1 ft (block by B. Biyombo),,28,29
111,2,11:40.0,Offensive rebound by T. Hansbrough,,28,29
112,2,11:37.0,T. Hansbrough misses 2-pt layup from 1 ft,,28,29
113,2,11:36.0,Offensive rebound by J. Lamb,,28,29
114,2,11:33.0,J. Lamb misses 2-pt layup from 1 ft,,28,29
115,2,11:33.0,,Defensive rebound by B. Biyombo,28,29
116,2,11:18.0,,K. Lowry misses 3-pt jump shot from 24 ft,28,29
117,2,11:17.0,Defensive rebound by T. Hansbrough,,28,29
118,2,10:59.0,F. Kaminsky makes 2-pt hook shot from 3 ft,,30,29
119,2,10:45.0,,Personal foul by T. Hansbrough (drawn by K. Lowry),30,29
120,2,10:33.0,,P. Patterson makes 3-pt jump shot from 24 ft (assist by C. Joseph),30,32
121,2,10:26.0,Charlotte full timeout,,30,32
122,2,10:14.0,J. Lamb makes 2-pt jump shot from 12 ft,,32,32
123,2,9:49.0,,P. Patterson makes 2-pt jump shot from 11 ft,32,34
124,2,9:38.0,,Violation by B. Biyombo (kicked ball),32,34
125,2,9:29.0,B. Roberts makes 2-pt jump shot from 8 ft (assist by N. Batum),,34,34
126,2,9:19.0,,C. Joseph makes 2-pt layup from 1 ft,34,36
127,2,8:57.0,Shooting foul by K. Lowry (drawn by F. Kaminsky),,34,36
128,2,8:57.0,F. Kaminsky makes free throw 1 of 2,,35,36
129,2,8:57.0,F. Kaminsky makes free throw 2 of 2,,36,36
130,2,8:45.0,,C. Joseph makes 2-pt jump shot from 18 ft (assist by K. Lowry),36,38
131,2,8:31.0,F. Kaminsky misses 3-pt jump shot from 25 ft,,36,38
132,2,8:30.0,,Defensive rebound by C. Joseph,36,38
133,2,8:24.0,,K. Lowry misses 2-pt jump shot from 7 ft,36,38
134,2,8:23.0,Defensive rebound by B. Roberts,,36,38
135,2,8:21.0,Personal block foul by P. Patterson (drawn by B. Roberts),,36,38
136,2,8:00.0,T. Hansbrough misses 2-pt layup from 2 ft (block by B. Biyombo),,36,38
137,2,7:59.0,Offensive rebound by T. Hansbrough,,36,38
138,2,7:57.0,T. Hansbrough makes 2-pt layup at rim,,38,38
139,2,7:34.0,,K. Lowry misses 3-pt jump shot from 24 ft,38,38
140,2,7:34.0,Defensive rebound by J. Lamb,,38,38
