,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,TORONTO_ACTION,LA LAKERS_SCORE,TORONTO_SCORE
269,3,5:56.0,,B. Biyombo makes free throw 2 of 2,59,62
270,3,5:37.0,L. Williams misses 3-pt jump shot from 25 ft,,59,62
271,3,5:36.0,,Defensive rebound by B. Biyombo,59,62
272,3,5:22.0,,B. Biyombo makes 2-pt layup from 1 ft (assist by C. Joseph),59,64
273,3,5:22.0,,Shooting foul by R. Hibbert (drawn by B. Biyombo),59,64
274,3,5:22.0,,B. Biyombo makes free throw 1 of 1,59,65
275,3,4:58.0,J. Clarkson misses 3-pt jump shot from 25 ft,,59,65
276,3,4:58.0,,Defensive rebound by K. Lowry,59,65
277,3,4:50.0,,Turnover by K. Lowry (bad pass),59,65
278,3,4:40.0,,Violation by B. Biyombo (kicked ball),59,65
279,3,4:32.0,J. Clarkson misses 2-pt jump shot from 15 ft,,59,65
280,3,4:32.0,Offensive rebound by J. Clarkson,,59,65
281,3,4:30.0,J. Clarkson misses 2-pt layup from 1 ft,,59,65
282,3,4:29.0,,Defensive rebound by B. Biyombo,59,65
283,3,4:22.0,,C. Joseph makes 2-pt layup from 1 ft,59,67
284,3,4:22.0,LA Lakers full timeout,,59,67
285,3,4:22.0,D. Russell enters the game for L. Williams,,59,67
286,3,4:22.0,,T. Ross enters the game for B. Biyombo,59,67
287,3,4:22.0,,J. Johnson enters the game for D. DeRozan,59,67
288,3,4:04.0,Turnover by D. Russell (bad pass; steal by J. Johnson),,59,67
289,3,3:45.0,,C. Joseph misses 3-pt jump shot from 26 ft,59,67
290,3,3:44.0,Defensive rebound by R. Hibbert,,59,67
291,3,3:33.0,J. Clarkson makes 2-pt layup from 2 ft (assist by R. Hibbert),,61,67
292,3,3:09.0,,J. Johnson misses 2-pt jump shot from 14 ft,61,67
293,3,3:08.0,Defensive rebound by L. Nance,,61,67
294,3,2:59.0,Turnover by K. Bryant (bad pass; steal by P. Patterson),,61,67
295,3,2:51.0,,P. Patterson misses 3-pt jump shot from 25 ft,61,67
296,3,2:50.0,Defensive rebound by K. Bryant,,61,67
297,3,2:38.0,Turnover by R. Hibbert (traveling),,61,67
298,3,2:38.0,J. Randle enters the game for K. Bryant,,61,67
299,3,2:38.0,R. Sacre enters the game for L. Nance,,61,67
300,3,2:38.0,M. World Peace enters the game for R. Hibbert,,61,67
301,3,2:17.0,,K. Lowry makes 2-pt jump shot from 2 ft,61,69
302,3,1:56.0,M. World Peace makes 3-pt jump shot from 25 ft (assist by R. Sacre),,64,69
303,3,1:33.0,,C. Joseph makes 2-pt layup from 3 ft,64,71
304,3,1:16.0,J. Randle misses 2-pt layup at rim,,64,71
305,3,1:15.0,Offensive rebound by J. Randle,,64,71
306,3,1:14.0,J. Randle makes 2-pt layup at rim,,66,71
307,3,1:14.0,Shooting foul by P. Patterson (drawn by J. Randle),,66,71
308,3,1:14.0,M. Huertas enters the game for J. Clarkson,,66,71
309,3,1:14.0,J. Randle makes free throw 1 of 1,,67,71
310,3,1:01.0,,K. Lowry misses 3-pt jump shot from 25 ft,67,71
311,3,1:00.0,Defensive rebound by J. Randle,,67,71
312,3,0:52.0,D. Russell makes 2-pt jump shot from 7 ft,,69,71
313,3,0:40.0,,K. Lowry misses 3-pt jump shot from 25 ft,69,71
314,3,0:39.0,Defensive rebound by M. Huertas,,69,71
315,3,0:36.0,D. Russell makes 2-pt layup from 2 ft (assist by M. Huertas),,71,71
316,3,0:18.0,,C. Joseph misses 2-pt jump shot from 14 ft,71,71
317,3,0:18.0,Defensive rebound by M. World Peace,,71,71
318,3,0:03.0,Turnover by R. Sacre (offensive goaltending),,71,71
319,4,11:40.0,,D. DeRozan misses 2-pt jump shot from 23 ft,71,71
320,4,11:40.0,Defensive rebound by D. Russell,,71,71
321,4,11:26.0,D. Russell misses 3-pt jump shot from 25 ft,,71,71
322,4,11:25.0,,Defensive rebound by C. Joseph,71,71
323,4,11:04.0,,C. Joseph misses 2-pt jump shot from 17 ft,71,71
324,4,11:04.0,Defensive rebound by M. World Peace,,71,71
325,4,10:44.0,D. Russell misses 2-pt jump shot from 9 ft,,71,71
326,4,10:43.0,,Defensive rebound by P. Patterson,71,71
327,4,10:28.0,,J. Johnson makes 2-pt jump shot from 2 ft (assist by P. Patterson),71,73
328,4,10:14.0,J. Randle misses 2-pt layup from 1 ft,,71,73
329,4,10:13.0,Offensive rebound by J. Randle,,71,73
330,4,10:12.0,J. Randle misses 2-pt layup from 1 ft,,71,73
331,4,10:10.0,Offensive rebound by J. Randle,,71,73
332,4,10:10.0,Turnover by J. Randle (3 sec),,71,73
333,4,10:00.0,,D. DeRozan makes 2-pt layup from 3 ft,71,75
334,4,10:00.0,,Shooting foul by R. Sacre (drawn by D. DeRozan),71,75
335,4,10:00.0,,D. DeRozan makes free throw 1 of 1,71,76
336,4,9:51.0,D. Russell makes 2-pt layup from 2 ft,,73,76
337,4,9:35.0,,Personal foul by R. Sacre (drawn by D. DeRozan),73,76
338,4,9:30.0,,D. DeRozan misses 3-pt jump shot from 24 ft,73,76
339,4,9:28.0,Defensive rebound by Team,,73,76
340,4,9:18.0,D. Russell misses 2-pt jump shot from 15 ft,,73,76
341,4,9:18.0,,Defensive rebound by Team,73,76
342,4,8:52.0,,P. Patterson misses 2-pt jump shot from 20 ft,73,76
343,4,8:52.0,Defensive rebound by J. Randle,,73,76
344,4,8:33.0,D. Russell misses 3-pt jump shot from 24 ft,,73,76
345,4,8:33.0,Offensive rebound by J. Randle,,73,76
346,4,8:29.0,J. Randle makes 2-pt layup at rim,,75,76
347,4,8:01.0,,D. DeRozan misses 2-pt jump shot from 19 ft,75,76
348,4,8:01.0,,Offensive rebound by C. Joseph,75,76
349,4,7:46.0,,P. Patterson makes 2-pt jump shot from 8 ft,75,78
350,4,7:25.0,D. Russell makes 3-pt jump shot from 25 ft (assist by R. Sacre),,78,78
351,4,7:06.0,,Turnover by D. DeRozan (bad pass; steal by M. Huertas),78,78
352,4,6:59.0,Turnover by M. Huertas (lost ball; steal by T. Ross),,78,78
353,4,6:55.0,,T. Ross makes 2-pt dunk at rim (assist by D. DeRozan),78,80
354,4,6:54.0,LA Lakers full timeout,,78,80
355,4,6:54.0,,K. Lowry enters the game for D. DeRozan,78,80
356,4,6:54.0,,B. Biyombo enters the game for J. Johnson,78,80
357,4,6:54.0,K. Bryant enters the game for M. World Peace,,78,80
358,4,6:54.0,L. Williams enters the game for M. Huertas,,78,80
359,4,6:47.0,Offensive foul by R. Sacre (drawn by K. Lowry),,78,80
360,4,6:47.0,Turnover by R. Sacre (offensive foul),,78,80
361,4,6:33.0,,T. Ross makes 3-pt jump shot from 23 ft (assist by K. Lowry),78,83
362,4,6:16.0,K. Bryant makes 2-pt jump shot from 18 ft (assist by D. Russell),,80,83
363,4,5:55.0,,T. Ross makes 2-pt jump shot from 19 ft (assist by K. Lowry),80,85
364,4,5:40.0,K. Bryant makes 3-pt jump shot from 23 ft (assist by D. Russell),,83,85
365,4,5:24.0,,Personal foul by K. Bryant (drawn by T. Ross),83,85
366,4,5:24.0,Official timeout,,83,85
367,4,5:24.0,R. Hibbert enters the game for R. Sacre,,83,85
368,4,5:13.0,,Shooting foul by R. Hibbert (drawn by C. Joseph),83,85
369,4,5:13.0,,C. Joseph makes free throw 1 of 2,83,86
370,4,5:13.0,,C. Joseph makes free throw 2 of 2,83,87
371,4,5:04.0,Personal foul by B. Biyombo,,83,87
372,4,5:04.0,J. Clarkson enters the game for D. Russell,,83,87
373,4,4:56.0,K. Bryant makes 2-pt jump shot from 18 ft,,85,87
374,4,4:37.0,,T. Ross makes 2-pt jump shot from 20 ft,85,89
375,4,4:06.0,L. Williams misses 2-pt layup from 3 ft,,85,89
376,4,4:05.0,,Defensive rebound by B. Biyombo,85,89
377,4,4:00.0,,Shooting foul by J. Clarkson (drawn by K. Lowry),85,89
378,4,4:00.0,,K. Lowry makes free throw 1 of 2,85,90
379,4,4:00.0,L. Nance enters the game for J. Randle,,85,90
380,4,4:00.0,,K. Lowry makes free throw 2 of 2,85,91
381,4,3:43.0,K. Bryant misses 3-pt jump shot from 28 ft,,85,91
382,4,3:43.0,,Defensive rebound by Team,85,91
383,4,3:43.0,,D. DeRozan enters the game for P. Patterson,85,91
384,4,3:28.0,,Personal foul by L. Williams,85,91
385,4,3:28.0,,D. DeRozan makes free throw 1 of 2,85,92
386,4,3:28.0,,D. DeRozan misses free throw 2 of 2,85,92
387,4,3:27.0,Defensive rebound by L. Nance,,85,92
388,4,3:12.0,K. Bryant misses 2-pt jump shot from 18 ft,,85,92
389,4,3:12.0,,Defensive rebound by T. Ross,85,92
390,4,2:57.0,,B. Biyombo makes 2-pt dunk at rim (assist by K. Lowry),85,94
