,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MINNESOTA_ACTION,CHICAGO_SCORE,MINNESOTA_SCORE
0,1,11:42.0,P. Gasol makes 2-pt jump shot from 19 ft (assist by D. Rose),,2,0
1,1,11:26.0,,Turnover by A. Wiggins (lost ball; steal by D. Rose),2,0
2,1,11:21.0,D. Rose makes 2-pt layup at rim (assist by E. Moore),,4,0
3,1,11:07.0,,K. Towns makes 2-pt jump shot from 19 ft (assist by G. Dieng),4,2
4,1,10:50.0,E. Moore makes 2-pt jump shot from 5 ft (assist by P. Gasol),,6,2
5,1,10:38.0,,K. Towns makes 2-pt layup from 1 ft,6,4
6,1,10:32.0,Turnover by D. Rose (bad pass; steal by R. Rubio),,6,4
7,1,10:28.0,,Turnover by R. Rubio (bad pass),6,4
8,1,10:12.0,Turnover by T. Gibson (lost ball; steal by R. Rubio),,6,4
9,1,10:07.0,,K. Towns makes 2-pt dunk at rim (assist by G. Dieng),6,6
10,1,9:47.0,D. Rose misses 3-pt jump shot from 25 ft,,6,6
11,1,9:46.0,,Defensive rebound by K. Towns,6,6
12,1,9:38.0,,K. Towns misses 3-pt jump shot from 24 ft,6,6
13,1,9:37.0,,Offensive rebound by G. Dieng,6,6
14,1,9:28.0,,Turnover by R. Rubio (traveling),6,6
15,1,9:05.0,D. Rose misses 2-pt jump shot from 15 ft,,6,6
16,1,9:04.0,Offensive rebound by Team,,6,6
17,1,9:04.0,Turnover by Team (shot clock),,6,6
18,1,8:55.0,,R. Rubio makes 2-pt layup at rim,6,8
19,1,8:38.0,E. Moore makes 2-pt jump shot from 3 ft (assist by P. Gasol),,8,8
20,1,8:17.0,,A. Wiggins misses 2-pt jump shot from 21 ft,8,8
21,1,8:16.0,Defensive rebound by P. Gasol,,8,8
22,1,8:06.0,T. Gibson misses 2-pt hook shot from 9 ft,,8,8
23,1,8:05.0,,Defensive rebound by R. Rubio,8,8
24,1,7:48.0,,G. Dieng makes 2-pt jump shot from 13 ft (assist by R. Rubio),8,10
25,1,7:31.0,E. Moore makes 3-pt jump shot from 25 ft (assist by P. Gasol),,11,10
26,1,7:14.0,,K. Towns makes 2-pt layup from 1 ft,11,12
27,1,7:00.0,P. Gasol makes 2-pt jump shot from 20 ft (assist by D. Rose),,13,12
28,1,6:59.0,,Minnesota full timeout,13,12
29,1,6:46.0,,T. Prince makes 2-pt jump shot from 21 ft (assist by A. Wiggins),13,14
30,1,6:26.0,P. Gasol misses 2-pt jump shot from 13 ft,,13,14
31,1,6:25.0,,Defensive rebound by R. Rubio,13,14
32,1,6:17.0,,R. Rubio misses 2-pt jump shot from 8 ft,13,14
33,1,6:16.0,Defensive rebound by D. Rose,,13,14
34,1,6:09.0,E. Moore misses 2-pt jump shot from 9 ft,,13,14
35,1,6:07.0,Offensive rebound by T. Gibson,,13,14
36,1,6:01.0,Turnover by T. Gibson (offensive foul),,13,14
37,1,6:01.0,,Offensive charge foul by T. Gibson (drawn by G. Dieng),13,14
38,1,6:01.0,,Z. LaVine enters the game for T. Prince,13,14
39,1,6:01.0,M. Dunleavy enters the game for T. Snell,,13,14
40,1,5:49.0,,K. Towns misses 3-pt jump shot from 24 ft,13,14
41,1,5:48.0,Defensive rebound by P. Gasol,,13,14
42,1,5:40.0,P. Gasol makes 2-pt jump shot from 21 ft (assist by E. Moore),,15,14
43,1,5:21.0,,Turnover by G. Dieng (bad pass; steal by T. Gibson),15,14
44,1,5:07.0,D. Rose makes 2-pt layup at rim,,17,14
45,1,4:51.0,,K. Towns makes 2-pt jump shot from 6 ft (assist by R. Rubio),17,16
46,1,4:36.0,P. Gasol misses 2-pt jump shot from 16 ft,,17,16
47,1,4:35.0,,Defensive rebound by K. Towns,17,16
48,1,4:22.0,,Z. LaVine misses 2-pt jump shot from 19 ft,17,16
49,1,4:21.0,Defensive rebound by P. Gasol,,17,16
50,1,4:11.0,D. Rose makes 2-pt jump shot from 8 ft,,19,16
51,1,3:54.0,,Turnover by K. Towns (lost ball),19,16
52,1,3:54.0,B. Portis enters the game for T. Gibson,,19,16
53,1,3:54.0,Chicago full timeout,,19,16
54,1,3:54.0,A. Brooks enters the game for D. Rose,,19,16
55,1,3:41.0,P. Gasol misses 2-pt jump shot from 18 ft,,19,16
56,1,3:40.0,,Defensive rebound by G. Dieng,19,16
57,1,3:27.0,,A. Wiggins misses 2-pt jump shot from 17 ft,19,16
58,1,3:25.0,Defensive rebound by E. Moore,,19,16
59,1,3:17.0,A. Brooks misses 2-pt layup from 1 ft (block by K. Towns),,19,16
60,1,3:16.0,Offensive rebound by Team,,19,16
61,1,3:11.0,Turnover by A. Brooks (bad pass),,19,16
62,1,2:46.0,,K. Towns makes 2-pt hook shot from 10 ft,19,18
63,1,2:30.0,M. Dunleavy misses 2-pt hook shot from 10 ft,,19,18
64,1,2:29.0,,Defensive rebound by G. Dieng,19,18
65,1,2:19.0,,Shooting foul by A. Brooks (drawn by G. Dieng),19,18
66,1,2:19.0,,G. Dieng makes free throw 1 of 2,19,19
67,1,2:19.0,D. McDermott enters the game for P. Gasol,,19,19
68,1,2:19.0,,S. Muhammad enters the game for A. Wiggins,19,19
69,1,2:19.0,,D. Rudež enters the game for K. Towns,19,19
70,1,2:19.0,,A. Miller enters the game for R. Rubio,19,19
71,1,2:19.0,,G. Dieng makes free throw 2 of 2,19,20
72,1,2:05.0,E. Moore misses 3-pt jump shot from 24 ft,,19,20
73,1,2:04.0,Offensive rebound by Team,,19,20
74,1,1:56.0,M. Dunleavy misses 2-pt jump shot from 21 ft,,19,20
75,1,1:55.0,,Defensive rebound by A. Miller,19,20
76,1,1:43.0,,G. Dieng makes 2-pt jump shot from 16 ft,19,22
77,1,1:20.0,B. Portis makes 2-pt layup from 2 ft (assist by E. Moore),,21,22
78,1,1:05.0,,S. Muhammad makes 2-pt dunk at rim (assist by G. Dieng),21,24
79,1,0:46.0,Turnover by M. Dunleavy (bad pass; steal by S. Muhammad),,21,24
80,1,0:28.0,,G. Dieng makes 2-pt layup at rim (assist by S. Muhammad),21,26
81,1,0:06.0,D. McDermott misses 3-pt jump shot from 25 ft,,21,26
82,1,0:03.0,,Defensive rebound by G. Dieng,21,26
83,1,0:00.0,,A. Miller misses 3-pt jump shot from 55 ft,21,26
84,1,0:00.0,,Offensive rebound by Team,21,26
85,2,11:46.0,,D. Rudež misses 3-pt jump shot from 24 ft,21,26
86,2,11:45.0,Defensive rebound by D. McDermott,,21,26
87,2,11:31.0,D. McDermott misses 2-pt layup from 1 ft,,21,26
88,2,11:30.0,,Defensive rebound by S. Muhammad,21,26
89,2,11:24.0,,Z. LaVine misses 2-pt jump shot from 18 ft,21,26
90,2,11:22.0,Defensive rebound by A. Brooks,,21,26
91,2,11:13.0,A. Brooks misses 2-pt layup at rim (block by K. Towns),,21,26
92,2,11:11.0,,Defensive rebound by D. Rudež,21,26
93,2,11:09.0,,Turnover by D. Rudež (bad pass; steal by B. Portis),21,26
94,2,11:06.0,Turnover by A. Brooks (lost ball; steal by D. Rudež),,21,26
95,2,10:48.0,,D. Rudež misses 3-pt jump shot from 25 ft,21,26
96,2,10:45.0,Defensive rebound by D. McDermott,,21,26
97,2,10:38.0,D. McDermott makes 2-pt layup from 1 ft (assist by K. Hinrich),,23,26
98,2,10:14.0,,Turnover by K. Towns (bad pass; steal by A. Brooks),23,26
99,2,10:08.0,K. Hinrich makes 3-pt jump shot from 25 ft (assist by A. Brooks),,26,26
100,2,9:40.0,,A. Miller misses 2-pt jump shot from 12 ft,26,26
101,2,9:39.0,Defensive rebound by D. McDermott,,26,26
102,2,9:20.0,D. McDermott makes 2-pt jump shot from 19 ft (assist by T. Gibson),,28,26
103,2,9:06.0,,Z. LaVine makes 3-pt jump shot from 23 ft,28,29
104,2,8:41.0,Chicago full timeout,,28,29
105,2,8:38.0,T. Gibson misses 2-pt jump shot from 12 ft,,28,29
106,2,8:36.0,Offensive rebound by B. Portis,,28,29
107,2,8:36.0,B. Portis makes 2-pt layup from 1 ft,,30,29
