,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MEMPHIS_ACTION,MILWAUKEE_SCORE,MEMPHIS_SCORE
0,1,11:38.0,G. Monroe misses 2-pt jump shot from 11 ft,,0,0
1,1,11:38.0,,Defensive rebound by Z. Randolph,0,0
2,1,11:23.0,,T. Allen makes 2-pt layup from 2 ft (assist by M. Gasol),0,2
3,1,11:07.0,M. Carter-Williams makes 2-pt layup at rim,,2,2
4,1,10:48.0,,T. Allen misses 2-pt jump shot from 4 ft,2,2
5,1,10:47.0,Defensive rebound by J. Parker,,2,2
6,1,10:39.0,Turnover by G. Monroe (bad pass; steal by M. Conley),,2,2
7,1,10:28.0,,M. Gasol makes 2-pt jump shot from 12 ft (assist by M. Conley),2,4
8,1,10:10.0,Turnover by G. Monroe (lost ball; steal by M. Gasol),,2,4
9,1,10:00.0,,Z. Randolph makes 2-pt jump shot from 19 ft (assist by M. Conley),2,6
10,1,9:41.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by G. Monroe),,5,6
11,1,9:18.0,,Turnover by Z. Randolph (bad pass; steal by K. Middleton),5,6
12,1,9:14.0,Shooting foul by M. Gasol (drawn by G. Monroe),,5,6
13,1,9:14.0,G. Monroe makes free throw 1 of 2,,6,6
14,1,9:14.0,G. Monroe makes free throw 2 of 2,,7,6
15,1,8:56.0,,C. Lee misses 2-pt jump shot from 7 ft,7,6
16,1,8:54.0,Defensive rebound by G. Antetokounmpo,,7,6
17,1,8:43.0,K. Middleton misses 2-pt jump shot from 19 ft,,7,6
18,1,8:41.0,,Defensive rebound by M. Gasol,7,6
19,1,8:27.0,,T. Allen makes 2-pt layup from 1 ft,7,8
20,1,8:06.0,G. Monroe makes 2-pt hook shot from 5 ft,,9,8
21,1,7:56.0,,M. Gasol makes 2-pt jump shot from 8 ft (assist by M. Conley),9,10
22,1,7:39.0,G. Monroe misses 2-pt jump shot from 10 ft,,9,10
23,1,7:36.0,,Defensive rebound by M. Conley,9,10
24,1,7:15.0,,M. Gasol makes 2-pt jump shot from 20 ft (assist by M. Conley),9,12
25,1,7:00.0,M. Carter-Williams makes 2-pt layup from 1 ft,,11,12
26,1,6:43.0,,Turnover by M. Conley (bad pass),11,12
27,1,6:28.0,Shooting foul by T. Allen (drawn by G. Monroe),,11,12
28,1,6:28.0,G. Monroe makes free throw 1 of 2,,12,12
29,1,6:28.0,G. Monroe misses free throw 2 of 2,,12,12
30,1,6:27.0,,Defensive rebound by T. Allen,12,12
31,1,6:07.0,,M. Conley misses 3-pt jump shot from 25 ft,12,12
32,1,6:07.0,Defensive rebound by G. Monroe,,12,12
33,1,6:03.0,Turnover by M. Carter-Williams (lost ball),,12,12
34,1,6:03.0,M. Plumlee enters the game for G. Monroe,,12,12
35,1,5:44.0,,C. Lee misses 2-pt jump shot from 9 ft,12,12
36,1,5:43.0,,Offensive rebound by T. Allen,12,12
37,1,5:43.0,,T. Allen misses 2-pt layup at rim,12,12
38,1,5:42.0,,Offensive rebound by Team,12,12
39,1,5:42.0,,Memphis full timeout,12,12
40,1,5:42.0,,J. Green enters the game for Z. Randolph,12,12
41,1,5:42.0,,M. Chalmers enters the game for M. Conley,12,12
42,1,5:28.0,,Def 3 sec tech foul by J. Parker,12,12
43,1,5:28.0,,C. Lee makes technical free throw,12,13
44,1,5:18.0,,C. Lee makes 2-pt jump shot from 21 ft (assist by M. Gasol),12,15
45,1,4:59.0,K. Middleton makes 2-pt jump shot from 9 ft,,14,15
46,1,4:34.0,,M. Gasol misses 2-pt jump shot from 9 ft,14,15
47,1,4:32.0,Defensive rebound by J. Parker,,14,15
48,1,4:26.0,Personal foul by C. Lee (drawn by K. Middleton),,14,15
49,1,4:18.0,J. Parker misses 2-pt jump shot from 21 ft,,14,15
50,1,4:16.0,Offensive rebound by K. Middleton,,14,15
51,1,4:16.0,K. Middleton misses 2-pt layup from 1 ft,,14,15
52,1,4:16.0,,Defensive rebound by Team,14,15
53,1,4:16.0,,M. Barnes enters the game for T. Allen,14,15
54,1,4:01.0,,Shooting foul by M. Plumlee (drawn by M. Gasol),14,15
55,1,4:01.0,,M. Gasol misses free throw 1 of 2,14,15
56,1,4:01.0,,Offensive rebound by Team,14,15
57,1,4:01.0,,M. Gasol makes free throw 2 of 2,14,16
58,1,3:48.0,,R. Hollins enters the game for M. Gasol,14,16
59,1,3:48.0,J. Bayless enters the game for G. Antetokounmpo,,14,16
60,1,3:39.0,K. Middleton misses 2-pt jump shot from 9 ft,,14,16
61,1,3:36.0,Offensive rebound by M. Carter-Williams,,14,16
62,1,3:36.0,M. Carter-Williams misses 2-pt jump shot from 5 ft,,14,16
63,1,3:33.0,Offensive rebound by K. Middleton,,14,16
64,1,3:33.0,K. Middleton misses 2-pt layup at rim,,14,16
65,1,3:32.0,Offensive rebound by M. Plumlee,,14,16
66,1,3:30.0,K. Middleton makes 2-pt jump shot from 14 ft (assist by M. Carter-Williams),,16,16
67,1,3:15.0,,Shooting foul by M. Carter-Williams (drawn by M. Chalmers),16,16
68,1,3:15.0,,M. Chalmers makes free throw 1 of 2,16,17
