,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PHILADELPHIA_ACTION,SAN ANTONIO_SCORE,PHILADELPHIA_SCORE
0,1,11:45.0,Shooting foul by T. McConnell (drawn by T. Parker),,0,0
1,1,11:45.0,T. Parker makes free throw 1 of 2,,1,0
2,1,11:45.0,T. Parker makes free throw 2 of 2,,2,0
3,1,11:31.0,,I. Canaan misses 3-pt jump shot from 24 ft,2,0
4,1,11:29.0,,Offensive rebound by N. Noel,2,0
5,1,11:24.0,,N. Noel makes 2-pt jump shot from 6 ft,2,2
6,1,11:07.0,L. Aldridge makes 2-pt layup from 1 ft (assist by T. Parker),,4,2
7,1,10:47.0,,J. Grant makes 2-pt jump shot from 4 ft (assist by R. Covington),4,4
8,1,10:29.0,L. Aldridge misses 2-pt jump shot from 8 ft,,4,4
9,1,10:28.0,,Defensive rebound by R. Covington,4,4
10,1,10:17.0,,T. McConnell misses 2-pt jump shot from 7 ft,4,4
11,1,10:14.0,Defensive rebound by L. Aldridge,,4,4
12,1,10:02.0,M. Bonner makes 3-pt jump shot from 23 ft (assist by T. Parker),,7,4
13,1,9:52.0,,N. Noel misses 2-pt jump shot from 14 ft,7,4
14,1,9:50.0,Defensive rebound by L. Aldridge,,7,4
15,1,9:41.0,L. Aldridge misses 2-pt layup from 1 ft,,7,4
16,1,9:40.0,,Defensive rebound by I. Canaan,7,4
17,1,9:33.0,,Shooting foul by K. Anderson (drawn by R. Covington),7,4
18,1,9:33.0,,R. Covington misses free throw 1 of 2,7,4
19,1,9:33.0,,Offensive rebound by Team,7,4
20,1,9:33.0,,R. Covington makes free throw 2 of 2,7,5
21,1,9:15.0,Personal block foul by R. Covington (drawn by K. Anderson),,7,5
22,1,9:08.0,T. Parker misses 2-pt jump shot from 4 ft,,7,5
23,1,9:05.0,,Defensive rebound by J. Grant,7,5
24,1,8:53.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by J. Grant),7,8
25,1,8:36.0,Personal foul by N. Noel (drawn by L. Aldridge),,7,8
26,1,8:27.0,D. Green misses 3-pt jump shot from 24 ft,,7,8
27,1,8:26.0,,Defensive rebound by R. Covington,7,8
28,1,8:15.0,,T. McConnell misses 2-pt jump shot from 18 ft,7,8
29,1,8:13.0,Defensive rebound by K. Anderson,,7,8
30,1,7:59.0,M. Bonner misses 3-pt jump shot from 24 ft,,7,8
31,1,7:58.0,,Defensive rebound by N. Noel,7,8
32,1,7:48.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by T. McConnell),7,11
33,1,7:31.0,Turnover by D. Green (offensive foul),,7,11
34,1,7:31.0,Offensive foul by D. Green (drawn by I. Canaan),,7,11
35,1,7:31.0,,J. Okafor enters the game for N. Noel,7,11
36,1,7:31.0,,T. Wroten enters the game for T. McConnell,7,11
37,1,7:31.0,B. Diaw enters the game for M. Bonner,,7,11
38,1,7:15.0,,J. Okafor misses 2-pt jump shot from 14 ft,7,11
39,1,7:14.0,Defensive rebound by K. Anderson,,7,11
40,1,7:04.0,T. Parker makes 2-pt layup from 1 ft,,9,11
41,1,6:55.0,,R. Covington misses 3-pt jump shot from 27 ft,9,11
42,1,6:53.0,Defensive rebound by L. Aldridge,,9,11
43,1,6:46.0,T. Parker misses 2-pt layup from 2 ft,,9,11
44,1,6:45.0,,Defensive rebound by J. Grant,9,11
45,1,6:40.0,,T. Wroten misses 2-pt layup from 1 ft,9,11
46,1,6:37.0,Defensive rebound by L. Aldridge,,9,11
47,1,6:34.0,,Violation by J. Grant (def goaltending),9,11
48,1,6:34.0,T. Parker makes 2-pt layup from 1 ft,,11,11
49,1,6:34.0,,Philadelphia full timeout,11,11
50,1,6:34.0,,N. Stauskas enters the game for I. Canaan,11,11
51,1,6:24.0,,J. Okafor misses 2-pt jump shot from 3 ft,11,11
52,1,6:23.0,Defensive rebound by L. Aldridge,,11,11
