,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,SACRAMENTO_ACTION,LA CLIPPERS_SCORE,SACRAMENTO_SCORE
0,1,11:39.0,J. Redick makes 2-pt jump shot from 8 ft,,2,0
1,1,11:25.0,,D. Collison makes 2-pt jump shot from 15 ft,2,2
2,1,11:04.0,J. Green misses 2-pt jump shot from 10 ft,,2,2
3,1,11:03.0,,Defensive rebound by D. Cousins,2,2
4,1,10:58.0,,Shooting foul by D. Jordan (drawn by D. Cousins),2,2
5,1,10:58.0,,D. Cousins makes free throw 1 of 2,2,3
6,1,10:58.0,,D. Cousins misses free throw 2 of 2,2,3
7,1,10:57.0,Defensive rebound by D. Jordan,,2,3
8,1,10:41.0,J. Redick misses 2-pt jump shot from 13 ft,,2,3
9,1,10:40.0,,Defensive rebound by D. Cousins,2,3
10,1,10:30.0,,B. McLemore makes 2-pt layup from 1 ft (assist by D. Cousins),2,5
11,1,10:18.0,J. Green misses 2-pt jump shot from 8 ft,,2,5
12,1,10:17.0,Offensive rebound by J. Green,,2,5
13,1,10:16.0,J. Green makes 2-pt layup from 2 ft,,4,5
14,1,10:05.0,,Turnover by D. Cousins (traveling),4,5
15,1,9:56.0,C. Paul makes 2-pt jump shot from 19 ft,,6,5
16,1,9:44.0,,R. Gay makes 2-pt jump shot from 15 ft,6,7
17,1,9:30.0,J. Green misses 3-pt jump shot from 23 ft,,6,7
18,1,9:29.0,,Defensive rebound by D. Collison,6,7
19,1,9:24.0,,Shooting foul by J. Green (drawn by Q. Acy),6,7
20,1,9:24.0,,Q. Acy misses free throw 1 of 2,6,7
21,1,9:24.0,,Offensive rebound by Team,6,7
22,1,9:24.0,,Q. Acy makes free throw 2 of 2,6,8
23,1,9:10.0,J. Green makes 2-pt layup from 3 ft,,8,8
24,1,9:10.0,Away from play foul by Q. Acy (drawn by D. Jordan),,8,8
25,1,9:10.0,D. Jordan makes free throw 1 of 1,,9,8
26,1,8:57.0,,D. Cousins makes 3-pt jump shot from 25 ft (assist by D. Collison),9,11
27,1,8:33.0,L. Mbah a Moute makes 2-pt layup from 3 ft (assist by C. Paul),,11,11
28,1,8:24.0,,R. Gay makes 3-pt jump shot from 25 ft (assist by D. Collison),11,14
29,1,8:15.0,C. Paul makes 2-pt layup from 3 ft,,13,14
30,1,8:03.0,,R. Gay misses 3-pt jump shot from 23 ft,13,14
31,1,8:02.0,Defensive rebound by J. Redick,,13,14
32,1,7:59.0,J. Redick makes 2-pt layup from 3 ft,,15,14
33,1,7:59.0,Shooting foul by B. McLemore (drawn by J. Redick),,15,14
34,1,7:59.0,J. Redick makes free throw 1 of 1,,16,14
35,1,7:47.0,,Turnover by D. Cousins (bad pass),16,14
36,1,7:36.0,C. Paul makes 2-pt jump shot from 16 ft,,18,14
37,1,7:24.0,,D. Collison makes 3-pt jump shot from 25 ft (assist by D. Cousins),18,17
38,1,7:07.0,J. Redick misses 2-pt layup from 4 ft (block by Q. Acy),,18,17
39,1,7:05.0,,Defensive rebound by D. Cousins,18,17
40,1,6:57.0,,Turnover by D. Cousins (bad pass; steal by J. Redick),18,17
41,1,6:39.0,J. Redick makes 2-pt jump shot from 18 ft,,20,17
42,1,6:21.0,,D. Cousins misses 2-pt jump shot from 1 ft,20,17
43,1,6:20.0,,Offensive rebound by D. Cousins,20,17
44,1,6:20.0,,D. Cousins makes 2-pt layup from 1 ft,20,19
45,1,6:02.0,Def 3 sec tech foul by D. Cousins,,20,19
46,1,6:02.0,C. Paul makes technical free throw,,21,19
47,1,6:02.0,,Sacramento full timeout,21,19
48,1,5:51.0,J. Redick misses 2-pt jump shot from 17 ft,,21,19
49,1,5:50.0,,Defensive rebound by R. Gay,21,19
50,1,5:25.0,,D. Cousins makes 3-pt jump shot from 25 ft (assist by B. McLemore),21,22
51,1,5:12.0,Personal foul by D. Cousins (drawn by C. Paul),,21,22
52,1,5:03.0,J. Redick misses 3-pt jump shot from 25 ft,,21,22
53,1,5:02.0,Offensive rebound by D. Jordan,,21,22
54,1,4:58.0,J. Redick misses 3-pt jump shot from 25 ft,,21,22
55,1,4:58.0,,Defensive rebound by R. Gay,21,22
56,1,4:44.0,,B. McLemore misses 3-pt jump shot from 24 ft,21,22
57,1,4:43.0,Defensive rebound by J. Redick,,21,22
58,1,4:25.0,C. Paul makes 2-pt jump shot from 8 ft,,23,22
59,1,4:07.0,,D. Collison makes 2-pt layup from 3 ft (assist by D. Cousins),23,24
60,1,3:57.0,C. Paul makes 2-pt jump shot from 19 ft,,25,24
61,1,3:57.0,Shooting foul by B. McLemore (drawn by C. Paul),,25,24
62,1,3:57.0,W. Johnson enters the game for L. Mbah a Moute,,25,24
63,1,3:57.0,J. Crawford enters the game for J. Redick,,25,24
64,1,3:57.0,,S. Curry enters the game for B. McLemore,25,24
65,1,3:57.0,,O. Casspi enters the game for R. Gay,25,24
66,1,3:57.0,C. Paul makes free throw 1 of 1,,26,24
67,1,3:43.0,,Turnover by D. Collison (bad pass; steal by C. Paul),26,24
68,1,3:33.0,Turnover by W. Johnson (lost ball; steal by D. Collison),,26,24
69,1,3:20.0,,S. Curry makes 2-pt jump shot from 17 ft (assist by D. Cousins),26,26
70,1,3:14.0,Personal foul by S. Curry (drawn by J. Crawford),,26,26
71,1,3:14.0,J. Crawford makes free throw 1 of 2,,27,26
72,1,3:14.0,,W. Cauley-Stein enters the game for Q. Acy,27,26
73,1,3:14.0,J. Crawford makes free throw 2 of 2,,28,26
74,1,2:55.0,,O. Casspi misses 3-pt jump shot from 26 ft,28,26
75,1,2:54.0,Defensive rebound by D. Jordan,,28,26
76,1,2:38.0,C. Paul misses 3-pt jump shot from 25 ft,,28,26
77,1,2:38.0,,Defensive rebound by S. Curry,28,26
78,1,2:34.0,,Shooting foul by J. Green (drawn by S. Curry),28,26
79,1,2:34.0,LA Clippers full timeout,,28,26
80,1,2:34.0,C. Wilcox enters the game for J. Green,,28,26
81,1,2:34.0,,S. Curry makes free throw 1 of 2,28,27
82,1,2:34.0,,S. Curry misses free throw 2 of 2,28,27
83,1,2:32.0,Defensive rebound by W. Johnson,,28,27
84,1,2:20.0,J. Crawford misses 2-pt layup from 4 ft,,28,27
85,1,2:19.0,,Defensive rebound by O. Casspi,28,27
