,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,SACRAMENTO_ACTION,OKLAHOMA CITY_SCORE,SACRAMENTO_SCORE
0,1,11:43.0,,Turnover by D. Cousins (bad pass; steal by S. Ibaka),0,0
1,1,11:25.0,K. Durant misses 3-pt jump shot from 25 ft,,0,0
2,1,11:25.0,,Defensive rebound by Team,0,0
3,1,11:08.0,,D. Cousins misses 3-pt jump shot from 23 ft,0,0
4,1,11:07.0,Defensive rebound by A. Roberson,,0,0
5,1,10:58.0,Turnover by S. Ibaka (bad pass; steal by R. Gay),,0,0
6,1,10:54.0,,R. Gay makes 2-pt dunk at rim,0,2
7,1,10:31.0,S. Adams makes 2-pt dunk at rim (assist by K. Durant),,2,2
8,1,10:12.0,,D. Cousins makes 2-pt hook shot from 4 ft,2,4
9,1,10:00.0,R. Westbrook makes 2-pt jump shot from 5 ft,,4,4
10,1,9:51.0,,Turnover by D. Collison (step out of bounds),4,4
11,1,9:40.0,K. Durant misses 2-pt jump shot from 21 ft,,4,4
12,1,9:39.0,,Defensive rebound by D. Collison,4,4
13,1,9:28.0,,D. Cousins misses 2-pt jump shot from 7 ft,4,4
14,1,9:26.0,Defensive rebound by S. Ibaka,,4,4
15,1,9:20.0,S. Adams makes 2-pt dunk at rim (assist by K. Durant),,6,4
16,1,9:00.0,,D. Collison makes 2-pt jump shot from 20 ft,6,6
17,1,8:46.0,S. Ibaka makes 2-pt jump shot from 18 ft (assist by R. Westbrook),,8,6
18,1,8:32.0,,R. Gay misses 3-pt jump shot from 23 ft,8,6
19,1,8:31.0,Defensive rebound by R. Westbrook,,8,6
20,1,8:15.0,S. Ibaka makes 2-pt jump shot from 10 ft,,10,6
21,1,7:52.0,,D. Collison makes 2-pt layup from 4 ft (assist by D. Cousins),10,8
22,1,7:38.0,Turnover by K. Durant (lost ball; steal by D. Cousins),,10,8
23,1,7:32.0,,Turnover by R. Gay (bad pass; steal by S. Ibaka),10,8
24,1,7:26.0,K. Durant misses 2-pt jump shot from 19 ft,,10,8
25,1,7:25.0,,Defensive rebound by W. Cauley-Stein,10,8
26,1,7:13.0,,D. Cousins misses 2-pt dunk at rim,10,8
27,1,7:13.0,Defensive rebound by Team,,10,8
28,1,7:05.0,,Offensive charge foul by R. Westbrook (drawn by D. Cousins),10,8
29,1,7:05.0,Turnover by R. Westbrook (offensive foul),,10,8
30,1,6:50.0,,J. Anderson misses 2-pt jump shot from 7 ft,10,8
31,1,6:50.0,Defensive rebound by S. Adams,,10,8
32,1,6:41.0,K. Durant makes 2-pt layup from 4 ft,,12,8
33,1,6:30.0,,D. Collison makes 3-pt jump shot from 25 ft,12,11
34,1,6:14.0,R. Westbrook misses 2-pt jump shot from 16 ft,,12,11
35,1,6:13.0,Offensive rebound by S. Adams,,12,11
36,1,6:10.0,R. Westbrook makes 2-pt dunk at rim (assist by S. Adams),,14,11
37,1,5:58.0,,Personal block foul by A. Roberson,14,11
38,1,5:58.0,,Sacramento full timeout,14,11
39,1,5:41.0,,J. Anderson misses 2-pt jump shot from 10 ft,14,11
40,1,5:39.0,,Offensive rebound by R. Gay,14,11
41,1,5:39.0,,R. Gay misses 2-pt layup from 2 ft,14,11
42,1,5:38.0,Defensive rebound by S. Adams,,14,11
43,1,5:33.0,K. Durant makes 2-pt dunk at rim (assist by R. Westbrook),,16,11
44,1,5:19.0,,D. Cousins makes 2-pt layup from 2 ft (assist by R. Gay),16,13
45,1,5:08.0,K. Durant makes 3-pt jump shot from 25 ft,,19,13
46,1,4:52.0,,D. Cousins misses 2-pt layup from 4 ft,19,13
47,1,4:50.0,Defensive rebound by S. Ibaka,,19,13
48,1,4:44.0,A. Roberson makes 2-pt layup from 3 ft (assist by R. Westbrook),,21,13
49,1,4:26.0,,Personal foul by S. Adams,21,13
50,1,4:26.0,,K. Koufos enters the game for W. Cauley-Stein,21,13
51,1,4:26.0,D. Waiters enters the game for K. Durant,,21,13
52,1,4:26.0,K. Singler enters the game for A. Roberson,,21,13
53,1,4:10.0,,D. Cousins misses 3-pt jump shot from 25 ft,21,13
54,1,4:10.0,Defensive rebound by S. Ibaka,,21,13
55,1,3:58.0,R. Westbrook misses 2-pt jump shot from 5 ft,,21,13
56,1,3:58.0,,Defensive rebound by K. Koufos,21,13
57,1,3:51.0,,Shooting foul by S. Ibaka (drawn by D. Cousins),21,13
58,1,3:51.0,,D. Cousins misses free throw 1 of 2,21,13
59,1,3:51.0,,Offensive rebound by Team,21,13
60,1,3:51.0,,S. Curry enters the game for R. Gay,21,13
61,1,3:51.0,,D. Cousins makes free throw 2 of 2,21,14
62,1,3:36.0,S. Ibaka misses 3-pt jump shot from 22 ft,,21,14
63,1,3:36.0,,Defensive rebound by K. Koufos,21,14
64,1,3:28.0,,D. Cousins makes 2-pt layup from 2 ft (assist by D. Collison),21,16
65,1,3:15.0,Shooting foul by D. Collison (drawn by R. Westbrook),,21,16
