,QUARTER,TIME_REMAINING,TORONTO_ACTION,ATLANTA_ACTION,TORONTO_SCORE,ATLANTA_SCORE
0,1,11:50.0,Violation by L. Scola (kicked ball),,0,0
1,1,11:44.0,,K. Korver misses 2-pt jump shot from 17 ft,0,0
2,1,11:43.0,Defensive rebound by J. Valančiūnas,,0,0
3,1,11:28.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,3,0
4,1,11:18.0,,A. Horford makes 2-pt hook shot from 5 ft,3,2
5,1,10:51.0,J. Valančiūnas makes 2-pt jump shot from 1 ft,,5,2
6,1,10:38.0,,P. Millsap makes 2-pt layup from 1 ft (assist by K. Korver),5,4
7,1,10:18.0,D. DeRozan misses 2-pt jump shot from 20 ft,,5,4
8,1,10:16.0,,Defensive rebound by A. Horford,5,4
9,1,10:09.0,,J. Teague makes 2-pt layup at rim,5,6
10,1,9:41.0,J. Valančiūnas misses 2-pt jump shot from 7 ft,,5,6
11,1,9:40.0,,Defensive rebound by T. Sefolosha,5,6
12,1,9:36.0,,Shooting foul by L. Scola (drawn by P. Millsap),5,6
13,1,9:36.0,,P. Millsap makes free throw 1 of 2,5,7
14,1,9:36.0,,P. Millsap misses free throw 2 of 2,5,7
15,1,9:35.0,Defensive rebound by L. Scola,,5,7
16,1,9:20.0,D. DeRozan makes 2-pt layup from 4 ft,,7,7
17,1,9:12.0,,J. Teague misses 3-pt jump shot from 23 ft,7,7
18,1,9:10.0,Defensive rebound by N. Powell,,7,7
19,1,9:02.0,N. Powell makes 2-pt layup at rim,,9,7
20,1,8:41.0,,P. Millsap misses 2-pt layup at rim,9,7
21,1,8:40.0,Defensive rebound by L. Scola,,9,7
22,1,8:38.0,Personal foul by J. Teague,,9,7
23,1,8:26.0,L. Scola makes 2-pt layup from 2 ft (assist by D. DeRozan),,11,7
24,1,8:10.0,,A. Horford misses 3-pt jump shot from 24 ft,11,7
25,1,8:09.0,Defensive rebound by L. Scola,,11,7
26,1,7:59.0,L. Scola misses 3-pt jump shot from 24 ft,,11,7
27,1,7:58.0,Offensive rebound by K. Lowry,,11,7
28,1,7:55.0,L. Scola misses 3-pt jump shot from 24 ft,,11,7
29,1,7:53.0,,Defensive rebound by P. Millsap,11,7
30,1,7:43.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by J. Teague),11,10
31,1,7:28.0,Turnover by L. Scola (bad pass),,11,10
32,1,7:17.0,,T. Sefolosha makes 3-pt jump shot from 23 ft (assist by A. Horford),11,13
33,1,7:01.0,D. DeRozan makes 2-pt jump shot from 15 ft,,13,13
34,1,6:42.0,,A. Horford makes 2-pt dunk at rim (assist by J. Teague),13,15
35,1,6:23.0,D. DeRozan misses 2-pt layup from 1 ft,,13,15
36,1,6:22.0,,Defensive rebound by A. Horford,13,15
37,1,6:17.0,,A. Horford misses 2-pt layup from 1 ft,13,15
38,1,6:16.0,Defensive rebound by L. Scola,,13,15
39,1,6:01.0,Turnover by L. Scola (bad pass; steal by A. Horford),,13,15
40,1,5:53.0,,A. Horford makes 2-pt layup from 1 ft (assist by K. Korver),13,17
41,1,5:46.0,Toronto full timeout,,13,17
42,1,5:46.0,,T. Hardaway enters the game for K. Korver,13,17
43,1,5:46.0,B. Biyombo enters the game for J. Valančiūnas,,13,17
44,1,5:46.0,P. Patterson enters the game for L. Scola,,13,17
45,1,5:40.0,K. Lowry misses 3-pt jump shot from 25 ft (block by J. Teague),,13,17
46,1,5:40.0,,Defensive rebound by Team,13,17
47,1,5:28.0,,P. Millsap misses 3-pt jump shot from 24 ft,13,17
48,1,5:27.0,Defensive rebound by B. Biyombo,,13,17
49,1,5:17.0,B. Biyombo misses 2-pt dunk at rim (block by P. Millsap),,13,17
50,1,5:15.0,,Defensive rebound by P. Millsap,13,17
51,1,5:11.0,,T. Sefolosha makes 2-pt dunk from 1 ft (assist by J. Teague),13,19
52,1,4:56.0,Turnover by B. Biyombo (lost ball; steal by P. Millsap),,13,19
53,1,4:54.0,,P. Millsap makes 2-pt dunk at rim,13,21
54,1,4:54.0,Toronto full timeout,,13,21
55,1,4:54.0,,D. Schröder enters the game for A. Horford,13,21
56,1,4:54.0,,K. Humphries enters the game for J. Teague,13,21
57,1,4:35.0,P. Patterson misses 2-pt jump shot from 10 ft,,13,21
58,1,4:34.0,,Defensive rebound by P. Millsap,13,21
59,1,4:17.0,,Turnover by D. Schröder (bad pass; steal by P. Patterson),13,21
60,1,4:10.0,K. Lowry misses 3-pt jump shot from 23 ft,,13,21
61,1,4:07.0,,Defensive rebound by P. Millsap,13,21
62,1,3:53.0,,D. Schröder misses 3-pt jump shot from 24 ft,13,21
63,1,3:51.0,Defensive rebound by P. Patterson,,13,21
64,1,3:43.0,Turnover by K. Lowry (bad pass),,13,21
65,1,3:31.0,,T. Hardaway misses 3-pt jump shot from 24 ft,13,21
66,1,3:30.0,Defensive rebound by P. Patterson,,13,21
67,1,3:18.0,B. Biyombo makes 2-pt dunk at rim (assist by K. Lowry),,15,21
68,1,3:12.0,,Atlanta full timeout,15,21
69,1,3:12.0,T. Ross enters the game for N. Powell,,15,21
70,1,3:12.0,C. Joseph enters the game for K. Lowry,,15,21
71,1,3:12.0,,K. Korver enters the game for T. Sefolosha,15,21
72,1,2:55.0,,K. Humphries misses 3-pt jump shot from 24 ft,15,21
73,1,2:54.0,Defensive rebound by T. Ross,,15,21
74,1,2:37.0,P. Patterson makes 3-pt jump shot from 23 ft (assist by D. DeRozan),,18,21
75,1,2:25.0,,P. Millsap makes 2-pt jump shot from 6 ft,18,23
76,1,2:08.0,D. DeRozan misses 2-pt jump shot from 18 ft,,18,23
77,1,2:05.0,,Defensive rebound by P. Millsap,18,23
78,1,2:00.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by D. Schröder),18,26
79,1,1:40.0,D. DeRozan misses 2-pt layup from 1 ft (block by K. Korver),,18,26
80,1,1:40.0,Offensive rebound by Team,,18,26
81,1,1:40.0,,M. Scott enters the game for K. Humphries,18,26
82,1,1:40.0,,A. Horford enters the game for P. Millsap,18,26
83,1,1:30.0,C. Joseph makes 2-pt jump shot from 19 ft (assist by P. Patterson),,20,26
84,1,1:17.0,,M. Scott makes 2-pt jump shot from 11 ft (assist by D. Schröder),20,28
