,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,UTAH_ACTION,WASHINGTON_SCORE,UTAH_SCORE
0,1,11:39.0,,D. Favors misses 2-pt jump shot from 14 ft,0,0
1,1,11:38.0,Defensive rebound by J. Wall,,0,0
2,1,11:27.0,M. Morris makes 2-pt jump shot from 14 ft (assist by M. Gortat),,2,0
3,1,11:14.0,,S. Mack misses 2-pt jump shot from 3 ft,2,0
4,1,11:13.0,Defensive rebound by O. Porter,,2,0
5,1,11:03.0,M. Gortat makes 2-pt jump shot from 13 ft (assist by J. Wall),,4,0
6,1,10:45.0,,R. Hood misses 2-pt jump shot from 3 ft,4,0
7,1,10:45.0,Defensive rebound by M. Morris,,4,0
8,1,10:33.0,M. Morris makes 3-pt jump shot from 24 ft (assist by J. Wall),,7,0
9,1,10:13.0,,G. Hayward makes 3-pt jump shot from 24 ft (assist by R. Gobert),7,3
10,1,10:06.0,M. Morris misses 2-pt layup from 1 ft,,7,3
11,1,10:05.0,,Defensive rebound by R. Gobert,7,3
12,1,9:45.0,,D. Favors makes 2-pt dunk at rim,7,5
13,1,9:45.0,,Shooting foul by M. Gortat (drawn by D. Favors),7,5
14,1,9:45.0,,D. Favors makes free throw 1 of 1,7,6
15,1,9:34.0,Turnover by M. Gortat (bad pass; steal by D. Favors),,7,6
16,1,9:20.0,,G. Hayward misses 2-pt jump shot from 2 ft,7,6
17,1,9:19.0,Defensive rebound by M. Gortat,,7,6
18,1,9:08.0,Turnover by O. Porter (bad pass; steal by D. Favors),,7,6
19,1,9:02.0,,G. Hayward makes 2-pt layup from 1 ft (assist by D. Favors),7,8
20,1,8:54.0,Shooting foul by R. Gobert (drawn by M. Gortat),,7,8
21,1,8:54.0,M. Gortat makes free throw 1 of 2,,8,8
22,1,8:54.0,M. Gortat makes free throw 2 of 2,,9,8
23,1,8:34.0,,D. Favors misses 2-pt jump shot from 15 ft,9,8
24,1,8:33.0,Defensive rebound by J. Wall,,9,8
25,1,8:26.0,J. Wall makes 2-pt jump shot from 18 ft,,11,8
26,1,8:07.0,,G. Hayward misses 2-pt jump shot from 5 ft,11,8
27,1,8:07.0,Defensive rebound by M. Morris,,11,8
28,1,7:58.0,J. Wall makes 3-pt jump shot from 24 ft (assist by O. Porter),,14,8
29,1,7:47.0,,R. Hood makes 3-pt jump shot from 23 ft (assist by S. Mack),14,11
30,1,7:36.0,J. Wall misses 2-pt jump shot from 16 ft,,14,11
31,1,7:35.0,,Defensive rebound by D. Favors,14,11
32,1,7:21.0,,Turnover by R. Gobert (step out of bounds),14,11
33,1,7:04.0,M. Morris misses 2-pt jump shot from 17 ft,,14,11
34,1,7:03.0,,Defensive rebound by R. Gobert,14,11
35,1,6:54.0,Violation by M. Morris (kicked ball),,14,11
36,1,6:54.0,,Utah full timeout,14,11
37,1,6:41.0,,R. Hood makes 3-pt jump shot from 23 ft (assist by R. Gobert),14,14
38,1,6:24.0,M. Morris misses 2-pt jump shot from 17 ft,,14,14
39,1,6:23.0,Offensive rebound by G. Temple,,14,14
40,1,6:18.0,O. Porter misses 3-pt jump shot from 24 ft,,14,14
41,1,6:17.0,,Defensive rebound by R. Gobert,14,14
42,1,6:02.0,,Shooting foul by M. Gortat (drawn by R. Gobert),14,14
