,QUARTER,TIME_REMAINING,HOUSTON_ACTION,UTAH_ACTION,HOUSTON_SCORE,UTAH_SCORE
0,1,11:43.0,D. Howard makes 2-pt dunk at rim (assist by C. Capela),,2,0
1,1,11:18.0,,T. Lyles makes 2-pt jump shot from 12 ft,2,2
2,1,11:02.0,P. Beverley misses 2-pt jump shot from 5 ft (block by J. Withey),,2,2
3,1,11:02.0,Offensive rebound by D. Howard,,2,2
4,1,11:02.0,Shooting foul by T. Lyles (drawn by D. Howard),,2,2
5,1,11:02.0,Houston full timeout,,2,2
6,1,11:02.0,D. Howard misses free throw 1 of 2,,2,2
7,1,11:02.0,Offensive rebound by Team,,2,2
8,1,11:02.0,D. Howard misses free throw 2 of 2,,2,2
9,1,11:01.0,,Defensive rebound by T. Lyles,2,2
10,1,11:01.0,T. Jones enters the game for D. Howard,,2,2
11,1,10:48.0,,T. Lyles misses 2-pt jump shot from 11 ft,2,2
12,1,10:48.0,Defensive rebound by C. Capela,,2,2
13,1,10:38.0,J. Harden makes 2-pt jump shot from 17 ft,,4,2
14,1,10:19.0,,J. Withey misses 2-pt jump shot from 3 ft,4,2
15,1,10:17.0,,Offensive rebound by T. Lyles,4,2
16,1,10:17.0,,T. Lyles makes 2-pt layup from 2 ft,4,4
17,1,10:03.0,T. Jones misses 2-pt jump shot from 4 ft,,4,4
18,1,10:02.0,,Defensive rebound by T. Lyles,4,4
19,1,9:52.0,,Turnover by G. Hayward (lost ball; steal by T. Ariza),4,4
20,1,9:46.0,T. Ariza misses 3-pt jump shot from 24 ft,,4,4
21,1,9:45.0,,Defensive rebound by J. Withey,4,4
22,1,9:31.0,,T. Lyles misses 3-pt jump shot from 23 ft,4,4
23,1,9:30.0,Defensive rebound by J. Harden,,4,4
24,1,9:18.0,P. Beverley makes 2-pt jump shot from 18 ft,,6,4
25,1,9:02.0,,Personal foul by J. Harden (drawn by R. Hood),6,4
26,1,9:02.0,D. Howard enters the game for C. Capela,,6,4
27,1,8:49.0,,J. Withey misses 2-pt hook shot from 7 ft,6,4
28,1,8:48.0,Defensive rebound by D. Howard,,6,4
29,1,8:38.0,P. Beverley makes 3-pt jump shot from 24 ft (assist by J. Harden),,9,4
30,1,8:19.0,,G. Hayward misses 3-pt jump shot from 23 ft,9,4
31,1,8:18.0,,Offensive rebound by J. Withey,9,4
32,1,8:06.0,,T. Lyles makes 2-pt jump shot from 17 ft (assist by R. Hood),9,6
33,1,7:43.0,Turnover by D. Howard (step out of bounds),,9,6
34,1,7:27.0,,Shooting foul by T. Ariza (drawn by J. Withey),9,6
35,1,7:27.0,,J. Withey misses free throw 1 of 2,9,6
36,1,7:27.0,,Offensive rebound by Team,9,6
37,1,7:27.0,,J. Withey makes free throw 2 of 2,9,7
38,1,7:13.0,D. Howard makes 2-pt jump shot from 8 ft (assist by P. Beverley),,11,7
39,1,6:49.0,,R. Neto makes 2-pt layup from 2 ft,11,9
40,1,6:32.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by J. Harden),,14,9
41,1,6:15.0,,J. Withey makes 2-pt dunk at rim (assist by R. Hood),14,11
42,1,6:07.0,Turnover by P. Beverley (bad pass),,14,11
43,1,6:07.0,J. Terry enters the game for P. Beverley,,14,11
44,1,5:58.0,,Personal foul by T. Ariza (drawn by G. Hayward),14,11
45,1,5:48.0,,Shooting foul by J. Terry (drawn by R. Neto),14,11
46,1,5:48.0,,R. Neto makes free throw 1 of 2,14,12
47,1,5:48.0,,T. Booker enters the game for T. Lyles,14,12
48,1,5:48.0,,R. Neto makes free throw 2 of 2,14,13
49,1,5:35.0,J. Harden misses 2-pt jump shot from 6 ft,,14,13
50,1,5:34.0,Offensive rebound by D. Howard,,14,13
51,1,5:33.0,D. Howard misses 2-pt layup at rim,,14,13
52,1,5:33.0,Offensive rebound by Team,,14,13
53,1,5:25.0,D. Howard misses 2-pt layup from 1 ft,,14,13
