,QUARTER,TIME_REMAINING,NEW YORK_ACTION,ORLANDO_ACTION,NEW YORK_SCORE,ORLANDO_SCORE
0,1,11:46.0,,T. Harris makes 2-pt jump shot from 15 ft,0,2
1,1,11:46.0,,Shooting foul by C. Anthony (drawn by T. Harris),0,2
2,1,11:46.0,,T. Harris makes free throw 1 of 1,0,3
3,1,11:31.0,Shooting foul by T. Harris (drawn by C. Anthony),,0,3
4,1,11:31.0,C. Anthony misses free throw 1 of 3,,0,3
5,1,11:31.0,Offensive rebound by Team,,0,3
6,1,11:31.0,C. Anthony makes free throw 2 of 3,,1,3
7,1,11:31.0,C. Anthony makes free throw 3 of 3,,2,3
8,1,11:15.0,,E. Fournier misses 2-pt jump shot from 13 ft,2,3
9,1,11:14.0,Defensive rebound by C. Anthony,,2,3
10,1,11:00.0,K. Porziņģis misses 3-pt jump shot from 23 ft,,2,3
11,1,10:59.0,Offensive rebound by R. Lopez,,2,3
12,1,10:59.0,R. Lopez makes 2-pt layup from 2 ft,,4,3
13,1,10:40.0,,N. Vučević makes 2-pt hook shot from 7 ft,4,5
14,1,10:25.0,J. Calderón makes 3-pt jump shot from 24 ft (assist by C. Anthony),,7,5
15,1,10:05.0,,E. Fournier misses 2-pt jump shot from 10 ft,7,5
16,1,10:04.0,Defensive rebound by A. Afflalo,,7,5
17,1,9:57.0,C. Anthony misses 2-pt jump shot from 17 ft,,7,5
18,1,9:55.0,Offensive rebound by R. Lopez,,7,5
19,1,9:52.0,C. Anthony makes 2-pt jump shot from 17 ft (assist by R. Lopez),,9,5
20,1,9:38.0,,E. Fournier misses 2-pt layup from 1 ft,9,5
21,1,9:38.0,Defensive rebound by Team,,9,5
22,1,9:22.0,Turnover by J. Calderón (traveling),,9,5
23,1,9:08.0,,N. Vučević misses 2-pt jump shot from 17 ft,9,5
24,1,9:07.0,Defensive rebound by C. Anthony,,9,5
25,1,9:01.0,Turnover by C. Anthony (bad pass; steal by N. Vučević),,9,5
26,1,8:57.0,,N. Vučević misses 2-pt layup at rim (block by K. Porziņģis),9,5
27,1,8:57.0,,Offensive rebound by Team,9,5
28,1,8:55.0,,C. Frye misses 2-pt layup from 1 ft (block by R. Lopez),9,5
29,1,8:51.0,Defensive rebound by C. Anthony,,9,5
30,1,8:33.0,A. Afflalo misses 2-pt jump shot from 11 ft,,9,5
31,1,8:31.0,Offensive rebound by R. Lopez,,9,5
32,1,8:31.0,R. Lopez misses 2-pt layup from 2 ft,,9,5
33,1,8:29.0,Offensive rebound by R. Lopez,,9,5
34,1,8:29.0,R. Lopez misses 2-pt layup from 1 ft,,9,5
35,1,8:27.0,,Defensive rebound by T. Harris,9,5
36,1,8:12.0,,E. Payton misses 2-pt jump shot from 17 ft,9,5
37,1,8:11.0,Defensive rebound by C. Anthony,,9,5
38,1,7:55.0,R. Lopez makes 2-pt hook shot from 8 ft,,11,5
39,1,7:37.0,,E. Payton makes 2-pt layup from 1 ft (assist by N. Vučević),11,7
40,1,7:21.0,K. Porziņģis misses 2-pt jump shot from 7 ft,,11,7
41,1,7:18.0,,Defensive rebound by T. Harris,11,7
42,1,7:14.0,,Shooting foul by A. Afflalo (drawn by T. Harris),11,7
43,1,7:14.0,,T. Harris makes free throw 1 of 2,11,8
44,1,7:14.0,,T. Harris makes free throw 2 of 2,11,9
45,1,6:56.0,C. Anthony misses 2-pt jump shot from 18 ft (block by T. Harris),,11,9
46,1,6:53.0,,Defensive rebound by C. Frye,11,9
47,1,6:47.0,,N. Vučević misses 2-pt jump shot from 16 ft,11,9
48,1,6:45.0,,Offensive rebound by E. Payton,11,9
49,1,6:44.0,,E. Payton makes 2-pt layup at rim,11,11
50,1,6:44.0,,Shooting foul by C. Anthony (drawn by E. Payton),11,11
51,1,6:44.0,New York full timeout,,11,11
52,1,6:44.0,L. Thomas enters the game for C. Anthony,,11,11
53,1,6:44.0,,E. Payton misses free throw 1 of 1,11,11
54,1,6:43.0,,Offensive rebound by E. Payton,11,11
55,1,6:35.0,,E. Payton misses 2-pt layup at rim (block by R. Lopez),11,11
56,1,6:33.0,,Offensive rebound by N. Vučević,11,11
57,1,6:27.0,,N. Vučević misses 2-pt jump shot from 15 ft,11,11
58,1,6:25.0,,Offensive rebound by N. Vučević,11,11
59,1,6:22.0,,N. Vučević misses 2-pt layup from 1 ft (block by K. Porziņģis),11,11
60,1,6:20.0,Defensive rebound by R. Lopez,,11,11
61,1,6:10.0,J. Calderón makes 2-pt jump shot from 18 ft (assist by R. Lopez),,13,11
62,1,5:52.0,,C. Frye misses 2-pt jump shot from 20 ft,13,11
63,1,5:50.0,Defensive rebound by J. Calderón,,13,11
64,1,5:47.0,Personal foul by C. Frye (drawn by K. Porziņģis),,13,11
65,1,5:29.0,R. Lopez misses 2-pt hook shot from 10 ft,,13,11
66,1,5:28.0,,Defensive rebound by T. Harris,13,11
67,1,5:08.0,,E. Fournier misses 2-pt layup from 1 ft (block by K. Porziņģis),13,11
68,1,5:06.0,Defensive rebound by R. Lopez,,13,11
69,1,4:59.0,K. Porziņģis misses 2-pt hook shot from 4 ft,,13,11
70,1,4:56.0,,Defensive rebound by T. Harris,13,11
71,1,4:47.0,,T. Harris misses 2-pt hook shot from 3 ft,13,11
72,1,4:47.0,,Offensive rebound by N. Vučević,13,11
73,1,4:47.0,,Shooting foul by A. Afflalo (drawn by T. Harris),13,11
74,1,4:47.0,,T. Harris makes free throw 1 of 2,13,12
75,1,4:47.0,,V. Oladipo enters the game for E. Fournier,13,12
76,1,4:47.0,,A. Nicholson enters the game for C. Frye,13,12
77,1,4:47.0,L. Galloway enters the game for A. Afflalo,,13,12
78,1,4:47.0,,T. Harris makes free throw 2 of 2,13,13
79,1,4:32.0,J. Calderón misses 3-pt jump shot from 26 ft,,13,13
