,QUARTER,TIME_REMAINING,BOSTON_ACTION,DETROIT_ACTION,BOSTON_SCORE,DETROIT_SCORE
0,1,11:48.0,,Turnover by K. Caldwell-Pope (bad pass),0,0
1,1,11:34.0,A. Bradley makes 3-pt jump shot from 27 ft (assist by I. Thomas),,3,0
2,1,11:08.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by E. İlyasova),3,3
3,1,10:48.0,I. Thomas misses 3-pt jump shot from 26 ft,,3,3
4,1,10:48.0,,Defensive rebound by E. İlyasova,3,3
5,1,10:33.0,Violation by J. Sullinger (def goaltending),,3,3
6,1,10:33.0,,A. Drummond makes 2-pt hook shot from 3 ft (assist by R. Jackson),3,5
7,1,10:22.0,A. Bradley makes 2-pt jump shot from 20 ft,,5,5
8,1,9:57.0,,M. Morris makes 2-pt jump shot from 12 ft,5,7
9,1,9:46.0,I. Thomas makes 2-pt layup at rim,,7,7
10,1,9:23.0,,Shooting foul by J. Sullinger (drawn by A. Drummond),7,7
11,1,9:23.0,,A. Drummond misses free throw 1 of 2,7,7
12,1,9:23.0,,Offensive rebound by Team,7,7
13,1,9:23.0,,A. Drummond makes free throw 2 of 2,7,8
14,1,9:11.0,I. Thomas misses 2-pt jump shot from 12 ft,,7,8
15,1,9:10.0,,Defensive rebound by K. Caldwell-Pope,7,8
16,1,9:03.0,,A. Drummond misses 2-pt hook shot from 6 ft,7,8
17,1,9:01.0,Defensive rebound by J. Crowder,,7,8
18,1,8:54.0,A. Bradley misses 3-pt jump shot from 22 ft,,7,8
19,1,8:54.0,Offensive rebound by A. Johnson,,7,8
20,1,8:46.0,J. Crowder misses 3-pt jump shot from 25 ft,,7,8
21,1,8:45.0,Offensive rebound by A. Johnson,,7,8
22,1,8:41.0,A. Johnson makes 2-pt layup at rim,,9,8
23,1,8:41.0,,Personal foul by J. Crowder (drawn by M. Morris),9,8
24,1,8:29.0,Offensive charge foul by K. Caldwell-Pope (drawn by J. Sullinger),,9,8
25,1,8:29.0,,Turnover by K. Caldwell-Pope (offensive foul),9,8
26,1,8:15.0,J. Sullinger makes 2-pt layup at rim,,11,8
