,QUARTER,TIME_REMAINING,NEW YORK_ACTION,INDIANA_ACTION,NEW YORK_SCORE,INDIANA_SCORE
0,1,11:41.0,A. Afflalo misses 2-pt jump shot from 11 ft,,0,0
1,1,11:41.0,,Defensive rebound by M. Ellis,0,0
2,1,11:27.0,,P. George misses 2-pt jump shot from 16 ft,0,0
3,1,11:26.0,,Offensive rebound by I. Mahinmi,0,0
4,1,11:24.0,,Turnover by I. Mahinmi (bad pass; steal by K. Porziņģis),0,0
5,1,11:16.0,K. Porziņģis makes 2-pt layup from 2 ft (assist by C. Anthony),,2,0
6,1,10:51.0,,M. Ellis makes 3-pt jump shot from 24 ft (assist by G. Hill),2,3
7,1,10:41.0,Shooting foul by M. Turner (drawn by K. Porziņģis),,2,3
8,1,10:41.0,K. Porziņģis makes free throw 1 of 2,,3,3
9,1,10:41.0,K. Porziņģis misses free throw 2 of 2,,3,3
10,1,10:41.0,,Defensive rebound by M. Turner,3,3
11,1,10:28.0,,M. Turner misses 2-pt layup from 1 ft (block by R. Lopez),3,3
12,1,10:27.0,Defensive rebound by C. Anthony,,3,3
13,1,10:18.0,R. Lopez makes 2-pt jump shot from 5 ft,,5,3
14,1,10:01.0,,I. Mahinmi makes 2-pt hook shot from 5 ft,5,5
15,1,9:50.0,J. Calderón misses 2-pt jump shot from 16 ft,,5,5
16,1,9:49.0,,Defensive rebound by G. Hill,5,5
17,1,9:38.0,,M. Turner misses 2-pt jump shot from 15 ft,5,5
18,1,9:35.0,Defensive rebound by Team,,5,5
19,1,9:16.0,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by R. Lopez),,8,5
20,1,8:58.0,,Turnover by P. George (lost ball; steal by C. Anthony),8,5
21,1,8:46.0,A. Afflalo makes 2-pt layup from 1 ft (assist by C. Anthony),,10,5
22,1,8:30.0,,M. Ellis makes 3-pt jump shot from 24 ft,10,8
23,1,8:14.0,Shooting foul by M. Ellis (drawn by A. Afflalo),,10,8
24,1,8:14.0,A. Afflalo makes free throw 1 of 2,,11,8
25,1,8:14.0,A. Afflalo makes free throw 2 of 2,,12,8
26,1,8:01.0,,M. Turner makes 2-pt jump shot from 18 ft (assist by M. Ellis),12,10
27,1,7:42.0,C. Anthony makes 3-pt jump shot from 25 ft (assist by A. Afflalo),,15,10
28,1,7:36.0,,P. George misses 3-pt jump shot from 24 ft,15,10
29,1,7:35.0,Defensive rebound by R. Lopez,,15,10
30,1,7:25.0,C. Anthony misses 2-pt jump shot from 17 ft,,15,10
31,1,7:24.0,,Defensive rebound by G. Hill,15,10
32,1,7:17.0,,G. Hill makes 2-pt jump shot from 10 ft,15,12
33,1,7:00.0,C. Anthony misses 2-pt jump shot from 15 ft,,15,12
34,1,6:59.0,,Defensive rebound by G. Hill,15,12
35,1,6:46.0,,M. Turner misses 2-pt jump shot from 15 ft,15,12
36,1,6:46.0,,Offensive rebound by I. Mahinmi,15,12
37,1,6:41.0,,I. Mahinmi makes 2-pt layup from 2 ft (assist by P. George),15,14
38,1,6:41.0,,Shooting foul by A. Afflalo (drawn by I. Mahinmi),15,14
39,1,6:41.0,,I. Mahinmi misses free throw 1 of 1,15,14
40,1,6:41.0,Defensive rebound by R. Lopez,,15,14
41,1,6:20.0,J. Calderón makes 3-pt jump shot from 24 ft (assist by A. Afflalo),,18,14
42,1,6:08.0,,Indiana full timeout,18,14
43,1,6:00.0,,Personal block foul by C. Anthony (drawn by P. George),18,14
44,1,5:52.0,,I. Mahinmi makes 2-pt hook shot from 3 ft,18,16
45,1,5:35.0,Shooting block foul by P. George (drawn by C. Anthony),,18,16
46,1,5:35.0,C. Anthony makes free throw 1 of 2,,19,16
47,1,5:35.0,C. Anthony makes free throw 2 of 2,,20,16
48,1,5:23.0,,P. George misses 3-pt jump shot from 24 ft,20,16
49,1,5:22.0,,Offensive rebound by Team,20,16
50,1,5:08.0,,G. Hill makes 2-pt jump shot from 21 ft,20,18
51,1,4:52.0,C. Anthony misses 2-pt jump shot from 14 ft,,20,18
52,1,4:51.0,Offensive rebound by R. Lopez,,20,18
53,1,4:50.0,Shooting foul by I. Mahinmi (drawn by K. Porziņģis),,20,18
54,1,4:50.0,K. Porziņģis makes free throw 1 of 2,,21,18
55,1,4:50.0,L. Galloway enters the game for J. Calderón,,21,18
56,1,4:50.0,K. Porziņģis misses free throw 2 of 2,,21,18
57,1,4:50.0,,Defensive rebound by P. George,21,18
58,1,4:35.0,,M. Ellis makes 2-pt jump shot from 16 ft,21,20
59,1,4:12.0,C. Anthony misses 2-pt jump shot from 18 ft,,21,20
60,1,4:12.0,Offensive rebound by L. Galloway,,21,20
61,1,4:10.0,L. Galloway misses 2-pt jump shot from 12 ft,,21,20
62,1,4:10.0,,Defensive rebound by I. Mahinmi,21,20
63,1,3:58.0,,Turnover by M. Turner (traveling),21,20
64,1,3:58.0,L. Thomas enters the game for K. Porziņģis,,21,20
65,1,3:45.0,Turnover by L. Thomas (bad pass),,21,20
66,1,3:29.0,,G. Hill misses 3-pt jump shot from 24 ft,21,20
67,1,3:29.0,Defensive rebound by C. Anthony,,21,20
68,1,3:19.0,Turnover by R. Lopez (lost ball; steal by G. Hill),,21,20
69,1,3:15.0,,G. Hill makes 2-pt layup from 1 ft,21,22
70,1,2:56.0,Turnover by L. Galloway (bad pass),,21,22
71,1,2:56.0,New York full timeout,,21,22
72,1,2:56.0,,L. Allen enters the game for M. Turner,21,22
73,1,2:56.0,,J. Young enters the game for G. Hill,21,22
74,1,2:56.0,K. O'Quinn enters the game for R. Lopez,,21,22
75,1,2:56.0,S. Vujačić enters the game for A. Afflalo,,21,22
76,1,2:35.0,,P. George misses 2-pt layup from 3 ft (block by K. O'Quinn),21,22
77,1,2:34.0,Defensive rebound by K. O'Quinn,,21,22
78,1,2:28.0,C. Anthony misses 3-pt jump shot from 25 ft,,21,22
79,1,2:28.0,,Defensive rebound by I. Mahinmi,21,22
80,1,2:18.0,,P. George misses 3-pt jump shot from 24 ft,21,22
81,1,2:17.0,,Offensive rebound by Team,21,22
82,1,2:17.0,,J. Hill enters the game for I. Mahinmi,21,22
83,1,2:17.0,,S. Hill enters the game for M. Ellis,21,22
84,1,2:08.0,,S. Hill makes 2-pt dunk from 2 ft (assist by J. Hill),21,24
85,1,1:50.0,K. O'Quinn makes 2-pt jump shot from 20 ft (assist by S. Vujačić),,23,24
86,1,1:40.0,,Def 3 sec tech foul by C. Anthony,23,24
87,1,1:40.0,,P. George misses technical free throw,23,24
88,1,1:40.0,,Offensive rebound by Team,23,24
89,1,1:30.0,,J. Young misses 2-pt jump shot from 21 ft,23,24
90,1,1:29.0,Defensive rebound by C. Anthony,,23,24
91,1,1:02.0,K. O'Quinn makes 3-pt jump shot from 24 ft,,26,24
92,1,0:43.0,,Shooting foul by L. Galloway (drawn by J. Young),26,24
93,1,0:43.0,,J. Young makes free throw 1 of 2,26,25
94,1,0:43.0,,J. Young makes free throw 2 of 2,26,26
95,1,0:31.0,Turnover by L. Galloway (bad pass; steal by P. George),,26,26
96,1,0:27.0,,P. George makes 2-pt dunk from 1 ft,26,28
97,1,0:05.0,L. Thomas misses 2-pt jump shot from 5 ft (block by L. Allen),,26,28
98,1,0:04.0,,Defensive rebound by L. Allen,26,28
99,1,0:00.0,,J. Young misses 3-pt jump shot from 26 ft,26,28
100,1,0:00.0,,Offensive rebound by Team,26,28
101,2,11:41.0,,J. Hill misses 2-pt hook shot from 4 ft,26,28
102,2,11:41.0,Defensive rebound by Team,,26,28
103,2,11:41.0,,Loose ball foul by J. Hill (drawn by K. Porziņģis),26,28
104,2,11:32.0,K. Porziņģis misses 3-pt jump shot from 24 ft,,26,28
105,2,11:31.0,,Defensive rebound by C. Budinger,26,28
106,2,11:17.0,,L. Allen misses 2-pt jump shot from 20 ft,26,28
107,2,11:17.0,Defensive rebound by L. Galloway,,26,28
108,2,11:07.0,Turnover by S. Vujačić (bad pass; steal by C. Budinger),,26,28
109,2,10:59.0,,J. Young makes 2-pt layup from 2 ft,26,30
110,2,10:50.0,Personal foul by J. Young,,26,30
111,2,10:38.0,K. O'Quinn makes 2-pt jump shot from 18 ft (assist by L. Galloway),,28,30
112,2,10:10.0,,S. Hill misses 2-pt jump shot from 6 ft,28,30
113,2,10:10.0,Defensive rebound by Team,,28,30
114,2,9:57.0,L. Thomas makes 3-pt jump shot from 23 ft (assist by L. Galloway),,31,30
115,2,9:43.0,,S. Hill makes 3-pt jump shot from 23 ft (assist by J. Young),31,33
116,2,9:27.0,K. O'Quinn misses 2-pt layup from 1 ft (block by C. Budinger),,31,33
117,2,9:27.0,Offensive rebound by K. O'Quinn,,31,33
118,2,9:27.0,K. O'Quinn makes 2-pt layup from 1 ft,,33,33
119,2,9:27.0,Shooting foul by J. Hill (drawn by K. O'Quinn),,33,33
120,2,9:27.0,K. O'Quinn makes free throw 1 of 1,,34,33
121,2,9:13.0,,Offensive foul by C. Budinger (drawn by L. Thomas),34,33
122,2,9:13.0,,Turnover by C. Budinger (offensive foul),34,33
123,2,9:13.0,A. Afflalo enters the game for S. Vujačić,,34,33
124,2,8:57.0,L. Galloway makes 2-pt jump shot from 18 ft (assist by L. Thomas),,36,33
125,2,8:40.0,,C. Budinger misses 2-pt jump shot from 18 ft,36,33
126,2,8:39.0,Defensive rebound by A. Afflalo,,36,33
127,2,8:36.0,Shooting foul by C. Budinger (drawn by L. Galloway),,36,33
128,2,8:36.0,Official timeout,,36,33
129,2,8:36.0,L. Galloway makes free throw 1 of 2,,37,33
130,2,8:36.0,L. Galloway makes free throw 2 of 2,,38,33
131,2,8:15.0,,J. Hill makes 2-pt jump shot from 14 ft,38,35
132,2,7:52.0,K. Porziņģis makes 2-pt jump shot from 15 ft,,40,35
133,2,7:30.0,,J. Hill misses 2-pt jump shot from 5 ft,40,35
134,2,7:28.0,,Offensive rebound by L. Allen,40,35
135,2,7:28.0,,L. Allen makes 2-pt layup at rim,40,37
136,2,7:17.0,L. Galloway misses 2-pt jump shot from 17 ft,,40,37
137,2,7:16.0,,Defensive rebound by L. Allen,40,37
138,2,7:07.0,,J. Young misses 2-pt jump shot from 14 ft,40,37
139,2,7:07.0,Defensive rebound by A. Afflalo,,40,37
140,2,6:55.0,K. O'Quinn misses 2-pt jump shot from 19 ft,,40,37
141,2,6:54.0,,Defensive rebound by J. Young,40,37
142,2,6:37.0,,J. Hill makes 2-pt hook shot from 4 ft,40,39
143,2,6:30.0,New York full timeout,,40,39
144,2,6:30.0,R. Lopez enters the game for L. Galloway,,40,39
145,2,6:30.0,J. Calderón enters the game for L. Thomas,,40,39
146,2,6:30.0,C. Anthony enters the game for K. O'Quinn,,40,39
147,2,6:30.0,,M. Ellis enters the game for S. Hill,40,39
148,2,6:20.0,Turnover by A. Afflalo (lost ball; steal by C. Budinger),,40,39
