,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DENVER_ACTION,MINNESOTA_SCORE,DENVER_SCORE
0,1,11:38.0,,G. Harris misses 2-pt jump shot from 13 ft,0,0
1,1,11:36.0,Defensive rebound by T. Prince,,0,0
2,1,11:18.0,R. Rubio makes 2-pt layup from 1 ft,,2,0
3,1,10:53.0,,E. Mudiay misses 2-pt jump shot from 21 ft,2,0
4,1,10:51.0,Defensive rebound by K. Garnett,,2,0
5,1,10:35.0,A. Wiggins misses 2-pt layup from 2 ft,,2,0
6,1,10:33.0,Offensive rebound by K. Towns,,2,0
7,1,10:31.0,Shooting foul by J. Lauvergne (drawn by K. Towns),,2,0
8,1,10:31.0,K. Towns makes free throw 1 of 2,,3,0
9,1,10:31.0,K. Towns makes free throw 2 of 2,,4,0
10,1,10:10.0,,D. Gallinari makes 2-pt layup from 2 ft,4,2
11,1,9:51.0,K. Towns makes 2-pt jump shot from 7 ft (assist by T. Prince),,6,2
12,1,9:42.0,,Personal foul by K. Garnett (drawn by K. Faried),6,2
13,1,9:38.0,,Personal foul by R. Rubio (drawn by E. Mudiay),6,2
14,1,9:33.0,,E. Mudiay misses 2-pt jump shot from 13 ft,6,2
15,1,9:33.0,Defensive rebound by R. Rubio,,6,2
16,1,9:16.0,R. Rubio misses 2-pt jump shot from 22 ft,,6,2
17,1,9:15.0,,Defensive rebound by K. Faried,6,2
18,1,9:06.0,,K. Faried misses 2-pt dunk at rim,6,2
19,1,9:05.0,,Offensive rebound by J. Lauvergne,6,2
20,1,8:58.0,,G. Harris makes 2-pt layup from 1 ft (assist by D. Gallinari),6,4
21,1,8:44.0,K. Towns makes 2-pt jump shot from 19 ft (assist by R. Rubio),,8,4
22,1,8:22.0,,J. Lauvergne makes 2-pt dunk at rim (assist by K. Faried),8,6
23,1,8:04.0,R. Rubio misses 2-pt jump shot from 17 ft,,8,6
24,1,8:04.0,,Defensive rebound by D. Gallinari,8,6
25,1,8:00.0,,Personal foul by T. Prince (drawn by D. Gallinari),8,6
26,1,7:48.0,,D. Gallinari makes 2-pt dunk at rim,8,8
