,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,SACRAMENTO_ACTION,NEW ORLEANS_SCORE,SACRAMENTO_SCORE
0,1,11:41.0,,R. Rondo makes 2-pt jump shot from 3 ft,0,2
1,1,11:21.0,E. Gordon misses 3-pt jump shot from 24 ft,,0,2
2,1,11:21.0,,Defensive rebound by D. Cousins,0,2
3,1,11:09.0,,Q. Acy misses 2-pt jump shot from 14 ft,0,2
4,1,11:09.0,Defensive rebound by T. Evans,,0,2
5,1,10:54.0,A. Davis misses 2-pt jump shot from 17 ft,,0,2
6,1,10:52.0,Offensive rebound by Ö. Aşık,,0,2
7,1,10:52.0,Ö. Aşık misses 2-pt layup from 1 ft,,0,2
8,1,10:51.0,,Defensive rebound by R. Gay,0,2
9,1,10:46.0,,R. Gay makes 2-pt dunk at rim (assist by R. Rondo),0,4
10,1,10:31.0,T. Evans misses 3-pt jump shot from 25 ft,,0,4
11,1,10:30.0,,Defensive rebound by Team,0,4
12,1,10:21.0,,D. Cousins misses 2-pt jump shot from 22 ft,0,4
13,1,10:20.0,Defensive rebound by T. Evans,,0,4
14,1,9:57.0,T. Evans misses 2-pt jump shot from 6 ft,,0,4
15,1,9:56.0,,Defensive rebound by D. Cousins,0,4
16,1,9:46.0,,R. Rondo misses 2-pt jump shot from 20 ft,0,4
17,1,9:45.0,Defensive rebound by E. Gordon,,0,4
18,1,9:31.0,Ö. Aşık makes 2-pt layup from 2 ft (assist by E. Gordon),,2,4
19,1,9:17.0,,R. Gay misses 3-pt jump shot from 24 ft,2,4
20,1,9:16.0,Defensive rebound by E. Gordon,,2,4
21,1,9:02.0,D. Cunningham makes 3-pt jump shot from 23 ft (assist by T. Evans),,5,4
22,1,8:52.0,,Personal foul by Ö. Aşık (drawn by D. Cousins),5,4
23,1,8:42.0,,Turnover by R. Rondo (bad pass; steal by A. Davis),5,4
24,1,8:37.0,A. Davis makes 2-pt dunk at rim (assist by T. Evans),,7,4
25,1,8:18.0,,R. Gay makes 2-pt jump shot from 12 ft (assist by Q. Acy),7,6
26,1,7:57.0,D. Cunningham makes 3-pt jump shot from 23 ft (assist by E. Gordon),,10,6
27,1,7:42.0,,D. Cousins misses 2-pt jump shot from 20 ft,10,6
28,1,7:41.0,Defensive rebound by E. Gordon,,10,6
29,1,7:33.0,E. Gordon misses 2-pt jump shot from 4 ft,,10,6
30,1,7:32.0,Offensive rebound by Ö. Aşık,,10,6
31,1,7:32.0,Ö. Aşık makes 2-pt layup from 2 ft,,12,6
32,1,7:05.0,,R. Rondo makes 2-pt hook shot from 6 ft,12,8
33,1,6:53.0,E. Gordon misses 2-pt jump shot from 19 ft,,12,8
34,1,6:52.0,,Defensive rebound by Q. Acy,12,8
35,1,6:42.0,,D. Cousins misses 3-pt jump shot from 25 ft,12,8
36,1,6:42.0,Defensive rebound by A. Davis,,12,8
37,1,6:27.0,A. Davis misses 2-pt jump shot from 3 ft (block by Q. Acy),,12,8
38,1,6:25.0,,Defensive rebound by Q. Acy,12,8
39,1,6:15.0,,B. McLemore makes 2-pt jump shot from 14 ft (assist by R. Rondo),12,10
40,1,5:53.0,T. Evans misses 3-pt jump shot from 25 ft,,12,10
41,1,5:53.0,,Defensive rebound by R. Rondo,12,10
42,1,5:41.0,,Turnover by B. McLemore (lost ball; steal by E. Gordon),12,10
43,1,5:18.0,A. Davis makes 3-pt jump shot from 23 ft (assist by T. Evans),,15,10
44,1,5:18.0,,Sacramento full timeout,15,10
45,1,5:18.0,,M. Belinelli enters the game for Q. Acy,15,10
46,1,5:18.0,,K. Koufos enters the game for B. McLemore,15,10
47,1,5:18.0,J. Holiday enters the game for T. Evans,,15,10
48,1,5:01.0,,D. Cousins misses 2-pt jump shot from 5 ft,15,10
49,1,5:00.0,Defensive rebound by A. Davis,,15,10
50,1,4:53.0,E. Gordon makes 2-pt jump shot from 4 ft (assist by J. Holiday),,17,10
51,1,4:38.0,,Turnover by K. Koufos (lost ball; steal by A. Davis),17,10
52,1,4:27.0,A. Davis misses 2-pt jump shot from 3 ft,,17,10
53,1,4:26.0,Offensive rebound by Ö. Aşık,,17,10
54,1,4:25.0,Ö. Aşık misses 2-pt jump shot from 4 ft,,17,10
55,1,4:22.0,,Defensive rebound by R. Rondo,17,10
56,1,4:12.0,,R. Rondo misses 2-pt jump shot from 18 ft,17,10
57,1,4:11.0,Defensive rebound by Ö. Aşık,,17,10
58,1,3:54.0,E. Gordon makes 3-pt jump shot from 25 ft (assist by J. Holiday),,20,10
59,1,3:37.0,,M. Belinelli misses 2-pt jump shot from 20 ft,20,10
60,1,3:37.0,Defensive rebound by Ö. Aşık,,20,10
61,1,3:22.0,A. Davis makes 2-pt jump shot from 7 ft,,22,10
62,1,3:03.0,,D. Cousins makes 2-pt layup from 2 ft,22,12
63,1,2:51.0,E. Gordon misses 3-pt jump shot from 24 ft,,22,12
64,1,2:50.0,Offensive rebound by Ö. Aşık,,22,12
65,1,2:49.0,Ö. Aşık misses 2-pt jump shot from 5 ft,,22,12
66,1,2:47.0,Offensive rebound by Ö. Aşık,,22,12
67,1,2:40.0,J. Holiday misses 3-pt jump shot from 23 ft,,22,12
68,1,2:40.0,,Defensive rebound by K. Koufos,22,12
69,1,2:35.0,,Shooting block foul by J. Holiday (drawn by R. Rondo),22,12
70,1,2:35.0,New Orleans full timeout,,22,12
71,1,2:35.0,,O. Casspi enters the game for R. Gay,22,12
72,1,2:35.0,A. Ajinça enters the game for Ö. Aşık,,22,12
73,1,2:35.0,,R. Rondo misses free throw 1 of 2,22,12
74,1,2:35.0,,Offensive rebound by Team,22,12
75,1,2:35.0,,R. Rondo makes free throw 2 of 2,22,13
76,1,2:25.0,A. Davis misses 2-pt jump shot from 8 ft,,22,13
77,1,2:24.0,,Defensive rebound by R. Rondo,22,13
78,1,2:10.0,,K. Koufos makes 2-pt layup from 2 ft (assist by R. Rondo),22,15
79,1,2:01.0,J. Holiday misses 2-pt jump shot from 12 ft,,22,15
80,1,2:00.0,,Defensive rebound by K. Koufos,22,15
81,1,1:53.0,,Personal foul by A. Ajinça (drawn by R. Rondo),22,15
82,1,1:53.0,,D. Collison enters the game for R. Rondo,22,15
83,1,1:43.0,,Turnover by D. Cousins (bad pass; steal by E. Gordon),22,15
84,1,1:38.0,Shooting foul by D. Cousins (drawn by A. Davis),,22,15
85,1,1:38.0,A. Davis makes free throw 1 of 2,,23,15
86,1,1:38.0,A. Davis makes free throw 2 of 2,,24,15
87,1,1:21.0,,M. Belinelli misses 3-pt jump shot from 25 ft,24,15
88,1,1:20.0,,Offensive rebound by D. Collison,24,15
89,1,1:17.0,,D. Cousins misses 2-pt dunk from 1 ft (block by A. Ajinça),24,15
90,1,1:15.0,,Offensive rebound by K. Koufos,24,15
91,1,1:14.0,,K. Koufos makes 2-pt jump shot from 4 ft,24,17
92,1,1:00.0,A. Davis makes 2-pt jump shot from 21 ft (assist by J. Holiday),,26,17
93,1,0:53.0,,D. Cousins misses 2-pt jump shot from 3 ft,26,17
94,1,0:52.0,,Offensive rebound by D. Cousins,26,17
95,1,0:49.0,,Turnover by D. Cousins (lost ball; steal by D. Cunningham),26,17
96,1,0:44.0,E. Gordon makes 2-pt layup from 2 ft (assist by A. Davis),,28,17
97,1,0:39.0,,W. Cauley-Stein enters the game for D. Cousins,28,17
98,1,0:39.0,R. Anderson enters the game for A. Davis,,28,17
99,1,0:38.0,,Turnover by D. Collison (bad pass; steal by R. Anderson),28,17
100,1,0:23.0,E. Gordon misses 2-pt jump shot from 19 ft,,28,17
101,1,0:23.0,,Defensive rebound by K. Koufos,28,17
102,1,0:05.0,,W. Cauley-Stein makes 2-pt dunk at rim (assist by D. Collison),28,19
103,1,0:00.0,J. Holiday misses 3-pt jump shot from 28 ft,,28,19
104,1,0:00.0,Offensive rebound by Team,,28,19
105,2,11:47.0,J. Holiday misses 2-pt jump shot from 13 ft,,28,19
106,2,11:47.0,,Defensive rebound by W. Cauley-Stein,28,19
107,2,11:35.0,,M. Belinelli makes 2-pt jump shot from 17 ft (assist by D. Collison),28,21
108,2,11:08.0,R. Anderson makes 2-pt jump shot from 18 ft,,30,21
109,2,11:00.0,,O. Casspi misses 3-pt jump shot from 27 ft,30,21
110,2,10:59.0,Defensive rebound by A. Ajinça,,30,21
111,2,10:46.0,N. Cole makes 2-pt jump shot from 20 ft,,32,21
112,2,10:24.0,,K. Koufos makes 2-pt hook shot from 7 ft (assist by M. Belinelli),32,23
113,2,10:20.0,Personal foul by W. Cauley-Stein (drawn by J. Holiday),,32,23
114,2,10:10.0,Personal block foul by W. Cauley-Stein (drawn by N. Cole),,32,23
115,2,10:10.0,,R. Gay enters the game for W. Cauley-Stein,32,23
116,2,10:04.0,N. Cole misses 2-pt jump shot from 14 ft,,32,23
