,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,BOSTON_ACTION,NEW ORLEANS_SCORE,BOSTON_SCORE
0,1,11:41.0,,A. Bradley misses 3-pt jump shot from 24 ft,0,0
1,1,11:40.0,Defensive rebound by A. Ajinça,,0,0
2,1,11:25.0,A. Ajinça misses 2-pt jump shot from 19 ft,,0,0
3,1,11:24.0,,Defensive rebound by I. Thomas,0,0
4,1,11:12.0,,I. Thomas misses 3-pt jump shot from 25 ft,0,0
5,1,11:11.0,Defensive rebound by Ö. Aşık,,0,0
6,1,10:57.0,Ö. Aşık misses 2-pt layup from 2 ft (block by J. Crowder),,0,0
7,1,10:56.0,,Defensive rebound by A. Bradley,0,0
8,1,10:47.0,,J. Sullinger misses 3-pt jump shot from 25 ft,0,0
9,1,10:46.0,Defensive rebound by T. Douglas,,0,0
10,1,10:32.0,A. Ajinça makes 2-pt jump shot from 10 ft,,2,0
11,1,10:13.0,,J. Sullinger makes 2-pt jump shot from 18 ft (assist by J. Crowder),2,2
12,1,9:55.0,Turnover by T. Douglas (bad pass; steal by J. Sullinger),,2,2
13,1,9:50.0,,Turnover by I. Thomas (bad pass; steal by T. Douglas),2,2
14,1,9:47.0,Offensive foul by A. Ajinça (drawn by I. Thomas),,2,2
15,1,9:47.0,Turnover by A. Ajinça (offensive foul),,2,2
16,1,9:37.0,,J. Crowder misses 2-pt layup from 2 ft,2,2
17,1,9:36.0,Defensive rebound by A. Ajinça,,2,2
18,1,9:30.0,Turnover by J. Ennis (lost ball; steal by A. Bradley),,2,2
19,1,9:24.0,,J. Crowder misses 3-pt jump shot from 23 ft,2,2
20,1,9:23.0,Defensive rebound by D. Cunningham,,2,2
21,1,9:07.0,Turnover by Ö. Aşık (bad pass),,2,2
22,1,8:57.0,,J. Sullinger makes 2-pt jump shot from 17 ft (assist by I. Thomas),2,4
23,1,8:44.0,T. Douglas misses 2-pt jump shot from 7 ft,,2,4
24,1,8:43.0,,Defensive rebound by J. Sullinger,2,4
25,1,8:35.0,,Shooting foul by J. Ennis (drawn by I. Thomas),2,4
26,1,8:35.0,,I. Thomas makes 2-pt layup from 2 ft (assist by A. Bradley),2,6
27,1,8:35.0,,I. Thomas misses free throw 1 of 1,2,6
28,1,8:34.0,,Offensive rebound by Team,2,6
29,1,8:29.0,,A. Bradley misses 2-pt jump shot from 17 ft,2,6
30,1,8:29.0,Defensive rebound by A. Ajinça,,2,6
31,1,8:17.0,Turnover by J. Ennis (lost ball),,2,6
32,1,8:02.0,,J. Crowder makes 2-pt jump shot from 20 ft (assist by A. Johnson),2,8
33,1,7:54.0,New Orleans full timeout,,2,8
34,1,7:45.0,T. Douglas misses 3-pt jump shot from 24 ft,,2,8
35,1,7:44.0,Offensive rebound by J. Ennis,,2,8
36,1,7:37.0,A. Ajinça makes 2-pt jump shot from 17 ft (assist by T. Douglas),,4,8
37,1,7:19.0,,A. Johnson misses 2-pt hook shot from 2 ft,4,8
38,1,7:18.0,Defensive rebound by Team,,4,8
39,1,7:08.0,Turnover by Ö. Aşık (bad pass),,4,8
40,1,7:05.0,,Personal block foul by J. Ennis,4,8
41,1,6:49.0,,I. Thomas misses 2-pt hook shot from 4 ft,4,8
42,1,6:48.0,Defensive rebound by Team,,4,8
43,1,6:24.0,A. Ajinça makes 2-pt hook shot from 6 ft,,6,8
44,1,6:13.0,,I. Thomas makes 3-pt jump shot from 25 ft (assist by A. Johnson),6,11
45,1,6:00.0,Turnover by A. Ajinça (lost ball; steal by I. Thomas),,6,11
46,1,5:56.0,T. Frazier enters the game for J. Ennis,,6,11
47,1,5:50.0,,J. Sullinger misses 2-pt jump shot from 17 ft,6,11
48,1,5:50.0,Defensive rebound by T. Douglas,,6,11
49,1,5:34.0,T. Frazier misses 2-pt layup from 2 ft,,6,11
50,1,5:34.0,Offensive rebound by Ö. Aşık,,6,11
51,1,5:29.0,Ö. Aşık misses 2-pt layup from 1 ft (block by A. Johnson),,6,11
52,1,5:27.0,,Defensive rebound by A. Johnson,6,11
53,1,5:25.0,,A. Bradley makes 2-pt layup at rim (assist by I. Thomas),6,13
54,1,5:15.0,Turnover by T. Douglas (lost ball),,6,13
55,1,5:08.0,,Personal foul by T. Frazier,6,13
56,1,5:08.0,,M. Smart enters the game for J. Crowder,6,13
57,1,5:08.0,K. Perkins enters the game for Ö. Aşık,,6,13
58,1,4:59.0,,A. Johnson makes 2-pt layup from 1 ft (assist by A. Bradley),6,15
59,1,4:39.0,D. Cunningham misses 3-pt jump shot from 24 ft,,6,15
60,1,4:38.0,,Defensive rebound by A. Johnson,6,15
61,1,4:32.0,,I. Thomas misses 3-pt jump shot from 24 ft,6,15
62,1,4:31.0,Defensive rebound by K. Perkins,,6,15
63,1,4:21.0,A. Ajinça misses 2-pt jump shot from 18 ft,,6,15
64,1,4:19.0,,Defensive rebound by J. Sullinger,6,15
65,1,4:10.0,,I. Thomas misses 2-pt layup from 1 ft (block by D. Cunningham),6,15
66,1,4:09.0,,Offensive rebound by M. Smart,6,15
67,1,4:06.0,,A. Bradley misses 3-pt jump shot from 23 ft,6,15
68,1,4:06.0,Defensive rebound by D. Cunningham,,6,15
69,1,3:48.0,T. Douglas makes 3-pt jump shot from 25 ft (assist by A. Ajinça),,9,15
70,1,3:30.0,,J. Sullinger misses 3-pt jump shot from 25 ft,9,15
71,1,3:29.0,Defensive rebound by A. Ajinça,,9,15
72,1,3:16.0,T. Frazier misses 2-pt jump shot from 4 ft,,9,15
73,1,3:16.0,,Defensive rebound by J. Sullinger,9,15
74,1,3:10.0,,I. Thomas makes 2-pt layup at rim (assist by J. Sullinger),9,17
75,1,2:53.0,T. Frazier makes 2-pt jump shot from 5 ft,,11,17
76,1,2:36.0,,J. Sullinger misses 2-pt jump shot from 18 ft,11,17
77,1,2:35.0,Defensive rebound by T. Frazier,,11,17
78,1,2:18.0,K. Perkins misses 2-pt jump shot from 8 ft,,11,17
79,1,2:17.0,,Defensive rebound by A. Johnson,11,17
80,1,2:13.0,,Shooting foul by D. Cunningham (drawn by A. Bradley),11,17
81,1,2:13.0,,Boston full timeout,11,17
82,1,2:13.0,,T. Rozier enters the game for I. Thomas,11,17
83,1,2:13.0,,K. Olynyk enters the game for J. Sullinger,11,17
84,1,2:13.0,L. Babbitt enters the game for A. Ajinça,,11,17
85,1,2:13.0,,A. Bradley misses free throw 1 of 2,11,17
86,1,2:13.0,,Offensive rebound by Team,11,17
87,1,2:13.0,,A. Bradley makes free throw 2 of 2,11,18
88,1,1:56.0,D. Cunningham misses 2-pt layup from 1 ft,,11,18
89,1,1:55.0,,Defensive rebound by A. Johnson,11,18
90,1,1:36.0,,A. Bradley misses 2-pt jump shot from 14 ft,11,18
91,1,1:35.0,Defensive rebound by T. Douglas,,11,18
92,1,1:18.0,T. Frazier makes 2-pt jump shot from 16 ft,,13,18
93,1,1:01.0,,Personal foul by T. Douglas,13,18
94,1,1:01.0,,K. Olynyk makes free throw 1 of 2,13,19
95,1,1:01.0,J. Hamilton enters the game for D. Cunningham,,13,19
96,1,1:01.0,,J. Jerebko enters the game for A. Johnson,13,19
97,1,1:01.0,,K. Olynyk makes free throw 2 of 2,13,20
98,1,0:49.0,Shooting foul by J. Jerebko (drawn by L. Babbitt),,13,20
99,1,0:49.0,L. Babbitt misses free throw 1 of 2,,13,20
100,1,0:49.0,Offensive rebound by Team,,13,20
101,1,0:49.0,L. Babbitt makes free throw 2 of 2,,14,20
102,1,0:36.0,,T. Rozier misses 2-pt jump shot from 3 ft,14,20
103,1,0:36.0,,Offensive rebound by T. Rozier,14,20
104,1,0:23.0,,K. Olynyk makes 3-pt jump shot from 27 ft (assist by M. Smart),14,23
105,1,0:00.0,T. Douglas makes 3-pt jump shot from 23 ft (assist by T. Frazier),,17,23
106,2,11:45.0,L. Babbitt misses 2-pt layup from 2 ft (block by J. Jerebko),,17,23
107,2,11:45.0,,Defensive rebound by J. Jerebko,17,23
108,2,11:27.0,,J. Crowder misses 2-pt jump shot from 18 ft,17,23
109,2,11:26.0,Defensive rebound by J. Ennis,,17,23
110,2,11:23.0,Turnover by T. Frazier (bad pass; steal by K. Olynyk),,17,23
111,2,11:18.0,,K. Olynyk makes 2-pt layup from 1 ft,17,25
112,2,11:05.0,J. Hamilton misses 3-pt jump shot from 27 ft,,17,25
113,2,11:05.0,,Defensive rebound by J. Jerebko,17,25
114,2,10:53.0,,J. Jerebko misses 2-pt layup from 1 ft,17,25
115,2,10:52.0,Defensive rebound by L. Babbitt,,17,25
116,2,10:45.0,K. Perkins misses 2-pt layup from 2 ft (block by M. Smart),,17,25
117,2,10:44.0,Offensive rebound by K. Perkins,,17,25
118,2,10:43.0,K. Perkins makes 2-pt layup from 1 ft,,19,25
119,2,10:26.0,,Shooting foul by J. Hamilton (drawn by J. Crowder),19,25
120,2,10:26.0,,J. Crowder makes free throw 1 of 2,19,26
121,2,10:26.0,,J. Crowder makes free throw 2 of 2,19,27
122,2,10:15.0,L. Babbitt makes 2-pt layup at rim,,21,27
