,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MEMPHIS_ACTION,PHILADELPHIA_SCORE,MEMPHIS_SCORE
0,1,11:41.0,J. Okafor misses 2-pt jump shot from 9 ft,,0,0
1,1,11:39.0,,Defensive rebound by T. Allen,0,0
2,1,11:21.0,,M. Conley makes 2-pt jump shot from 20 ft (assist by M. Gasol),0,2
3,1,10:54.0,R. Covington misses 3-pt jump shot from 24 ft,,0,2
4,1,10:53.0,,Defensive rebound by M. Gasol,0,2
5,1,10:42.0,,M. Gasol misses 2-pt hook shot from 5 ft,0,2
6,1,10:41.0,,Offensive rebound by Z. Randolph,0,2
7,1,10:41.0,,Z. Randolph misses 2-pt layup at rim,0,2
8,1,10:38.0,Defensive rebound by R. Covington,,0,2
9,1,10:15.0,I. Canaan misses 2-pt layup from 1 ft,,0,2
10,1,10:13.0,,Defensive rebound by Z. Randolph,0,2
11,1,10:02.0,,J. Green makes 2-pt jump shot from 8 ft,0,4
12,1,9:47.0,J. Grant misses 2-pt jump shot from 6 ft,,0,4
13,1,9:45.0,,Defensive rebound by M. Gasol,0,4
14,1,9:31.0,,M. Conley misses 3-pt jump shot from 23 ft,0,4
15,1,9:31.0,Defensive rebound by J. Grant,,0,4
16,1,9:20.0,J. Grant misses 3-pt jump shot from 25 ft,,0,4
17,1,9:19.0,,Defensive rebound by T. Allen,0,4
18,1,9:01.0,,Turnover by M. Conley (bad pass; steal by J. Grant),0,4
19,1,8:54.0,I. Canaan misses 2-pt jump shot from 12 ft (block by M. Gasol),,0,4
20,1,8:54.0,Offensive rebound by Team,,0,4
21,1,8:45.0,J. Okafor misses 3-pt jump shot from 25 ft,,0,4
22,1,8:44.0,Offensive rebound by J. Grant,,0,4
23,1,8:27.0,I. Canaan misses 3-pt jump shot from 27 ft,,0,4
24,1,8:26.0,,Defensive rebound by T. Allen,0,4
25,1,8:19.0,,T. Allen makes 2-pt layup at rim,0,6
26,1,8:19.0,,Shooting foul by R. Covington (drawn by T. Allen),0,6
27,1,8:19.0,,T. Allen misses free throw 1 of 1,0,6
28,1,8:18.0,Defensive rebound by R. Covington,,0,6
