,QUARTER,TIME_REMAINING,TORONTO_ACTION,INDIANA_ACTION,TORONTO_SCORE,INDIANA_SCORE
0,1,11:45.0,,G. Hill makes 3-pt jump shot from 23 ft (assist by I. Mahinmi),0,3
1,1,11:25.0,Turnover by L. Scola (lost ball),,0,3
2,1,11:09.0,,M. Turner makes 2-pt jump shot from 19 ft,0,5
3,1,11:01.0,Personal foul by M. Ellis,,0,5
4,1,10:54.0,D. DeRozan misses 2-pt jump shot from 20 ft,,0,5
5,1,10:53.0,,Defensive rebound by G. Hill,0,5
6,1,10:38.0,,M. Turner misses 2-pt jump shot from 19 ft,0,5
7,1,10:37.0,Defensive rebound by D. Carroll,,0,5
8,1,10:29.0,K. Lowry misses 2-pt jump shot from 19 ft,,0,5
9,1,10:28.0,,Defensive rebound by M. Ellis,0,5
10,1,10:17.0,,M. Ellis makes 2-pt jump shot from 20 ft (assist by I. Mahinmi),0,7
11,1,9:53.0,J. Valančiūnas makes 2-pt hook shot from 11 ft,,2,7
12,1,9:42.0,,I. Mahinmi makes 2-pt layup from 2 ft (assist by M. Ellis),2,9
13,1,9:31.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by D. DeRozan),,4,9
14,1,9:23.0,,M. Ellis makes 2-pt layup at rim,4,11
15,1,8:57.0,Personal foul by I. Mahinmi,,4,11
16,1,8:51.0,D. Carroll makes 3-pt jump shot from 23 ft (assist by D. DeRozan),,7,11
17,1,8:31.0,,P. George misses 2-pt jump shot from 18 ft,7,11
18,1,8:30.0,Defensive rebound by D. DeRozan,,7,11
19,1,8:24.0,L. Scola misses 2-pt layup at rim (block by M. Turner),,7,11
20,1,8:24.0,Offensive rebound by Team,,7,11
21,1,8:21.0,D. DeRozan misses 2-pt jump shot from 17 ft,,7,11
22,1,8:20.0,,Defensive rebound by M. Turner,7,11
23,1,8:12.0,,M. Ellis misses 2-pt jump shot from 19 ft,7,11
24,1,8:11.0,Defensive rebound by D. DeRozan,,7,11
25,1,7:53.0,J. Valančiūnas makes 2-pt layup from 2 ft (assist by K. Lowry),,9,11
26,1,7:49.0,,Personal foul by K. Lowry,9,11
27,1,7:27.0,,M. Turner misses 2-pt jump shot from 10 ft,9,11
28,1,7:27.0,Defensive rebound by J. Valančiūnas,,9,11
29,1,7:14.0,D. Carroll misses 3-pt jump shot from 25 ft,,9,11
30,1,7:14.0,,Defensive rebound by I. Mahinmi,9,11
31,1,6:56.0,,I. Mahinmi makes 2-pt layup from 1 ft (assist by P. George),9,13
32,1,6:37.0,Turnover by D. DeRozan (lost ball; steal by M. Ellis),,9,13
33,1,6:33.0,,P. George makes 2-pt dunk at rim (assist by M. Ellis),9,15
34,1,6:23.0,Toronto full timeout,,9,15
35,1,6:08.0,K. Lowry makes 2-pt jump shot from 20 ft,,11,15
36,1,5:48.0,,Turnover by I. Mahinmi (lost ball; steal by D. DeRozan),11,15
37,1,5:38.0,J. Valančiūnas misses 2-pt jump shot from 12 ft,,11,15
38,1,5:38.0,,Defensive rebound by P. George,11,15
39,1,5:31.0,,P. George makes 2-pt layup from 2 ft,11,17
40,1,5:11.0,D. DeRozan makes 2-pt layup from 1 ft,,13,17
41,1,4:59.0,,I. Mahinmi misses 2-pt layup from 1 ft,13,17
42,1,4:59.0,Defensive rebound by L. Scola,,13,17
43,1,4:53.0,K. Lowry misses 3-pt jump shot from 26 ft,,13,17
44,1,4:52.0,,Defensive rebound by G. Hill,13,17
45,1,4:30.0,,I. Mahinmi makes 2-pt dunk at rim (assist by M. Turner),13,19
46,1,4:10.0,Turnover by K. Lowry (bad pass; steal by I. Mahinmi),,13,19
47,1,4:01.0,,P. George misses 3-pt jump shot from 27 ft,13,19
48,1,3:59.0,,Offensive rebound by I. Mahinmi,13,19
49,1,3:59.0,,I. Mahinmi misses 2-pt layup from 1 ft,13,19
50,1,3:58.0,Defensive rebound by D. Carroll,,13,19
51,1,3:53.0,,Offensive charge foul by K. Lowry (drawn by P. George),13,19
52,1,3:53.0,Turnover by K. Lowry (offensive foul),,13,19
