,QUARTER,TIME_REMAINING,DENVER_ACTION,DALLAS_ACTION,DENVER_SCORE,DALLAS_SCORE
0,1,11:47.0,E. Mudiay makes 2-pt layup at rim (assist by N. Jokić),,2,0
1,1,11:27.0,,Turnover by C. Parsons (bad pass),2,0
2,1,11:13.0,Turnover by D. Gallinari (lost ball),,2,0
3,1,11:03.0,,D. Nowitzki makes 2-pt jump shot from 18 ft (assist by D. Williams),2,2
4,1,10:44.0,K. Faried makes 2-pt jump shot from 13 ft (assist by N. Jokić),,4,2
5,1,10:26.0,,Turnover by D. Williams (bad pass),4,2
6,1,10:09.0,K. Faried makes 2-pt layup from 2 ft (assist by D. Gallinari),,6,2
7,1,9:57.0,,D. Williams misses 2-pt layup from 2 ft,6,2
8,1,9:56.0,Defensive rebound by K. Faried,,6,2
9,1,9:50.0,E. Mudiay misses 2-pt jump shot from 16 ft,,6,2
10,1,9:48.0,Offensive rebound by N. Jokić,,6,2
11,1,9:47.0,N. Jokić makes 2-pt layup from 3 ft,,8,2
12,1,9:46.0,,Dallas full timeout,8,2
13,1,9:34.0,,D. Nowitzki makes 2-pt jump shot from 16 ft (assist by D. Williams),8,4
14,1,9:17.0,N. Jokić misses 2-pt jump shot from 9 ft,,8,4
15,1,9:16.0,,Defensive rebound by Z. Pachulia,8,4
16,1,9:10.0,,Personal foul by E. Mudiay (drawn by D. Nowitzki),8,4
17,1,9:06.0,,W. Matthews misses 3-pt jump shot from 24 ft,8,4
18,1,9:06.0,Defensive rebound by Team,,8,4
19,1,8:44.0,E. Mudiay misses 3-pt jump shot from 24 ft,,8,4
20,1,8:43.0,Offensive rebound by N. Jokić,,8,4
21,1,8:26.0,D. Gallinari misses 2-pt jump shot from 17 ft,,8,4
22,1,8:25.0,,Defensive rebound by D. Nowitzki,8,4
23,1,8:12.0,,Personal foul by G. Harris (drawn by Z. Pachulia),8,4
24,1,8:04.0,,Turnover by C. Parsons (bad pass; steal by E. Mudiay),8,4
25,1,7:57.0,Shooting foul by D. Nowitzki (drawn by K. Faried),,8,4
26,1,7:57.0,K. Faried makes free throw 1 of 2,,9,4
27,1,7:57.0,K. Faried makes free throw 2 of 2,,10,4
28,1,7:46.0,,Personal foul by E. Mudiay (drawn by D. Williams),10,4
29,1,7:46.0,D. Augustin enters the game for E. Mudiay,,10,4
30,1,7:39.0,,D. Williams misses 2-pt jump shot from 20 ft,10,4
31,1,7:38.0,Defensive rebound by K. Faried,,10,4
32,1,7:28.0,K. Faried misses 2-pt jump shot from 21 ft,,10,4
33,1,7:27.0,,Defensive rebound by D. Nowitzki,10,4
