,QUARTER,TIME_REMAINING,DALLAS_ACTION,MILWAUKEE_ACTION,DALLAS_SCORE,MILWAUKEE_SCORE
0,1,11:50.0,,Shooting foul by Z. Pachulia (drawn by G. Monroe),0,0
1,1,11:50.0,,G. Monroe misses free throw 1 of 2,0,0
2,1,11:50.0,,Offensive rebound by Team,0,0
3,1,11:50.0,,G. Monroe makes free throw 2 of 2,0,1
4,1,11:36.0,Personal foul by J. Parker (drawn by Z. Pachulia),,0,1
5,1,11:22.0,W. Matthews makes 3-pt jump shot from 26 ft,,3,1
6,1,11:03.0,,J. Parker misses 2-pt jump shot from 13 ft,3,1
7,1,11:01.0,Defensive rebound by C. Parsons,,3,1
8,1,10:54.0,Turnover by D. Williams (lost ball),,3,1
9,1,10:39.0,,J. Parker makes 2-pt hook shot at rim,3,3
10,1,10:08.0,W. Matthews misses 3-pt jump shot from 22 ft,,3,3
11,1,10:06.0,,Defensive rebound by M. Carter-Williams,3,3
12,1,10:06.0,,Personal foul by W. Matthews (drawn by M. Carter-Williams),3,3
13,1,9:54.0,,M. Carter-Williams misses 2-pt jump shot from 13 ft,3,3
14,1,9:52.0,Defensive rebound by D. Williams,,3,3
15,1,9:35.0,D. Nowitzki makes 2-pt jump shot from 17 ft (assist by C. Parsons),,5,3
16,1,9:22.0,,K. Middleton misses 2-pt jump shot from 18 ft,5,3
17,1,9:21.0,Defensive rebound by C. Parsons,,5,3
18,1,9:12.0,C. Parsons misses 2-pt layup from 2 ft,,5,3
19,1,9:11.0,Offensive rebound by Z. Pachulia,,5,3
20,1,9:06.0,W. Matthews misses 3-pt jump shot from 26 ft,,5,3
21,1,9:05.0,,Defensive rebound by G. Antetokounmpo,5,3
22,1,9:00.0,,G. Antetokounmpo misses 2-pt jump shot from 18 ft,5,3
23,1,9:00.0,Defensive rebound by Team,,5,3
24,1,9:00.0,,Loose ball foul by G. Monroe (drawn by Z. Pachulia),5,3
25,1,8:49.0,D. Williams makes 2-pt jump shot from 16 ft (assist by W. Matthews),,7,3
26,1,8:35.0,,M. Carter-Williams misses 2-pt jump shot from 14 ft,7,3
27,1,8:34.0,Defensive rebound by Z. Pachulia,,7,3
28,1,8:21.0,Turnover by D. Nowitzki (bad pass; steal by M. Carter-Williams),,7,3
29,1,8:15.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by M. Carter-Williams),7,5
30,1,7:59.0,Shooting foul by M. Carter-Williams (drawn by D. Williams),,7,5
31,1,7:59.0,D. Williams misses free throw 1 of 2,,7,5
32,1,7:59.0,Offensive rebound by Team,,7,5
33,1,7:59.0,D. Williams makes free throw 2 of 2,,8,5
34,1,7:49.0,,Def 3 sec tech foul by D. Nowitzki,8,5
35,1,7:49.0,,K. Middleton makes technical free throw,8,6
36,1,7:38.0,,G. Monroe misses 2-pt jump shot from 15 ft,8,6
37,1,7:37.0,,Offensive rebound by M. Carter-Williams,8,6
38,1,7:28.0,,K. Middleton misses 2-pt jump shot from 16 ft,8,6
39,1,7:26.0,Defensive rebound by Z. Pachulia,,8,6
40,1,7:14.0,W. Matthews misses 2-pt jump shot from 7 ft,,8,6
41,1,7:12.0,,Defensive rebound by G. Monroe,8,6
42,1,7:06.0,,K. Middleton makes 2-pt layup from 2 ft (assist by M. Carter-Williams),8,8
43,1,6:49.0,C. Parsons misses 2-pt jump shot from 20 ft,,8,8
44,1,6:48.0,Offensive rebound by Z. Pachulia,,8,8
45,1,6:43.0,D. Williams misses 3-pt jump shot from 25 ft,,8,8
46,1,6:42.0,Offensive rebound by Z. Pachulia,,8,8
47,1,6:38.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,8,8
48,1,6:37.0,,Defensive rebound by M. Carter-Williams,8,8
49,1,6:30.0,,Offensive foul by G. Antetokounmpo (drawn by D. Williams),8,8
50,1,6:30.0,,Turnover by G. Antetokounmpo (offensive foul),8,8
51,1,6:30.0,D. Powell enters the game for D. Nowitzki,,8,8
52,1,6:30.0,R. Felton enters the game for C. Parsons,,8,8
53,1,6:30.0,,J. Henson enters the game for G. Monroe,8,8
54,1,6:08.0,Turnover by D. Williams (bad pass; steal by J. Parker),,8,8
55,1,6:04.0,,J. Parker makes 2-pt dunk at rim (assist by M. Carter-Williams),8,10
56,1,6:04.0,Dallas full timeout,,8,10
57,1,6:04.0,,O. Mayo enters the game for G. Antetokounmpo,8,10
