,QUARTER,TIME_REMAINING,CHICAGO_ACTION,UTAH_ACTION,CHICAGO_SCORE,UTAH_SCORE
0,1,11:40.0,D. Rose misses 3-pt jump shot from 24 ft,,0,0
1,1,11:40.0,,Defensive rebound by G. Hayward,0,0
2,1,11:16.0,,Turnover by R. Neto (bad pass),0,0
3,1,10:55.0,Shooting foul by R. Hood (drawn by D. Rose),,0,0
4,1,10:55.0,D. Rose misses free throw 1 of 2,,0,0
5,1,10:55.0,Offensive rebound by Team,,0,0
6,1,10:55.0,D. Rose makes free throw 2 of 2,,1,0
7,1,10:39.0,,D. Favors misses 2-pt jump shot from 11 ft,1,0
8,1,10:39.0,Defensive rebound by P. Gasol,,1,0
9,1,10:16.0,E. Moore makes 2-pt jump shot from 21 ft,,3,0
10,1,9:58.0,,D. Favors makes 2-pt layup from 2 ft (assist by R. Hood),3,2
11,1,9:47.0,D. Rose misses 2-pt jump shot from 12 ft,,3,2
12,1,9:46.0,,Defensive rebound by G. Hayward,3,2
13,1,9:40.0,,G. Hayward misses 2-pt layup from 2 ft,3,2
14,1,9:38.0,Defensive rebound by J. Butler,,3,2
15,1,9:29.0,J. Butler makes 2-pt jump shot from 20 ft,,5,2
16,1,9:20.0,,Personal foul by E. Moore (drawn by R. Hood),5,2
17,1,9:09.0,,G. Hayward misses 2-pt jump shot from 10 ft,5,2
18,1,9:08.0,Defensive rebound by D. Rose,,5,2
19,1,9:02.0,D. Rose misses 2-pt layup from 2 ft (block by D. Favors),,5,2
20,1,9:00.0,,Defensive rebound by G. Hayward,5,2
21,1,8:53.0,,R. Gobert makes 2-pt dunk at rim (assist by R. Neto),5,4
22,1,8:50.0,Chicago full timeout,,5,4
23,1,8:50.0,Technical foul by D. Rose,,5,4
24,1,8:50.0,,G. Hayward makes technical free throw,5,5
25,1,8:36.0,P. Gasol makes 2-pt jump shot from 14 ft (assist by J. Butler),,7,5
26,1,8:18.0,,R. Hood misses 2-pt jump shot from 4 ft (block by E. Moore),7,5
27,1,8:16.0,,Offensive rebound by R. Hood,7,5
28,1,8:14.0,,R. Hood makes 2-pt layup from 2 ft,7,7
29,1,8:03.0,Turnover by E. Moore (bad pass; steal by R. Gobert),,7,7
30,1,8:00.0,,Turnover by R. Gobert (lost ball; steal by T. Gibson),7,7
31,1,7:54.0,D. Rose makes 2-pt layup from 1 ft (assist by T. Gibson),,9,7
32,1,7:36.0,,D. Favors makes 2-pt hook shot from 4 ft,9,9
33,1,7:24.0,P. Gasol makes 2-pt jump shot from 20 ft (assist by D. Rose),,11,9
34,1,7:05.0,,R. Neto makes 2-pt layup from 1 ft,11,11
35,1,6:53.0,D. Rose misses 2-pt jump shot from 8 ft,,11,11
36,1,6:52.0,,Defensive rebound by R. Gobert,11,11
37,1,6:44.0,,R. Hood makes 2-pt jump shot from 8 ft (assist by G. Hayward),11,13
38,1,6:26.0,E. Moore misses 3-pt jump shot from 23 ft,,11,13
39,1,6:25.0,,Defensive rebound by D. Favors,11,13
40,1,6:20.0,Offensive charge foul by G. Hayward (drawn by J. Butler),,11,13
41,1,6:20.0,,Turnover by G. Hayward (offensive foul),11,13
42,1,6:20.0,,T. Booker enters the game for D. Favors,11,13
43,1,6:06.0,P. Gasol makes 2-pt jump shot from 18 ft (assist by J. Butler),,13,13
44,1,5:47.0,,R. Gobert makes 2-pt layup from 1 ft (assist by G. Hayward),13,15
45,1,5:34.0,J. Butler misses 2-pt jump shot from 17 ft,,13,15
46,1,5:33.0,,Defensive rebound by R. Hood,13,15
47,1,5:22.0,,R. Neto makes 2-pt layup from 2 ft,13,17
48,1,5:09.0,B. Portis enters the game for T. Gibson,,13,17
49,1,5:09.0,A. Brooks enters the game for D. Rose,,13,17
50,1,5:00.0,J. Butler makes 2-pt jump shot from 3 ft (assist by P. Gasol),,15,17
51,1,4:39.0,,R. Neto makes 2-pt layup from 1 ft,15,19
52,1,4:29.0,E. Moore makes 2-pt dunk at rim (assist by P. Gasol),,17,19
53,1,4:19.0,,Shooting foul by P. Gasol (drawn by G. Hayward),17,19
54,1,4:19.0,,G. Hayward makes free throw 1 of 2,17,20
55,1,4:19.0,K. Hinrich enters the game for E. Moore,,17,20
56,1,4:19.0,,C. Johnson enters the game for R. Hood,17,20
57,1,4:19.0,,G. Hayward makes free throw 2 of 2,17,21
58,1,3:56.0,A. Brooks misses 2-pt jump shot from 3 ft,,17,21
59,1,3:56.0,,Defensive rebound by C. Johnson,17,21
60,1,3:53.0,,Turnover by C. Johnson (lost ball; steal by A. Brooks),17,21
61,1,3:40.0,Shooting foul by T. Booker (drawn by P. Gasol),,17,21
62,1,3:40.0,P. Gasol makes free throw 1 of 2,,18,21
63,1,3:40.0,P. Gasol makes free throw 2 of 2,,19,21
64,1,3:27.0,,Offensive foul by T. Booker (drawn by J. Butler),19,21
65,1,3:27.0,,Turnover by T. Booker (offensive foul),19,21
66,1,3:27.0,,T. Lyles enters the game for T. Booker,19,21
67,1,3:27.0,,T. Burke enters the game for R. Neto,19,21
68,1,3:07.0,A. Brooks misses 3-pt jump shot from 24 ft,,19,21
69,1,3:06.0,Offensive rebound by K. Hinrich,,19,21
70,1,2:56.0,P. Gasol makes 2-pt dunk at rim,,21,21
71,1,2:39.0,,G. Hayward misses 2-pt layup from 1 ft,21,21
72,1,2:38.0,,Offensive rebound by R. Gobert,21,21
73,1,2:35.0,,R. Gobert misses 2-pt layup from 2 ft,21,21
74,1,2:34.0,Defensive rebound by B. Portis,,21,21
75,1,2:23.0,Shooting foul by T. Lyles (drawn by B. Portis),,21,21
76,1,2:23.0,,Utah full timeout,21,21
77,1,2:23.0,Violation by Team (jump ball),,21,21
78,1,2:23.0,B. Portis makes free throw 1 of 2,,22,21
79,1,2:23.0,B. Portis misses free throw 2 of 2,,22,21
80,1,2:22.0,,Defensive rebound by T. Lyles,22,21
81,1,2:06.0,,G. Hayward misses 3-pt jump shot from 24 ft,22,21
82,1,2:06.0,,Offensive rebound by T. Burke,22,21
83,1,1:58.0,,T. Burke makes 2-pt jump shot from 19 ft,22,23
84,1,1:37.0,B. Portis makes 2-pt layup from 1 ft (assist by A. Brooks),,24,23
85,1,1:37.0,Shooting foul by T. Lyles (drawn by B. Portis),,24,23
86,1,1:37.0,B. Portis makes free throw 1 of 1,,25,23
87,1,1:26.0,,G. Hayward misses 3-pt jump shot from 24 ft,25,23
88,1,1:25.0,Defensive rebound by B. Portis,,25,23
89,1,1:16.0,P. Gasol misses 2-pt jump shot from 19 ft,,25,23
90,1,1:14.0,Offensive rebound by B. Portis,,25,23
91,1,1:10.0,B. Portis misses 2-pt jump shot from 9 ft,,25,23
92,1,1:09.0,,Defensive rebound by R. Gobert,25,23
