,QUARTER,TIME_REMAINING,MIAMI_ACTION,DETROIT_ACTION,MIAMI_SCORE,DETROIT_SCORE
0,1,11:42.0,D. Wade misses 2-pt layup at rim (block by A. Drummond),,0,0
1,1,11:41.0,Offensive rebound by G. Green,,0,0
2,1,11:38.0,G. Green misses 2-pt jump shot from 16 ft,,0,0
3,1,11:35.0,Offensive rebound by G. Green,,0,0
4,1,11:34.0,G. Green makes 2-pt layup at rim,,2,0
5,1,11:20.0,,Def 3 sec tech foul by H. Whiteside,2,0
6,1,11:20.0,,K. Caldwell-Pope makes technical free throw,2,1
7,1,11:08.0,,A. Drummond makes 2-pt hook shot from 6 ft (assist by E. İlyasova),2,3
8,1,10:56.0,H. Whiteside misses 2-pt layup from 1 ft (block by A. Drummond),,2,3
9,1,10:53.0,Offensive rebound by Team,,2,3
10,1,10:47.0,Turnover by G. Dragić (bad pass),,2,3
11,1,10:37.0,,E. İlyasova misses 2-pt layup from 1 ft,2,3
12,1,10:36.0,,Offensive rebound by A. Drummond,2,3
13,1,10:35.0,,A. Drummond misses 2-pt jump shot from 3 ft,2,3
14,1,10:34.0,,Offensive rebound by Team,2,3
15,1,10:30.0,,R. Jackson misses 2-pt jump shot from 18 ft,2,3
16,1,10:29.0,,Offensive rebound by M. Morris,2,3
17,1,10:28.0,,K. Caldwell-Pope misses 3-pt jump shot from 29 ft,2,3
18,1,10:28.0,Defensive rebound by D. Wade,,2,3
19,1,10:10.0,D. Wade makes 2-pt jump shot from 17 ft,,4,3
20,1,9:52.0,,A. Drummond misses 2-pt jump shot from 3 ft (block by H. Whiteside),4,3
21,1,9:50.0,Defensive rebound by D. Wade,,4,3
22,1,9:40.0,C. Bosh misses 2-pt jump shot from 20 ft,,4,3
23,1,9:39.0,Offensive rebound by H. Whiteside,,4,3
24,1,9:32.0,G. Green misses 2-pt jump shot from 9 ft,,4,3
25,1,9:32.0,,Defensive rebound by M. Morris,4,3
26,1,9:25.0,,Shooting foul by H. Whiteside (drawn by E. İlyasova),4,3
27,1,9:25.0,,E. İlyasova makes free throw 1 of 2,4,4
28,1,9:25.0,,E. İlyasova makes free throw 2 of 2,4,5
29,1,9:08.0,Turnover by D. Wade (traveling),,4,5
30,1,8:47.0,,M. Morris misses 2-pt jump shot from 13 ft,4,5
31,1,8:46.0,Defensive rebound by C. Bosh,,4,5
32,1,8:33.0,H. Whiteside makes 2-pt dunk at rim (assist by C. Bosh),,6,5
33,1,8:18.0,,E. İlyasova misses 3-pt jump shot from 26 ft,6,5
34,1,8:18.0,Defensive rebound by G. Green,,6,5
35,1,8:08.0,G. Dragić misses 3-pt jump shot from 26 ft,,6,5
36,1,8:07.0,,Defensive rebound by K. Caldwell-Pope,6,5
37,1,7:56.0,,R. Jackson misses 2-pt jump shot from 17 ft,6,5
38,1,7:55.0,,Offensive rebound by Team,6,5
39,1,7:43.0,,A. Drummond misses 2-pt hook shot from 6 ft,6,5
40,1,7:42.0,,Offensive rebound by M. Morris,6,5
41,1,7:38.0,,M. Morris misses 2-pt layup at rim,6,5
42,1,7:38.0,Defensive rebound by G. Green,,6,5
43,1,7:31.0,G. Green makes 2-pt dunk at rim (assist by G. Dragić),,8,5
44,1,7:06.0,,A. Drummond makes 2-pt hook shot from 7 ft (assist by R. Jackson),8,7
45,1,6:47.0,Turnover by G. Green (bad pass; steal by A. Drummond),,8,7
46,1,6:32.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,8,7
47,1,6:32.0,,Offensive rebound by A. Drummond,8,7
48,1,6:24.0,,R. Jackson makes 3-pt jump shot from 25 ft (assist by E. İlyasova),8,10
49,1,6:06.0,Turnover by G. Dragić (bad pass),,8,10
50,1,6:06.0,J. Winslow enters the game for C. Bosh,,8,10
51,1,5:49.0,,A. Drummond makes 2-pt hook shot from 4 ft (assist by E. İlyasova),8,12
52,1,5:34.0,H. Whiteside makes 2-pt dunk at rim (assist by D. Wade),,10,12
53,1,5:22.0,,R. Jackson makes 2-pt jump shot from 6 ft,10,14
54,1,5:06.0,H. Whiteside misses 2-pt jump shot from 9 ft,,10,14
55,1,5:05.0,,Defensive rebound by A. Drummond,10,14
56,1,4:54.0,,E. İlyasova misses 2-pt hook shot from 4 ft,10,14
57,1,4:53.0,,Offensive rebound by A. Drummond,10,14
58,1,4:50.0,,A. Drummond makes 2-pt layup at rim,10,16
59,1,4:49.0,Miami full timeout,,10,16
60,1,4:49.0,,S. Johnson enters the game for M. Morris,10,16
61,1,4:38.0,D. Wade misses 2-pt jump shot from 18 ft,,10,16
62,1,4:38.0,,Defensive rebound by A. Drummond,10,16
63,1,4:20.0,,R. Jackson makes 3-pt jump shot from 24 ft (assist by K. Caldwell-Pope),10,19
64,1,4:05.0,Def 3 sec tech foul by A. Drummond,,10,19
65,1,4:05.0,D. Wade misses technical free throw,,10,19
66,1,4:05.0,Offensive rebound by Team,,10,19
67,1,3:56.0,Personal foul by K. Caldwell-Pope (drawn by D. Wade),,10,19
68,1,3:45.0,D. Wade misses 2-pt jump shot from 19 ft,,10,19
69,1,3:44.0,,Defensive rebound by A. Drummond,10,19
70,1,3:24.0,,K. Caldwell-Pope misses 2-pt jump shot from 7 ft (block by D. Wade),10,19
71,1,3:22.0,,Offensive rebound by E. İlyasova,10,19
72,1,3:18.0,,E. İlyasova misses 2-pt jump shot from 6 ft,10,19
73,1,3:18.0,Defensive rebound by J. Winslow,,10,19
74,1,3:16.0,G. Green misses 3-pt jump shot from 28 ft,,10,19
75,1,3:16.0,,Defensive rebound by Team,10,19
76,1,3:16.0,C. Bosh enters the game for H. Whiteside,,10,19
77,1,2:59.0,,Shooting foul by J. Winslow (drawn by E. İlyasova),10,19
78,1,2:59.0,,Detroit full timeout,10,19
