,QUARTER,TIME_REMAINING,PHOENIX_ACTION,LA CLIPPERS_ACTION,PHOENIX_SCORE,LA CLIPPERS_SCORE
0,1,11:36.0,,L. Stephenson misses 2-pt jump shot from 19 ft,0,0
1,1,11:36.0,Defensive rebound by T. Chandler,,0,0
2,1,11:16.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,0,0
3,1,11:15.0,,Defensive rebound by B. Griffin,0,0
4,1,11:01.0,,B. Griffin makes 2-pt jump shot from 19 ft,0,2
5,1,10:45.0,P. Tucker misses 2-pt hook shot from 7 ft,,0,2
6,1,10:42.0,,Defensive rebound by B. Griffin,0,2
7,1,10:37.0,,L. Stephenson misses 2-pt jump shot from 15 ft,0,2
8,1,10:35.0,Defensive rebound by B. Knight,,0,2
9,1,10:26.0,M. Morris misses 3-pt jump shot from 26 ft,,0,2
10,1,10:25.0,,Defensive rebound by L. Stephenson,0,2
11,1,10:24.0,,Turnover by L. Stephenson (bad pass),0,2
12,1,10:13.0,M. Morris misses 2-pt jump shot from 15 ft,,0,2
13,1,10:11.0,,Defensive rebound by L. Stephenson,0,2
14,1,10:00.0,,B. Griffin misses 2-pt layup from 4 ft,0,2
15,1,9:59.0,Defensive rebound by T. Chandler,,0,2
16,1,9:53.0,E. Bledsoe makes 2-pt jump shot from 14 ft,,2,2
17,1,9:41.0,,C. Paul makes 3-pt jump shot from 26 ft (assist by L. Stephenson),2,5
18,1,9:31.0,E. Bledsoe misses 2-pt jump shot from 20 ft,,2,5
19,1,9:30.0,,Defensive rebound by D. Jordan,2,5
20,1,9:25.0,,Personal foul by E. Bledsoe (drawn by C. Paul),2,5
21,1,9:15.0,,B. Griffin misses 2-pt jump shot from 14 ft,2,5
22,1,9:12.0,Defensive rebound by T. Chandler,,2,5
23,1,9:05.0,T. Chandler makes 2-pt layup from 2 ft (assist by E. Bledsoe),,4,5
24,1,8:51.0,,J. Redick misses 3-pt jump shot from 23 ft,4,5
25,1,8:51.0,Defensive rebound by Team,,4,5
26,1,8:35.0,Shooting foul by J. Redick (drawn by B. Knight),,4,5
