,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,NEW YORK_ACTION,GOLDEN STATE_SCORE,NEW YORK_SCORE
0,1,11:42.0,S. Curry misses 3-pt jump shot from 27 ft,,0,0
1,1,11:41.0,,Defensive rebound by K. Porziņģis,0,0
2,1,11:27.0,,R. Lopez misses 2-pt hook shot from 3 ft,0,0
3,1,11:26.0,Defensive rebound by A. Bogut,,0,0
4,1,11:22.0,Turnover by S. Curry (lost ball),,0,0
5,1,11:03.0,,C. Anthony misses 2-pt jump shot from 22 ft,0,0
6,1,11:02.0,Defensive rebound by A. Bogut,,0,0
7,1,10:54.0,H. Barnes misses 2-pt layup from 2 ft (block by C. Anthony),,0,0
8,1,10:53.0,,Defensive rebound by R. Lopez,0,0
9,1,10:48.0,,Offensive foul by K. Porziņģis (drawn by D. Green),0,0
10,1,10:48.0,,Turnover by K. Porziņģis (offensive foul),0,0
11,1,10:30.0,Personal foul by K. Porziņģis (drawn by D. Green),,0,0
12,1,10:30.0,,L. Thomas enters the game for K. Porziņģis,0,0
13,1,10:27.0,S. Curry misses 3-pt jump shot from 25 ft,,0,0
14,1,10:26.0,,Defensive rebound by R. Lopez,0,0
15,1,10:13.0,,L. Galloway misses 3-pt jump shot from 25 ft,0,0
16,1,10:12.0,Defensive rebound by A. Bogut,,0,0
17,1,10:05.0,Turnover by D. Green (bad pass; steal by L. Galloway),,0,0
18,1,9:59.0,,Turnover by C. Anthony (bad pass; steal by S. Curry),0,0
19,1,9:48.0,S. Curry misses 2-pt jump shot from 18 ft,,0,0
20,1,9:47.0,,Defensive rebound by A. Afflalo,0,0
21,1,9:40.0,,A. Afflalo misses 2-pt jump shot from 5 ft,0,0
22,1,9:39.0,,Offensive rebound by R. Lopez,0,0
23,1,9:35.0,,C. Anthony misses 3-pt jump shot from 26 ft,0,0
24,1,9:34.0,Defensive rebound by A. Bogut,,0,0
25,1,9:19.0,S. Curry makes 2-pt layup from 1 ft (assist by A. Bogut),,2,0
26,1,9:02.0,,L. Thomas misses 2-pt jump shot from 15 ft,2,0
27,1,9:01.0,Defensive rebound by H. Barnes,,2,0
28,1,8:55.0,H. Barnes makes 2-pt jump shot from 13 ft,,4,0
29,1,8:34.0,,Turnover by C. Anthony (bad pass),4,0
30,1,8:22.0,Turnover by K. Thompson (bad pass; steal by L. Thomas),,4,0
31,1,8:19.0,,Turnover by L. Thomas (bad pass; steal by D. Green),4,0
32,1,8:09.0,H. Barnes makes 3-pt jump shot from 24 ft (assist by K. Thompson),,7,0
33,1,8:07.0,,New York full timeout,7,0
34,1,7:54.0,,Def 3 sec tech foul by A. Bogut,7,0
35,1,7:54.0,,C. Anthony makes technical free throw,7,1
36,1,7:46.0,,A. Afflalo misses 2-pt jump shot from 17 ft,7,1
37,1,7:45.0,,Offensive rebound by R. Lopez,7,1
38,1,7:45.0,,R. Lopez makes 2-pt layup at rim,7,3
39,1,7:29.0,A. Bogut misses 2-pt hook shot from 2 ft,,7,3
40,1,7:28.0,,Defensive rebound by C. Anthony,7,3
41,1,7:15.0,,A. Afflalo misses 2-pt jump shot from 20 ft,7,3
42,1,7:14.0,Defensive rebound by A. Bogut,,7,3
43,1,7:03.0,Offensive foul by A. Bogut (drawn by L. Thomas),,7,3
44,1,7:03.0,Turnover by A. Bogut (offensive foul),,7,3
45,1,6:45.0,,Shooting foul by H. Barnes (drawn by C. Anthony),7,3
46,1,6:45.0,,C. Anthony makes free throw 1 of 2,7,4
47,1,6:45.0,,C. Anthony makes free throw 2 of 2,7,5
48,1,6:27.0,S. Curry misses 3-pt jump shot from 24 ft,,7,5
49,1,6:26.0,Offensive rebound by H. Barnes,,7,5
50,1,6:23.0,S. Curry misses 3-pt jump shot from 23 ft,,7,5
51,1,6:22.0,,Defensive rebound by L. Galloway,7,5
52,1,6:08.0,,L. Galloway makes 3-pt jump shot from 24 ft (assist by C. Anthony),7,8
53,1,5:56.0,Turnover by S. Curry (lost ball),,7,8
54,1,5:56.0,A. Iguodala enters the game for H. Barnes,,7,8
55,1,5:41.0,,C. Anthony makes 2-pt jump shot from 9 ft,7,10
56,1,5:26.0,Shooting foul by L. Galloway (drawn by D. Green),,7,10
57,1,5:26.0,D. Green misses free throw 1 of 2,,7,10
58,1,5:26.0,Offensive rebound by Team,,7,10
59,1,5:26.0,D. Green misses free throw 2 of 2,,7,10
60,1,5:25.0,,Defensive rebound by C. Anthony,7,10
61,1,5:06.0,,L. Galloway misses 2-pt layup from 1 ft,7,10
62,1,5:05.0,Defensive rebound by A. Bogut,,7,10
63,1,5:01.0,Turnover by A. Iguodala (lost ball),,7,10
64,1,4:45.0,,L. Thomas misses 3-pt jump shot from 24 ft,7,10
65,1,4:44.0,Defensive rebound by A. Bogut,,7,10
66,1,4:35.0,K. Thompson misses 2-pt jump shot from 7 ft,,7,10
67,1,4:34.0,,Defensive rebound by R. Lopez,7,10
68,1,4:27.0,,Shooting foul by A. Bogut (drawn by C. Anthony),7,10
69,1,4:27.0,,C. Anthony makes free throw 1 of 2,7,11
70,1,4:27.0,Golden State full timeout,,7,11
71,1,4:27.0,M. Speights enters the game for A. Bogut,,7,11
72,1,4:27.0,,C. Anthony makes free throw 2 of 2,7,12
73,1,4:18.0,Offensive foul by K. Thompson (drawn by L. Thomas),,7,12
74,1,4:18.0,Turnover by K. Thompson (offensive foul),,7,12
75,1,4:18.0,L. Barbosa enters the game for K. Thompson,,7,12
76,1,3:58.0,,C. Anthony makes 2-pt jump shot from 22 ft,7,14
77,1,3:34.0,D. Green makes 2-pt jump shot from 8 ft,,9,14
78,1,3:15.0,,R. Lopez makes 2-pt layup from 2 ft (assist by C. Anthony),9,16
79,1,3:08.0,,Violation by L. Thomas (kicked ball),9,16
80,1,3:08.0,,D. Williams enters the game for L. Thomas,9,16
81,1,2:59.0,S. Curry makes 3-pt jump shot from 23 ft (assist by A. Iguodala),,12,16
82,1,2:31.0,,D. Williams misses 3-pt jump shot from 23 ft,12,16
83,1,2:30.0,Defensive rebound by M. Speights,,12,16
84,1,2:22.0,M. Speights misses 2-pt jump shot from 11 ft,,12,16
85,1,2:21.0,,Defensive rebound by C. Anthony,12,16
86,1,1:58.0,,R. Lopez makes 2-pt jump shot from 19 ft (assist by L. Galloway),12,18
87,1,1:44.0,Shooting foul by C. Anthony (drawn by A. Iguodala),,12,18
88,1,1:44.0,A. Iguodala makes free throw 1 of 2,,13,18
89,1,1:44.0,,S. Vujačić enters the game for A. Afflalo,13,18
90,1,1:44.0,A. Iguodala misses free throw 2 of 2,,13,18
91,1,1:43.0,,Defensive rebound by C. Anthony,13,18
92,1,1:23.0,,D. Williams misses 2-pt layup at rim (block by D. Green),13,18
93,1,1:22.0,,Offensive rebound by D. Williams,13,18
94,1,1:21.0,,D. Williams misses 2-pt layup from 2 ft,13,18
95,1,1:20.0,Defensive rebound by D. Green,,13,18
96,1,1:16.0,Turnover by L. Barbosa (lost ball),,13,18
97,1,1:04.0,,L. Galloway misses 3-pt jump shot from 24 ft,13,18
98,1,1:03.0,Defensive rebound by D. Green,,13,18
99,1,0:54.0,M. Speights makes 2-pt jump shot from 20 ft (assist by D. Green),,15,18
100,1,0:43.0,,C. Anthony makes 2-pt jump shot from 15 ft (assist by R. Lopez),15,20
101,1,0:43.0,,Violation by Team (jump ball),15,20
102,1,0:31.0,S. Curry makes 3-pt jump shot from 26 ft,,18,20
