,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DENVER_ACTION,MEMPHIS_SCORE,DENVER_SCORE
0,1,11:34.0,,J. Sampson misses 2-pt layup from 1 ft,0,0
1,1,11:34.0,Defensive rebound by C. Andersen,,0,0
2,1,11:18.0,C. Andersen misses 2-pt layup from 1 ft (block by N. Jokić),,0,0
3,1,11:15.0,,Defensive rebound by N. Jokić,0,0
4,1,11:12.0,,N. Jokić misses 2-pt layup from 1 ft,0,0
5,1,11:11.0,Defensive rebound by P. Hairston,,0,0
6,1,11:03.0,M. Conley misses 3-pt jump shot from 25 ft,,0,0
7,1,11:03.0,Offensive rebound by M. Conley,,0,0
8,1,10:58.0,P. Hairston misses 3-pt jump shot from 27 ft,,0,0
9,1,10:57.0,,Defensive rebound by E. Mudiay,0,0
10,1,10:47.0,,Turnover by N. Jokić (lost ball),0,0
11,1,10:27.0,M. Barnes makes 2-pt layup from 2 ft (assist by M. Conley),,2,0
12,1,10:12.0,,E. Mudiay misses 2-pt jump shot from 22 ft,2,0
13,1,10:11.0,Defensive rebound by Z. Randolph,,2,0
14,1,9:59.0,P. Hairston makes 2-pt layup from 2 ft (assist by Z. Randolph),,4,0
15,1,9:36.0,,J. Sampson makes 2-pt jump shot from 2 ft (assist by E. Mudiay),4,2
16,1,9:13.0,Z. Randolph misses 2-pt jump shot from 16 ft,,4,2
17,1,9:12.0,,Defensive rebound by N. Jokić,4,2
18,1,9:02.0,,K. Faried misses 2-pt hook shot from 2 ft,4,2
19,1,9:02.0,Defensive rebound by Z. Randolph,,4,2
20,1,8:52.0,Shooting foul by N. Jokić (drawn by M. Barnes),,4,2
21,1,8:52.0,M. Barnes makes free throw 1 of 2,,5,2
22,1,8:52.0,M. Barnes makes free throw 2 of 2,,6,2
23,1,8:39.0,,Shooting foul by C. Andersen (drawn by N. Jokić),6,2
24,1,8:39.0,,N. Jokić makes free throw 1 of 2,6,3
25,1,8:39.0,,N. Jokić makes free throw 2 of 2,6,4
26,1,8:26.0,M. Barnes misses 3-pt jump shot from 25 ft,,6,4
27,1,8:23.0,,Defensive rebound by Team,6,4
28,1,8:11.0,,E. Mudiay misses 2-pt jump shot from 20 ft,6,4
29,1,8:10.0,Defensive rebound by M. Barnes,,6,4
30,1,8:00.0,Shooting block foul by E. Mudiay (drawn by M. Conley),,6,4
31,1,8:00.0,M. Conley makes free throw 1 of 2,,7,4
32,1,8:00.0,M. Conley misses free throw 2 of 2,,7,4
33,1,7:59.0,,Defensive rebound by K. Faried,7,4
34,1,7:45.0,,G. Harris makes 3-pt jump shot from 24 ft (assist by J. Sampson),7,7
35,1,7:29.0,Z. Randolph misses 2-pt jump shot from 6 ft,,7,7
36,1,7:28.0,,Defensive rebound by N. Jokić,7,7
37,1,7:25.0,,Offensive foul by J. Sampson (drawn by M. Conley),7,7
38,1,7:25.0,,Turnover by J. Sampson (offensive foul),7,7
39,1,7:09.0,M. Barnes makes 2-pt hook shot from 3 ft (assist by Z. Randolph),,9,7
40,1,7:01.0,,G. Harris misses 3-pt jump shot from 25 ft,9,7
41,1,6:59.0,Defensive rebound by M. Barnes,,9,7
42,1,6:47.0,Shooting foul by N. Jokić (drawn by C. Andersen),,9,7
