,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MIAMI_ACTION,BROOKLYN_SCORE,MIAMI_SCORE
0,1,11:39.0,Shooting foul by J. Richardson (drawn by S. Larkin),,0,0
1,1,11:39.0,S. Larkin makes free throw 1 of 2,,1,0
2,1,11:39.0,S. Larkin misses free throw 2 of 2,,1,0
3,1,11:38.0,,Defensive rebound by A. Stoudemire,1,0
4,1,11:26.0,,A. Stoudemire makes 2-pt jump shot from 15 ft (assist by J. Johnson),1,2
5,1,11:10.0,T. Young makes 2-pt layup from 1 ft,,3,2
6,1,10:54.0,,D. Wade misses 2-pt jump shot from 8 ft,3,2
7,1,10:53.0,Defensive rebound by T. Young,,3,2
8,1,10:40.0,Turnover by B. Bogdanović (lost ball; steal by A. Stoudemire),,3,2
9,1,10:30.0,,J. Johnson misses 2-pt layup at rim,3,2
10,1,10:29.0,Defensive rebound by S. Karasev,,3,2
11,1,10:23.0,B. Bogdanović makes 2-pt jump shot from 6 ft (assist by S. Karasev),,5,2
12,1,10:04.0,,L. Deng misses 3-pt jump shot from 24 ft,5,2
13,1,10:03.0,Defensive rebound by S. Karasev,,5,2
14,1,9:48.0,B. Lopez makes 2-pt layup from 1 ft (assist by S. Karasev),,7,2
15,1,9:31.0,,D. Wade makes 2-pt jump shot from 6 ft,7,4
16,1,9:20.0,Turnover by S. Larkin (bad pass; steal by J. Richardson),,7,4
17,1,9:16.0,,Turnover by J. Richardson (bad pass),7,4
18,1,9:05.0,,Offensive charge foul by B. Lopez (drawn by A. Stoudemire),7,4
19,1,9:05.0,Turnover by B. Lopez (offensive foul),,7,4
20,1,8:53.0,,A. Stoudemire makes 2-pt dunk at rim (assist by J. Johnson),7,6
21,1,8:40.0,S. Larkin makes 2-pt jump shot from 20 ft,,9,6
22,1,8:31.0,,Turnover by L. Deng (bad pass; steal by T. Young),9,6
23,1,8:25.0,B. Bogdanović makes 2-pt dunk at rim (assist by T. Young),,11,6
24,1,7:59.0,,Turnover by D. Wade (lost ball; steal by T. Young),11,6
25,1,7:54.0,B. Bogdanović misses 2-pt layup from 1 ft,,11,6
26,1,7:53.0,,Defensive rebound by J. Johnson,11,6
27,1,7:46.0,,J. Richardson makes 2-pt jump shot from 17 ft (assist by J. Johnson),11,8
28,1,7:22.0,B. Lopez misses 2-pt hook shot from 12 ft,,11,8
29,1,7:21.0,,Defensive rebound by D. Wade,11,8
30,1,7:16.0,Violation by B. Lopez (def goaltending),,11,8
31,1,7:16.0,,D. Wade makes 2-pt jump shot from 2 ft,11,10
32,1,7:02.0,S. Karasev makes 2-pt jump shot from 17 ft,,13,10
33,1,6:40.0,,D. Wade makes 2-pt jump shot from 15 ft (assist by J. Johnson),13,12
34,1,6:24.0,B. Lopez makes 2-pt layup from 1 ft (assist by S. Larkin),,15,12
35,1,6:03.0,,L. Deng misses 2-pt jump shot from 5 ft,15,12
36,1,6:02.0,Defensive rebound by T. Young,,15,12
37,1,5:51.0,Turnover by S. Larkin (bad pass),,15,12
38,1,5:51.0,,Miami full timeout,15,12
39,1,5:51.0,,J. Winslow enters the game for J. Johnson,15,12
40,1,5:31.0,,D. Wade makes 2-pt layup from 2 ft,15,14
41,1,5:07.0,B. Lopez misses 2-pt jump shot from 5 ft,,15,14
42,1,5:06.0,,Defensive rebound by J. Richardson,15,14
43,1,4:56.0,,J. Richardson makes 2-pt jump shot from 15 ft,15,16
44,1,4:36.0,B. Bogdanović makes 2-pt jump shot from 8 ft,,17,16
45,1,4:12.0,,J. Richardson makes 3-pt jump shot from 24 ft (assist by D. Wade),17,19
46,1,4:01.0,T. Young makes 2-pt jump shot from 10 ft (assist by S. Larkin),,19,19
47,1,3:40.0,,Turnover by D. Wade (lost ball; steal by T. Young),19,19
48,1,3:35.0,Shooting foul by J. Richardson (drawn by S. Larkin),,19,19
49,1,3:35.0,S. Larkin makes free throw 1 of 2,,20,19
50,1,3:35.0,S. Kilpatrick enters the game for S. Karasev,,20,19
51,1,3:35.0,R. Hollis-Jefferson enters the game for B. Bogdanović,,20,19
52,1,3:35.0,,J. Johnson enters the game for A. Stoudemire,20,19
53,1,3:35.0,,H. Whiteside enters the game for D. Wade,20,19
54,1,3:35.0,,G. Green enters the game for J. Richardson,20,19
55,1,3:35.0,S. Larkin makes free throw 2 of 2,,21,19
56,1,3:18.0,,L. Deng makes 2-pt layup from 1 ft (assist by J. Johnson),21,21
57,1,2:54.0,T. Young makes 2-pt jump shot from 10 ft (assist by R. Hollis-Jefferson),,23,21
58,1,2:37.0,,J. Johnson makes 2-pt jump shot from 11 ft,23,23
59,1,2:26.0,R. Hollis-Jefferson misses 2-pt jump shot from 19 ft,,23,23
60,1,2:25.0,,Defensive rebound by J. Johnson,23,23
61,1,2:16.0,,G. Green misses 2-pt layup from 1 ft (block by B. Lopez),23,23
