,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,DETROIT_ACTION,CLEVELAND_SCORE,DETROIT_SCORE
0,1,11:44.0,T. Thompson misses 2-pt jump shot from 7 ft,,0,0
1,1,11:44.0,,Defensive rebound by T. Harris,0,0
2,1,11:26.0,,A. Drummond misses 2-pt hook shot from 6 ft,0,0
3,1,11:25.0,Defensive rebound by K. Love,,0,0
4,1,11:16.0,K. Love misses 3-pt jump shot from 26 ft,,0,0
5,1,11:15.0,,Defensive rebound by T. Harris,0,0
6,1,11:07.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by R. Jackson),0,3
7,1,10:41.0,L. James makes 2-pt layup at rim,,2,3
8,1,10:18.0,,A. Drummond makes 2-pt hook shot from 6 ft,2,5
9,1,9:50.0,L. James misses 2-pt layup from 1 ft,,2,5
10,1,9:50.0,Offensive rebound by T. Thompson,,2,5
11,1,9:46.0,Turnover by T. Thompson (bad pass; steal by K. Caldwell-Pope),,2,5
12,1,9:37.0,,M. Morris makes 3-pt jump shot from 22 ft (assist by K. Caldwell-Pope),2,8
13,1,9:19.0,K. Love misses 2-pt jump shot from 17 ft,,2,8
14,1,9:19.0,,Defensive rebound by R. Jackson,2,8
15,1,9:15.0,,A. Drummond makes 2-pt layup from 1 ft (assist by R. Jackson),2,10
16,1,9:15.0,Cleveland full timeout,,2,10
17,1,9:00.0,J. Smith misses 3-pt jump shot from 24 ft,,2,10
18,1,8:59.0,,Defensive rebound by K. Caldwell-Pope,2,10
19,1,8:52.0,,R. Jackson misses 3-pt jump shot from 27 ft,2,10
20,1,8:52.0,Defensive rebound by K. Love,,2,10
21,1,8:45.0,Shooting foul by A. Drummond (drawn by K. Irving),,2,10
22,1,8:45.0,K. Irving makes free throw 1 of 2,,3,10
23,1,8:45.0,K. Irving misses free throw 2 of 2,,3,10
24,1,8:44.0,,Defensive rebound by A. Drummond,3,10
25,1,8:30.0,,T. Harris makes 2-pt layup from 1 ft,3,12
26,1,8:16.0,Shooting foul by A. Drummond (drawn by K. Love),,3,12
27,1,8:16.0,K. Love makes free throw 1 of 2,,4,12
28,1,8:16.0,,A. Baynes enters the game for A. Drummond,4,12
29,1,8:16.0,K. Love makes free throw 2 of 2,,5,12
30,1,7:57.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,5,12
31,1,7:57.0,Defensive rebound by K. Love,,5,12
32,1,7:48.0,L. James misses 2-pt layup at rim,,5,12
33,1,7:48.0,Offensive rebound by Team,,5,12
34,1,7:48.0,,Loose ball foul by M. Morris,5,12
35,1,7:31.0,K. Love makes 2-pt layup at rim (assist by L. James),,7,12
36,1,7:18.0,,M. Morris misses 2-pt layup at rim,7,12
37,1,7:16.0,Defensive rebound by K. Love,,7,12
38,1,7:15.0,Personal foul by K. Caldwell-Pope,,7,12
39,1,6:57.0,J. Smith makes 3-pt jump shot from 26 ft (assist by L. James),,10,12
40,1,6:41.0,,T. Harris misses 2-pt jump shot from 18 ft,10,12
41,1,6:41.0,,Offensive rebound by Team,10,12
42,1,6:41.0,Loose ball foul by T. Thompson,,10,12
43,1,6:37.0,,R. Jackson makes 2-pt jump shot from 8 ft,10,14
44,1,6:37.0,,Shooting foul by K. Irving (drawn by R. Jackson),10,14
45,1,6:37.0,,R. Jackson makes free throw 1 of 1,10,15
46,1,6:17.0,K. Love misses 2-pt jump shot from 14 ft,,10,15
47,1,6:15.0,,Defensive rebound by T. Harris,10,15
48,1,6:08.0,,T. Harris makes 2-pt layup at rim (assist by R. Jackson),10,17
49,1,5:44.0,J. Smith makes 3-pt jump shot from 26 ft (assist by K. Love),,13,17
50,1,5:29.0,,T. Harris misses 2-pt jump shot from 10 ft,13,17
51,1,5:27.0,Defensive rebound by T. Thompson,,13,17
52,1,5:21.0,Shooting foul by A. Baynes (drawn by T. Thompson),,13,17
53,1,5:21.0,T. Thompson makes free throw 1 of 2,,14,17
54,1,5:21.0,T. Thompson misses free throw 2 of 2,,14,17
55,1,5:20.0,,Defensive rebound by T. Harris,14,17
56,1,5:01.0,,K. Caldwell-Pope misses 2-pt jump shot from 7 ft,14,17
57,1,5:01.0,,Offensive rebound by K. Caldwell-Pope,14,17
58,1,4:58.0,,K. Caldwell-Pope misses 2-pt layup from 1 ft,14,17
59,1,4:58.0,Defensive rebound by K. Love,,14,17
60,1,4:58.0,L. James makes 2-pt layup from 1 ft,,16,17
61,1,4:58.0,Shooting foul by M. Morris (drawn by L. James),,16,17
62,1,4:58.0,,S. Johnson enters the game for M. Morris,16,17
63,1,4:58.0,L. James makes free throw 1 of 1,,17,17
64,1,4:54.0,,Detroit full timeout,17,17
65,1,4:43.0,,Turnover by R. Jackson (lost ball; steal by K. Love),17,17
66,1,4:30.0,K. Irving misses 2-pt jump shot from 17 ft,,17,17
67,1,4:30.0,,Defensive rebound by A. Baynes,17,17
68,1,4:06.0,,R. Jackson misses 3-pt jump shot from 26 ft,17,17
69,1,4:06.0,Defensive rebound by K. Love,,17,17
70,1,3:48.0,K. Love misses 2-pt hook shot from 5 ft,,17,17
71,1,3:47.0,,Defensive rebound by T. Harris,17,17
72,1,3:42.0,,S. Johnson misses 2-pt layup at rim,17,17
73,1,3:39.0,Defensive rebound by K. Love,,17,17
74,1,3:29.0,K. Love misses 2-pt layup from 2 ft,,17,17
75,1,3:28.0,Offensive rebound by T. Thompson,,17,17
76,1,3:24.0,L. James misses 3-pt jump shot from 24 ft,,17,17
77,1,3:23.0,,Defensive rebound by A. Baynes,17,17
78,1,3:10.0,,A. Baynes misses 2-pt jump shot from 16 ft,17,17
79,1,3:10.0,Defensive rebound by K. Irving,,17,17
80,1,3:00.0,K. Love misses 3-pt jump shot from 27 ft,,17,17
81,1,3:00.0,,Defensive rebound by K. Caldwell-Pope,17,17
82,1,2:50.0,,T. Harris makes 2-pt layup from 1 ft (assist by R. Jackson),17,19
83,1,2:50.0,,Shooting foul by K. Love (drawn by T. Harris),17,19
84,1,2:50.0,,S. Blake enters the game for R. Jackson,17,19
85,1,2:50.0,R. Jefferson enters the game for L. James,,17,19
86,1,2:50.0,,T. Harris makes free throw 1 of 1,17,20
87,1,2:33.0,T. Thompson makes 2-pt jump shot from 7 ft (assist by K. Irving),,19,20
88,1,2:20.0,,A. Baynes misses 2-pt layup at rim (block by T. Thompson),19,20
89,1,2:19.0,Defensive rebound by T. Thompson,,19,20
90,1,2:09.0,K. Irving makes 2-pt jump shot from 16 ft,,21,20
91,1,1:52.0,,S. Blake makes 3-pt jump shot from 24 ft (assist by A. Baynes),21,23
92,1,1:32.0,K. Irving makes 2-pt jump shot from 10 ft,,23,23
93,1,1:12.0,,T. Harris makes 3-pt jump shot from 23 ft (assist by K. Caldwell-Pope),23,26
94,1,0:46.0,K. Irving misses 3-pt jump shot from 23 ft,,23,26
95,1,0:46.0,Offensive rebound by Team,,23,26
96,1,0:46.0,Turnover by Team (shot clock),,23,26
97,1,0:46.0,I. Shumpert enters the game for J. Smith,,23,26
98,1,0:30.0,,T. Harris misses 2-pt jump shot from 8 ft,23,26
99,1,0:30.0,Defensive rebound by K. Love,,23,26
100,1,0:29.0,Personal foul by A. Baynes,,23,26
101,1,0:29.0,K. Love makes free throw 1 of 2,,24,26
102,1,0:29.0,C. Frye enters the game for T. Thompson,,24,26
103,1,0:29.0,M. Dellavedova enters the game for K. Irving,,24,26
104,1,0:29.0,,A. Tolliver enters the game for A. Baynes,24,26
105,1,0:29.0,K. Love makes free throw 2 of 2,,25,26
106,1,0:09.0,,S. Johnson makes 2-pt jump shot from 18 ft,25,28
107,1,0:03.0,M. Dellavedova misses 2-pt jump shot from 7 ft,,25,28
108,1,0:02.0,Offensive rebound by K. Love,,25,28
109,1,0:02.0,K. Love misses 2-pt layup from 2 ft,,25,28
110,1,0:02.0,,Defensive rebound by T. Harris,25,28
111,2,11:42.0,,S. Johnson misses 3-pt jump shot from 24 ft,25,28
112,2,11:42.0,Defensive rebound by R. Jefferson,,25,28
113,2,11:34.0,C. Frye misses 2-pt jump shot from 5 ft,,25,28
114,2,11:33.0,,Defensive rebound by M. Morris,25,28
115,2,11:20.0,,Turnover by A. Drummond (bad pass; steal by C. Frye),25,28
116,2,11:15.0,L. James makes 2-pt dunk at rim (assist by I. Shumpert),,27,28
117,2,10:53.0,,S. Johnson misses 2-pt jump shot from 8 ft,27,28
118,2,10:52.0,Defensive rebound by R. Jefferson,,27,28
119,2,10:40.0,R. Jefferson misses 3-pt jump shot from 25 ft,,27,28
120,2,10:40.0,,Defensive rebound by A. Drummond,27,28
121,2,10:31.0,,Shooting foul by R. Jefferson (drawn by M. Morris),27,28
122,2,10:31.0,,M. Morris makes free throw 1 of 2,27,29
123,2,10:31.0,,M. Morris misses free throw 2 of 2,27,29
124,2,10:30.0,Defensive rebound by C. Frye,,27,29
125,2,10:15.0,R. Jefferson makes 2-pt jump shot from 7 ft (assist by M. Dellavedova),,29,29
126,2,10:00.0,,M. Morris makes 2-pt jump shot from 13 ft (assist by S. Blake),29,31
127,2,9:36.0,R. Jefferson misses 2-pt jump shot from 3 ft (block by A. Tolliver),,29,31
128,2,9:35.0,,Defensive rebound by S. Blake,29,31
129,2,9:15.0,,A. Drummond misses 2-pt jump shot from 6 ft,29,31
130,2,9:13.0,Defensive rebound by I. Shumpert,,29,31
131,2,8:51.0,R. Jefferson makes 3-pt jump shot from 24 ft (assist by L. James),,32,31
132,2,8:43.0,,Personal foul by R. Jefferson,32,31
133,2,8:43.0,,Detroit full timeout,32,31
134,2,8:43.0,,R. Jackson enters the game for S. Blake,32,31
135,2,8:34.0,,Turnover by R. Jackson (lost ball; steal by L. James),32,31
136,2,8:31.0,Shooting foul by R. Jackson (drawn by L. James),,32,31
137,2,8:31.0,L. James makes free throw 1 of 2,,33,31
138,2,8:31.0,J. Smith enters the game for R. Jefferson,,33,31
139,2,8:31.0,L. James makes free throw 2 of 2,,34,31
140,2,8:15.0,,S. Johnson misses 2-pt jump shot from 6 ft,34,31
141,2,8:15.0,Defensive rebound by L. James,,34,31
142,2,7:59.0,M. Dellavedova misses 3-pt jump shot from 26 ft,,34,31
143,2,7:58.0,,Defensive rebound by A. Drummond,34,31
144,2,7:50.0,K. Irving enters the game for M. Dellavedova,,34,31
