,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,LA CLIPPERS_ACTION,MILWAUKEE_SCORE,LA CLIPPERS_SCORE
0,1,11:42.0,,J. Redick misses 2-pt jump shot from 19 ft,0,0
1,1,11:42.0,Defensive rebound by K. Middleton,,0,0
2,1,11:19.0,O. Mayo misses 3-pt jump shot from 25 ft,,0,0
3,1,11:19.0,,Defensive rebound by D. Jordan,0,0
4,1,11:01.0,,Turnover by L. Mbah a Moute (lost ball),0,0
5,1,10:39.0,M. Plumlee makes 2-pt hook shot from 2 ft (assist by K. Middleton),,2,0
6,1,10:23.0,,L. Mbah a Moute misses 2-pt jump shot from 21 ft,2,0
7,1,10:23.0,Defensive rebound by M. Carter-Williams,,2,0
8,1,10:13.0,J. Parker makes 2-pt layup from 1 ft (assist by M. Carter-Williams),,4,0
9,1,9:55.0,,Personal foul by O. Mayo (drawn by J. Redick),4,0
10,1,9:54.0,,Shooting foul by J. Parker (drawn by B. Griffin),4,0
11,1,9:54.0,,B. Griffin misses free throw 1 of 2,4,0
12,1,9:54.0,,Offensive rebound by Team,4,0
13,1,9:54.0,,B. Griffin makes free throw 2 of 2,4,1
14,1,9:44.0,O. Mayo misses 2-pt jump shot from 6 ft,,4,1
15,1,9:43.0,Offensive rebound by O. Mayo,,4,1
16,1,9:29.0,J. Parker misses 2-pt jump shot from 19 ft,,4,1
17,1,9:28.0,Offensive rebound by M. Plumlee,,4,1
18,1,9:24.0,M. Plumlee misses 2-pt layup from 1 ft,,4,1
19,1,9:22.0,Offensive rebound by M. Plumlee,,4,1
20,1,9:19.0,K. Middleton makes 3-pt jump shot from 27 ft (assist by M. Carter-Williams),,7,1
21,1,9:00.0,,J. Redick makes 2-pt jump shot from 3 ft,7,3
22,1,9:00.0,,Shooting foul by O. Mayo (drawn by J. Redick),7,3
23,1,9:00.0,G. Antetokounmpo enters the game for O. Mayo,,7,3
24,1,9:00.0,,J. Redick makes free throw 1 of 1,7,4
25,1,8:46.0,K. Middleton makes 2-pt jump shot from 11 ft (assist by J. Parker),,9,4
26,1,8:28.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by C. Paul),9,7
