,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,SACRAMENTO_ACTION,CHARLOTTE_SCORE,SACRAMENTO_SCORE
0,1,11:36.0,,D. Cousins misses 2-pt jump shot from 7 ft,0,0
1,1,11:35.0,Defensive rebound by S. Hawes,,0,0
2,1,11:23.0,Personal foul by R. Rondo (drawn by J. Lin),,0,0
3,1,11:15.0,K. Walker makes 2-pt layup from 2 ft,,2,0
4,1,10:58.0,,R. Gay misses 2-pt jump shot from 22 ft,2,0
5,1,10:56.0,Defensive rebound by J. Lin,,2,0
6,1,10:44.0,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Walker),,5,0
7,1,10:36.0,,R. Gay makes 2-pt dunk at rim (assist by D. Cousins),5,2
8,1,10:11.0,S. Hawes makes 2-pt jump shot from 12 ft (assist by M. Williams),,7,2
9,1,10:06.0,,Turnover by W. Cauley-Stein (lost ball; steal by P. Hairston),7,2
10,1,9:57.0,M. Williams misses 3-pt jump shot from 23 ft,,7,2
11,1,9:57.0,,Defensive rebound by R. Gay,7,2
12,1,9:51.0,,Turnover by R. Rondo (bad pass; steal by K. Walker),7,2
13,1,9:44.0,J. Lin misses 2-pt jump shot from 22 ft,,7,2
14,1,9:44.0,,Defensive rebound by D. Cousins,7,2
15,1,9:28.0,,R. Rondo makes 3-pt jump shot from 23 ft (assist by D. Cousins),7,5
16,1,9:13.0,K. Walker misses 2-pt jump shot from 15 ft,,7,5
17,1,9:12.0,,Defensive rebound by R. Rondo,7,5
18,1,9:07.0,,R. Rondo makes 2-pt layup from 1 ft,7,7
19,1,8:50.0,M. Williams misses 2-pt jump shot from 22 ft,,7,7
20,1,8:50.0,,Defensive rebound by Team,7,7
21,1,8:38.0,,D. Cousins makes 2-pt dunk at rim (assist by R. Rondo),7,9
22,1,8:04.0,J. Lin misses 2-pt jump shot from 22 ft,,7,9
23,1,8:03.0,,Defensive rebound by R. Rondo,7,9
24,1,7:59.0,,Turnover by R. Rondo (lost ball; steal by S. Hawes),7,9
25,1,7:54.0,J. Lin makes 2-pt layup from 2 ft,,9,9
26,1,7:40.0,,R. Gay misses 2-pt layup from 2 ft,9,9
27,1,7:39.0,Defensive rebound by S. Hawes,,9,9
28,1,7:31.0,Personal foul by D. Cousins (drawn by J. Lin),,9,9
29,1,7:20.0,K. Walker misses 3-pt jump shot from 23 ft,,9,9
30,1,7:20.0,,Defensive rebound by D. Cousins,9,9
31,1,7:11.0,,Personal foul by P. Hairston (drawn by D. Cousins),9,9
32,1,6:57.0,,R. Gay makes 2-pt jump shot from 18 ft,9,11
33,1,6:45.0,K. Walker misses 2-pt jump shot from 19 ft,,9,11
34,1,6:44.0,,Defensive rebound by W. Cauley-Stein,9,11
35,1,6:34.0,,Turnover by D. Cousins (bad pass),9,11
36,1,6:22.0,P. Hairston misses 2-pt jump shot from 7 ft,,9,11
37,1,6:21.0,,Defensive rebound by D. Cousins,9,11
38,1,6:19.0,,Turnover by D. Cousins (bad pass; steal by K. Walker),9,11
39,1,6:15.0,K. Walker misses 3-pt jump shot from 25 ft,,9,11
40,1,6:14.0,,Defensive rebound by R. Gay,9,11
41,1,6:00.0,,W. Cauley-Stein makes 2-pt dunk at rim (assist by R. Rondo),9,13
42,1,5:41.0,J. Lin misses 2-pt jump shot from 19 ft,,9,13
43,1,5:40.0,,Defensive rebound by R. Gay,9,13
44,1,5:29.0,,W. Cauley-Stein misses 2-pt layup from 2 ft,9,13
45,1,5:28.0,,Offensive rebound by W. Cauley-Stein,9,13
46,1,5:28.0,,W. Cauley-Stein misses 2-pt layup from 2 ft,9,13
47,1,5:27.0,Defensive rebound by M. Williams,,9,13
48,1,5:12.0,M. Williams misses 2-pt jump shot from 8 ft,,9,13
