,QUARTER,TIME_REMAINING,INDIANA_ACTION,CHARLOTTE_ACTION,INDIANA_SCORE,CHARLOTTE_SCORE
0,1,11:44.0,,N. Batum misses 2-pt jump shot from 20 ft,0,0
1,1,11:43.0,Defensive rebound by I. Mahinmi,,0,0
2,1,11:28.0,P. George makes 2-pt jump shot from 14 ft (assist by G. Hill),,2,0
3,1,11:14.0,,Turnover by C. Lee (bad pass; steal by M. Ellis),2,0
4,1,11:06.0,S. Hill misses 3-pt jump shot from 23 ft,,2,0
5,1,11:04.0,Offensive rebound by I. Mahinmi,,2,0
6,1,11:04.0,I. Mahinmi makes 2-pt layup from 1 ft,,4,0
7,1,10:48.0,,N. Batum makes 2-pt layup at rim,4,2
8,1,10:31.0,P. George misses 2-pt layup from 2 ft,,4,2
9,1,10:29.0,,Defensive rebound by C. Lee,4,2
10,1,10:19.0,,C. Lee makes 3-pt jump shot from 23 ft (assist by C. Zeller),4,5
11,1,9:57.0,I. Mahinmi misses 2-pt layup from 1 ft,,4,5
12,1,9:56.0,,Defensive rebound by C. Zeller,4,5
13,1,9:50.0,,K. Walker makes 3-pt jump shot from 25 ft,4,8
14,1,9:35.0,P. George misses 2-pt jump shot from 19 ft,,4,8
15,1,9:34.0,,Defensive rebound by C. Zeller,4,8
16,1,9:25.0,,K. Walker misses 2-pt layup from 1 ft,4,8
17,1,9:24.0,Defensive rebound by P. George,,4,8
18,1,9:16.0,I. Mahinmi misses 2-pt jump shot from 19 ft,,4,8
19,1,9:12.0,Offensive rebound by S. Hill,,4,8
20,1,9:12.0,S. Hill makes 2-pt layup from 1 ft,,6,8
21,1,8:58.0,,N. Batum misses 3-pt jump shot from 25 ft,6,8
22,1,8:56.0,Defensive rebound by M. Ellis,,6,8
23,1,8:45.0,P. George makes 2-pt jump shot from 20 ft,,8,8
24,1,8:31.0,,Turnover by K. Walker (bad pass; steal by G. Hill),8,8
25,1,8:19.0,G. Hill misses 2-pt jump shot from 17 ft,,8,8
26,1,8:18.0,,Defensive rebound by N. Batum,8,8
27,1,8:07.0,,N. Batum makes 2-pt layup from 1 ft,8,10
28,1,7:46.0,G. Hill misses 2-pt jump shot from 21 ft,,8,10
29,1,7:46.0,,Defensive rebound by Team,8,10
30,1,7:34.0,,N. Batum makes 3-pt jump shot from 23 ft (assist by K. Walker),8,13
31,1,7:34.0,Indiana full timeout,,8,13
32,1,7:25.0,S. Hill makes 3-pt jump shot from 24 ft (assist by M. Ellis),,11,13
33,1,7:07.0,,M. Williams makes 2-pt dunk at rim (assist by N. Batum),11,15
34,1,6:52.0,G. Hill makes 2-pt jump shot from 11 ft,,13,15
35,1,6:30.0,,N. Batum misses 3-pt jump shot from 23 ft,13,15
36,1,6:29.0,Defensive rebound by P. George,,13,15
37,1,6:22.0,P. George makes 3-pt jump shot from 25 ft,,16,15
38,1,6:06.0,,Shooting foul by M. Ellis (drawn by C. Lee),16,15
39,1,6:06.0,,C. Lee misses free throw 1 of 2,16,15
40,1,6:06.0,,Offensive rebound by Team,16,15
41,1,6:06.0,,C. Lee makes free throw 2 of 2,16,16
