,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,LA LAKERS_ACTION,MEMPHIS_SCORE,LA LAKERS_SCORE
0,1,11:39.0,,R. Hibbert misses 2-pt hook shot from 4 ft,0,0
1,1,11:36.0,Defensive rebound by B. Wright,,0,0
2,1,11:22.0,M. Barnes misses 3-pt jump shot from 23 ft,,0,0
3,1,11:21.0,,Defensive rebound by D. Russell,0,0
4,1,11:03.0,,J. Clarkson makes 2-pt jump shot from 5 ft (assist by D. Russell),0,2
5,1,10:36.0,Z. Randolph makes 2-pt jump shot from 18 ft,,2,2
6,1,10:24.0,,Turnover by J. Randle (bad pass; steal by M. Conley),2,2
7,1,10:21.0,M. Conley makes 2-pt layup from 2 ft,,4,2
8,1,10:02.0,,Turnover by D. Russell (bad pass; steal by M. Barnes),4,2
9,1,9:57.0,B. Wright makes 2-pt dunk at rim (assist by M. Barnes),,6,2
10,1,9:43.0,,J. Clarkson misses 3-pt jump shot from 26 ft,6,2
11,1,9:41.0,Defensive rebound by Z. Randolph,,6,2
12,1,9:31.0,P. Hairston misses 3-pt jump shot from 24 ft,,6,2
13,1,9:30.0,,Defensive rebound by Team,6,2
14,1,9:06.0,,R. Hibbert makes 2-pt layup from 3 ft,6,4
15,1,8:44.0,Z. Randolph misses 2-pt hook shot from 2 ft,,6,4
16,1,8:43.0,,Defensive rebound by J. Randle,6,4
17,1,8:37.0,,J. Randle misses 2-pt layup from 1 ft,6,4
18,1,8:33.0,Defensive rebound by Z. Randolph,,6,4
19,1,8:29.0,M. Conley makes 2-pt layup from 1 ft,,8,4
20,1,8:15.0,,Shooting foul by M. Conley (drawn by D. Russell),8,4
21,1,8:15.0,,D. Russell makes free throw 1 of 2,8,5
22,1,8:15.0,,D. Russell makes free throw 2 of 2,8,6
23,1,8:01.0,M. Conley misses 3-pt jump shot from 25 ft,,8,6
24,1,8:00.0,,Defensive rebound by J. Randle,8,6
25,1,7:57.0,,Turnover by J. Randle (bad pass; steal by P. Hairston),8,6
26,1,7:53.0,P. Hairston makes 2-pt layup from 1 ft,,10,6
27,1,7:31.0,,D. Russell makes 2-pt layup from 3 ft (assist by A. Brown),10,8
28,1,7:16.0,Z. Randolph misses 2-pt jump shot from 16 ft,,10,8
29,1,7:15.0,,Defensive rebound by D. Russell,10,8
30,1,7:10.0,,J. Clarkson misses 3-pt jump shot from 25 ft,10,8
31,1,7:07.0,Defensive rebound by M. Barnes,,10,8
32,1,6:51.0,Shooting foul by D. Russell (drawn by M. Conley),,10,8
33,1,6:51.0,M. Conley makes free throw 1 of 2,,11,8
34,1,6:51.0,M. Conley makes free throw 2 of 2,,12,8
35,1,6:37.0,,D. Russell makes 2-pt jump shot from 6 ft,12,10
36,1,6:31.0,P. Hairston makes 2-pt dunk at rim (assist by M. Conley),,14,10
37,1,6:09.0,,R. Hibbert makes 2-pt hook shot from 3 ft (assist by J. Clarkson),14,12
38,1,6:09.0,,Shooting foul by B. Wright (drawn by R. Hibbert),14,12
39,1,6:09.0,M. Chalmers enters the game for M. Conley,,14,12
40,1,6:09.0,,L. Williams enters the game for D. Russell,14,12
41,1,6:09.0,,R. Hibbert misses free throw 1 of 1,14,12
42,1,6:08.0,Defensive rebound by Z. Randolph,,14,12
43,1,5:57.0,M. Chalmers misses 3-pt jump shot from 23 ft,,14,12
44,1,5:56.0,Offensive rebound by Team,,14,12
45,1,5:56.0,,LA Lakers full timeout,14,12
46,1,5:44.0,Turnover by M. Chalmers (bad pass; steal by A. Brown),,14,12
47,1,5:38.0,,J. Randle makes 2-pt hook shot from 2 ft (assist by L. Williams),14,14
48,1,5:16.0,B. Wright makes 2-pt layup from 2 ft,,16,14
