,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DETROIT_ACTION,OKLAHOMA CITY_SCORE,DETROIT_SCORE
0,1,11:32.0,,A. Drummond makes 2-pt hook shot from 6 ft (assist by R. Jackson),0,2
1,1,11:15.0,R. Westbrook misses 2-pt jump shot from 4 ft,,0,2
2,1,11:15.0,,Defensive rebound by K. Caldwell-Pope,0,2
3,1,11:08.0,,Turnover by R. Jackson (bad pass),0,2
4,1,10:57.0,D. Waiters misses 3-pt jump shot from 26 ft,,0,2
5,1,10:56.0,,Defensive rebound by A. Drummond,0,2
6,1,10:38.0,,A. Drummond misses 2-pt hook shot from 6 ft,0,2
7,1,10:36.0,Defensive rebound by R. Westbrook,,0,2
8,1,10:33.0,A. Roberson misses 2-pt layup at rim,,0,2
9,1,10:32.0,,Defensive rebound by M. Morris,0,2
10,1,10:25.0,,Turnover by A. Drummond (lost ball; steal by K. Singler),0,2
11,1,10:21.0,Shooting foul by M. Morris (drawn by K. Singler),,0,2
12,1,10:21.0,K. Singler makes free throw 1 of 2,,1,2
13,1,10:21.0,K. Singler makes free throw 2 of 2,,2,2
14,1,9:57.0,,T. Harris makes 2-pt jump shot from 9 ft (assist by R. Jackson),2,4
15,1,9:47.0,A. Roberson misses 2-pt jump shot from 5 ft,,2,4
16,1,9:47.0,,Defensive rebound by M. Morris,2,4
17,1,9:44.0,,Turnover by R. Jackson (bad pass; steal by A. Roberson),2,4
18,1,9:24.0,R. Westbrook misses 2-pt jump shot from 8 ft (block by M. Morris),,2,4
19,1,9:22.0,Offensive rebound by R. Westbrook,,2,4
20,1,9:19.0,R. Westbrook misses 2-pt jump shot from 10 ft,,2,4
21,1,9:19.0,Offensive rebound by S. Adams,,2,4
22,1,9:11.0,Turnover by S. Adams (lost ball; steal by R. Jackson),,2,4
23,1,9:08.0,,R. Jackson misses 2-pt jump shot from 5 ft (block by A. Roberson),2,4
24,1,9:08.0,,Offensive rebound by Team,2,4
25,1,8:55.0,,M. Morris makes 2-pt jump shot from 12 ft (assist by K. Caldwell-Pope),2,6
26,1,8:34.0,K. Singler makes 2-pt layup at rim,,4,6
27,1,8:12.0,,T. Harris misses 2-pt jump shot from 4 ft,4,6
28,1,8:12.0,Defensive rebound by K. Singler,,4,6
29,1,8:06.0,R. Westbrook misses 2-pt jump shot from 3 ft (block by A. Drummond),,4,6
30,1,8:05.0,Offensive rebound by Team,,4,6
31,1,7:53.0,R. Westbrook misses 2-pt jump shot from 5 ft,,4,6
32,1,7:52.0,,Defensive rebound by K. Caldwell-Pope,4,6
33,1,7:39.0,,Turnover by A. Drummond (bad pass; steal by D. Waiters),4,6
34,1,7:30.0,Turnover by D. Waiters (bad pass),,4,6
35,1,7:17.0,,M. Morris makes 2-pt layup at rim (assist by K. Caldwell-Pope),4,8
36,1,7:17.0,,Shooting foul by D. Waiters (drawn by M. Morris),4,8
37,1,7:17.0,,M. Morris makes free throw 1 of 1,4,9
38,1,7:06.0,Turnover by S. Adams (lost ball; steal by A. Drummond),,4,9
39,1,6:57.0,,R. Jackson misses 3-pt jump shot from 26 ft,4,9
40,1,6:57.0,Defensive rebound by A. Roberson,,4,9
41,1,6:48.0,R. Westbrook misses 3-pt jump shot from 26 ft,,4,9
42,1,6:48.0,Offensive rebound by Team,,4,9
43,1,6:48.0,,Loose ball foul by A. Drummond,4,9
44,1,6:48.0,Oklahoma City full timeout,,4,9
45,1,6:36.0,R. Westbrook makes 2-pt jump shot from 11 ft,,6,9
46,1,6:17.0,,T. Harris makes 2-pt layup at rim (assist by K. Caldwell-Pope),6,11
47,1,6:06.0,S. Adams makes 2-pt jump shot from 8 ft (assist by D. Waiters),,8,11
48,1,5:55.0,,R. Jackson misses 2-pt layup at rim,8,11
49,1,5:55.0,Defensive rebound by K. Singler,,8,11
50,1,5:48.0,R. Westbrook misses 2-pt layup at rim,,8,11
51,1,5:48.0,,Defensive rebound by M. Morris,8,11
52,1,5:42.0,,K. Caldwell-Pope misses 2-pt jump shot from 5 ft,8,11
53,1,5:41.0,Defensive rebound by D. Waiters,,8,11
54,1,5:33.0,K. Singler makes 2-pt jump shot from 13 ft (assist by A. Roberson),,10,11
55,1,5:15.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by M. Morris),10,14
56,1,4:57.0,D. Waiters misses 2-pt jump shot from 20 ft,,10,14
57,1,4:56.0,,Defensive rebound by A. Drummond,10,14
58,1,4:45.0,,R. Jackson makes 3-pt jump shot from 25 ft (assist by T. Harris),10,17
59,1,4:18.0,S. Adams makes 2-pt jump shot from 4 ft (assist by R. Westbrook),,12,17
