,QUARTER,TIME_REMAINING,MIAMI_ACTION,SACRAMENTO_ACTION,MIAMI_SCORE,SACRAMENTO_SCORE
0,1,11:44.0,,Q. Acy misses 2-pt jump shot from 14 ft,0,0
1,1,11:44.0,Defensive rebound by G. Dragić,,0,0
2,1,11:27.0,A. Stoudemire makes 2-pt dunk at rim (assist by L. Deng),,2,0
3,1,11:06.0,,R. Gay misses 2-pt jump shot from 16 ft,2,0
4,1,11:05.0,,Offensive rebound by Q. Acy,2,0
5,1,10:59.0,,S. Curry misses 3-pt jump shot from 25 ft,2,0
6,1,10:58.0,,Offensive rebound by R. Gay,2,0
7,1,10:58.0,,R. Gay makes 2-pt dunk at rim,2,2
8,1,10:40.0,G. Green makes 3-pt jump shot from 24 ft (assist by G. Dragić),,5,2
9,1,10:24.0,,Shooting foul by J. Johnson (drawn by R. Gay),5,2
10,1,10:24.0,,R. Gay makes free throw 1 of 2,5,3
11,1,10:24.0,,R. Gay makes free throw 2 of 2,5,4
12,1,10:10.0,L. Deng makes 3-pt jump shot from 25 ft (assist by G. Dragić),,8,4
13,1,9:48.0,,Turnover by R. Rondo (bad pass; steal by G. Green),8,4
14,1,9:46.0,Turnover by L. Deng (traveling),,8,4
15,1,9:35.0,,W. Cauley-Stein misses 2-pt jump shot from 7 ft,8,4
16,1,9:33.0,,Offensive rebound by Q. Acy,8,4
17,1,9:30.0,,Q. Acy makes 2-pt layup from 1 ft,8,6
18,1,9:09.0,Turnover by G. Dragić (lost ball; steal by R. Rondo),,8,6
19,1,9:02.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by R. Rondo),8,9
20,1,8:43.0,G. Green makes 3-pt jump shot from 24 ft (assist by L. Deng),,11,9
21,1,8:29.0,,R. Rondo makes 2-pt layup from 3 ft,11,11
22,1,8:16.0,A. Stoudemire makes 2-pt hook shot from 4 ft (assist by J. Johnson),,13,11
23,1,8:02.0,,Shooting foul by G. Dragić (drawn by S. Curry),13,11
24,1,8:02.0,,S. Curry makes free throw 1 of 2,13,12
25,1,8:02.0,,S. Curry makes free throw 2 of 2,13,13
26,1,7:49.0,A. Stoudemire misses 2-pt jump shot from 5 ft,,13,13
27,1,7:48.0,,Defensive rebound by S. Curry,13,13
28,1,7:40.0,,S. Curry makes 2-pt jump shot from 5 ft (assist by W. Cauley-Stein),13,15
29,1,7:39.0,Miami full timeout,,13,15
30,1,7:28.0,G. Dragić misses 2-pt jump shot from 7 ft,,13,15
31,1,7:28.0,,Defensive rebound by R. Gay,13,15
32,1,7:13.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by R. Rondo),13,18
33,1,6:54.0,G. Green makes 3-pt jump shot from 25 ft (assist by G. Dragić),,16,18
34,1,6:41.0,,Shooting foul by G. Green (drawn by R. Rondo),16,18
35,1,6:41.0,,R. Rondo makes free throw 1 of 2,16,19
36,1,6:41.0,,R. Rondo makes free throw 2 of 2,16,20
37,1,6:35.0,,Violation by S. Curry (kicked ball),16,20
38,1,6:23.0,L. Deng makes 2-pt layup from 3 ft (assist by G. Dragić),,18,20
39,1,6:10.0,,Q. Acy misses 2-pt jump shot from 6 ft,18,20
40,1,6:10.0,Defensive rebound by A. Stoudemire,,18,20
41,1,6:00.0,G. Green makes 2-pt jump shot from 20 ft (assist by J. Johnson),,20,20
42,1,5:50.0,,Q. Acy misses 3-pt jump shot from 25 ft,20,20
43,1,5:49.0,Defensive rebound by A. Stoudemire,,20,20
44,1,5:38.0,G. Green makes 2-pt jump shot from 15 ft (assist by L. Deng),,22,20
45,1,5:21.0,,R. Gay misses 3-pt jump shot from 25 ft,22,20
46,1,5:20.0,Defensive rebound by G. Green,,22,20
47,1,5:08.0,G. Dragić misses 3-pt jump shot from 24 ft,,22,20
48,1,5:07.0,Offensive rebound by J. Johnson,,22,20
49,1,4:52.0,A. Stoudemire makes 2-pt hook shot from 4 ft,,24,20
50,1,4:31.0,,S. Curry misses 2-pt jump shot from 16 ft,24,20
51,1,4:31.0,Defensive rebound by Team,,24,20
52,1,4:31.0,,O. Casspi enters the game for Q. Acy,24,20
53,1,4:31.0,J. Richardson enters the game for L. Deng,,24,20
54,1,4:31.0,J. Winslow enters the game for G. Dragić,,24,20
55,1,4:13.0,Turnover by A. Stoudemire (step out of bounds),,24,20
56,1,4:13.0,,D. Collison enters the game for W. Cauley-Stein,24,20
57,1,4:13.0,,K. Koufos enters the game for S. Curry,24,20
58,1,4:13.0,H. Whiteside enters the game for A. Stoudemire,,24,20
59,1,4:04.0,,R. Gay makes 2-pt jump shot from 15 ft (assist by R. Rondo),24,22
60,1,3:38.0,H. Whiteside makes 2-pt jump shot from 14 ft,,26,22
61,1,3:19.0,,R. Gay misses 2-pt jump shot from 10 ft,26,22
62,1,3:16.0,Defensive rebound by J. Richardson,,26,22
63,1,3:10.0,G. Green makes 2-pt layup from 2 ft (assist by J. Richardson),,28,22
64,1,3:06.0,,Sacramento full timeout,28,22
65,1,3:06.0,L. Deng enters the game for G. Green,,28,22
66,1,2:54.0,,R. Rondo misses 3-pt jump shot from 25 ft,28,22
67,1,2:53.0,Defensive rebound by J. Winslow,,28,22
68,1,2:44.0,Personal foul by R. Rondo,,28,22
69,1,2:37.0,J. Johnson misses 2-pt layup from 3 ft,,28,22
70,1,2:35.0,,Defensive rebound by R. Gay,28,22
71,1,2:23.0,,Turnover by R. Rondo (lost ball; steal by J. Johnson),28,22
72,1,2:14.0,J. Winslow makes 2-pt layup from 2 ft (assist by H. Whiteside),,30,22
73,1,1:52.0,,K. Koufos misses 2-pt dunk at rim (block by J. Winslow),30,22
74,1,1:51.0,Defensive rebound by J. Richardson,,30,22
75,1,1:40.0,J. Richardson misses 3-pt jump shot from 24 ft,,30,22
76,1,1:39.0,,Defensive rebound by R. Rondo,30,22
77,1,1:18.0,,R. Gay misses 2-pt layup from 3 ft,30,22
78,1,1:17.0,Defensive rebound by J. Johnson,,30,22
79,1,1:09.0,J. Johnson makes 2-pt jump shot from 5 ft,,32,22
80,1,0:57.0,,Turnover by K. Koufos (traveling),32,22
81,1,0:57.0,,B. McLemore enters the game for R. Rondo,32,22
82,1,0:57.0,G. Dragić enters the game for J. Johnson,,32,22
83,1,0:45.0,L. Deng makes 2-pt jump shot from 8 ft,,34,22
84,1,0:36.0,,D. Collison makes 2-pt jump shot from 19 ft,34,24
85,1,0:23.0,G. Dragić makes 2-pt jump shot from 13 ft,,36,24
86,1,0:04.0,,R. Gay misses 2-pt layup from 5 ft (block by H. Whiteside),36,24
87,1,0:02.0,Defensive rebound by J. Winslow,,36,24
88,1,0:00.0,J. Winslow makes 3-pt jump shot from 27 ft,,39,24
89,2,11:48.0,L. Deng misses 2-pt jump shot from 11 ft,,39,24
90,2,11:46.0,Offensive rebound by L. Deng,,39,24
91,2,11:36.0,J. Richardson makes 3-pt jump shot from 24 ft (assist by H. Whiteside),,42,24
92,2,11:18.0,,O. Casspi makes 2-pt layup from 2 ft,42,26
93,2,11:01.0,J. Richardson makes 2-pt jump shot from 20 ft,,44,26
94,2,10:51.0,,D. Collison makes 2-pt jump shot from 18 ft,44,28
95,2,10:36.0,L. Deng makes 2-pt jump shot from 19 ft (assist by G. Dragić),,46,28
96,2,10:26.0,,W. Cauley-Stein misses 2-pt hook shot from 6 ft,46,28
97,2,10:24.0,,Offensive rebound by K. Koufos,46,28
98,2,10:23.0,,K. Koufos makes 2-pt layup from 2 ft,46,30
99,2,10:10.0,H. Whiteside makes 2-pt dunk at rim (assist by L. Deng),,48,30
100,2,9:59.0,,Shooting block foul by J. Winslow (drawn by O. Casspi),48,30
101,2,9:59.0,,O. Casspi misses free throw 1 of 2,48,30
102,2,9:59.0,,Offensive rebound by Team,48,30
103,2,9:59.0,,O. Casspi misses free throw 2 of 2,48,30
104,2,9:58.0,Defensive rebound by H. Whiteside,,48,30
105,2,9:47.0,G. Dragić makes 2-pt jump shot from 15 ft,,50,30
106,2,9:32.0,,K. Koufos misses 2-pt jump shot from 13 ft,50,30
107,2,9:31.0,,Offensive rebound by O. Casspi,50,30
108,2,9:31.0,,O. Casspi misses 2-pt layup from 1 ft,50,30
