,QUARTER,TIME_REMAINING,PHOENIX_ACTION,MINNESOTA_ACTION,PHOENIX_SCORE,MINNESOTA_SCORE
0,1,11:39.0,M. Morris makes 2-pt jump shot from 14 ft (assist by P. Tucker),,2,0
1,1,11:25.0,,A. Wiggins misses 2-pt jump shot from 20 ft,2,0
2,1,11:24.0,Defensive rebound by T. Chandler,,2,0
3,1,11:12.0,Personal foul by K. Garnett (drawn by M. Morris),,2,0
4,1,11:03.0,M. Morris misses 2-pt layup from 1 ft (block by K. Towns),,2,0
5,1,11:02.0,,Defensive rebound by K. Garnett,2,0
6,1,10:43.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by R. Rubio),2,2
7,1,10:24.0,M. Morris makes 2-pt jump shot from 11 ft,,4,2
8,1,10:07.0,,R. Rubio misses 2-pt jump shot from 20 ft,4,2
9,1,10:05.0,Defensive rebound by P. Tucker,,4,2
10,1,9:54.0,T. Chandler misses 2-pt layup from 1 ft (block by T. Prince),,4,2
11,1,9:53.0,Offensive rebound by T. Chandler,,4,2
12,1,9:52.0,Shooting foul by R. Rubio (drawn by T. Chandler),,4,2
13,1,9:52.0,T. Chandler makes free throw 1 of 2,,5,2
14,1,9:52.0,T. Chandler makes free throw 2 of 2,,6,2
15,1,9:40.0,,Personal foul by D. Booker (drawn by T. Prince),6,2
16,1,9:32.0,,K. Towns makes 2-pt jump shot from 20 ft (assist by R. Rubio),6,4
17,1,9:26.0,,Violation by R. Rubio (kicked ball),6,4
18,1,9:16.0,T. Chandler makes 2-pt dunk at rim (assist by P. Tucker),,8,4
19,1,8:53.0,,R. Rubio misses 3-pt jump shot from 23 ft,8,4
20,1,8:52.0,Defensive rebound by P. Tucker,,8,4
21,1,8:28.0,P. Tucker misses 3-pt jump shot from 24 ft,,8,4
22,1,8:27.0,,Defensive rebound by T. Prince,8,4
23,1,8:23.0,,R. Rubio makes 2-pt jump shot from 7 ft,8,6
24,1,8:23.0,,Shooting foul by B. Knight (drawn by R. Rubio),8,6
25,1,8:23.0,,R. Rubio makes free throw 1 of 1,8,7
26,1,8:12.0,P. Tucker misses 2-pt layup from 1 ft (block by T. Prince),,8,7
27,1,8:10.0,,Defensive rebound by K. Towns,8,7
28,1,8:10.0,,Personal foul by M. Morris (drawn by R. Rubio),8,7
29,1,8:01.0,,A. Wiggins makes 2-pt jump shot from 19 ft,8,9
30,1,7:35.0,Turnover by T. Chandler (bad pass; steal by R. Rubio),,8,9
31,1,7:29.0,,A. Wiggins makes 2-pt layup from 2 ft (assist by T. Prince),8,11
32,1,7:09.0,B. Knight misses 2-pt jump shot from 19 ft,,8,11
33,1,7:08.0,,Defensive rebound by R. Rubio,8,11
34,1,7:00.0,,Turnover by K. Towns (offensive goaltending),8,11
35,1,6:47.0,D. Booker misses 2-pt jump shot from 20 ft,,8,11
36,1,6:46.0,,Defensive rebound by R. Rubio,8,11
37,1,6:32.0,,Turnover by T. Prince (bad pass),8,11
38,1,6:32.0,Phoenix full timeout,,8,11
39,1,6:32.0,,N. Bjelica enters the game for K. Garnett,8,11
40,1,6:20.0,D. Booker makes 2-pt jump shot from 20 ft (assist by M. Morris),,10,11
41,1,6:05.0,,Offensive foul by N. Bjelica (drawn by D. Booker),10,11
42,1,6:05.0,,Turnover by N. Bjelica (offensive foul),10,11
43,1,5:55.0,D. Booker misses 2-pt layup from 2 ft,,10,11
44,1,5:54.0,,Defensive rebound by K. Towns,10,11
45,1,5:45.0,,K. Towns makes 2-pt layup at rim (assist by A. Wiggins),10,13
46,1,5:45.0,,Shooting foul by T. Chandler (drawn by K. Towns),10,13
47,1,5:45.0,,S. Muhammad enters the game for T. Prince,10,13
48,1,5:45.0,T. Warren enters the game for P. Tucker,,10,13
49,1,5:45.0,,K. Towns makes free throw 1 of 1,10,14
50,1,5:28.0,,Violation by K. Towns (def goaltending),10,14
51,1,5:28.0,M. Morris makes 2-pt hook shot from 6 ft,,12,14
52,1,5:17.0,,S. Muhammad misses 2-pt jump shot from 20 ft,12,14
53,1,5:16.0,Defensive rebound by T. Chandler,,12,14
54,1,5:09.0,B. Knight makes 2-pt jump shot from 20 ft,,14,14
55,1,4:48.0,,A. Wiggins misses 2-pt jump shot at rim,14,14
56,1,4:47.0,,Offensive rebound by A. Wiggins,14,14
57,1,4:47.0,,A. Wiggins makes 2-pt layup at rim,14,16
58,1,4:31.0,T. Warren misses 2-pt jump shot from 19 ft,,14,16
59,1,4:30.0,,Defensive rebound by N. Bjelica,14,16
60,1,4:18.0,,S. Muhammad misses 3-pt jump shot from 23 ft,14,16
61,1,4:16.0,,Offensive rebound by A. Wiggins,14,16
62,1,4:01.0,,Turnover by R. Rubio (bad pass; steal by M. Morris),14,16
63,1,3:57.0,Shooting foul by A. Wiggins (drawn by D. Booker),,14,16
64,1,3:57.0,D. Booker makes free throw 1 of 2,,15,16
65,1,3:57.0,,Z. LaVine enters the game for R. Rubio,15,16
66,1,3:57.0,D. Booker makes free throw 2 of 2,,16,16
67,1,3:45.0,,A. Wiggins makes 2-pt layup from 1 ft,16,18
68,1,3:34.0,B. Knight misses 3-pt jump shot from 24 ft,,16,18
69,1,3:33.0,Offensive rebound by Team,,16,18
70,1,3:33.0,,Loose ball foul by N. Bjelica (drawn by T. Chandler),16,18
71,1,3:33.0,S. Weems enters the game for D. Booker,,16,18
72,1,3:29.0,Shooting foul by N. Bjelica (drawn by T. Chandler),,16,18
73,1,3:29.0,T. Chandler misses free throw 1 of 2,,16,18
74,1,3:29.0,Offensive rebound by Team,,16,18
75,1,3:29.0,,G. Dieng enters the game for N. Bjelica,16,18
76,1,3:29.0,T. Chandler misses free throw 2 of 2,,16,18
77,1,3:29.0,,Defensive rebound by K. Towns,16,18
78,1,3:05.0,,G. Dieng makes 2-pt jump shot from 12 ft (assist by K. Towns),16,20
79,1,2:51.0,M. Morris misses 2-pt layup from 1 ft,,16,20
80,1,2:50.0,,Defensive rebound by K. Towns,16,20
81,1,2:43.0,,Turnover by G. Dieng (bad pass; steal by M. Morris),16,20
82,1,2:38.0,M. Morris makes 2-pt layup from 2 ft,,18,20
83,1,2:24.0,,Shooting foul by T. Warren (drawn by S. Muhammad),18,20
84,1,2:24.0,,Minnesota full timeout,18,20
85,1,2:24.0,,N. Peković enters the game for K. Towns,18,20
86,1,2:24.0,J. Leuer enters the game for T. Chandler,,18,20
87,1,2:24.0,,S. Muhammad misses free throw 1 of 2,18,20
