,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,CHARLOTTE_ACTION,CLEVELAND_SCORE,CHARLOTTE_SCORE
0,1,11:48.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Walker),0,3
1,1,11:32.0,Shooting foul by P. Hairston (drawn by T. Mozgov),,0,3
2,1,11:32.0,T. Mozgov makes free throw 1 of 2,,1,3
3,1,11:32.0,T. Mozgov makes free throw 2 of 2,,2,3
4,1,11:21.0,,K. Walker misses 2-pt jump shot from 6 ft,2,3
5,1,11:19.0,Defensive rebound by L. James,,2,3
6,1,11:13.0,L. James misses 2-pt jump shot from 4 ft,,2,3
7,1,11:12.0,Offensive rebound by Team,,2,3
8,1,11:02.0,T. Mozgov makes 2-pt jump shot from 10 ft,,4,3
9,1,10:49.0,,Turnover by N. Batum (step out of bounds),4,3
10,1,10:25.0,T. Mozgov misses 2-pt hook shot from 6 ft,,4,3
11,1,10:23.0,Offensive rebound by K. Love,,4,3
12,1,10:19.0,Personal foul by P. Hairston (drawn by T. Mozgov),,4,3
13,1,10:03.0,K. Love misses 2-pt jump shot from 6 ft,,4,3
14,1,10:02.0,,Defensive rebound by M. Williams,4,3
15,1,9:50.0,,P. Hairston misses 3-pt jump shot from 23 ft,4,3
16,1,9:48.0,Defensive rebound by K. Love,,4,3
17,1,9:29.0,K. Love misses 2-pt hook shot from 10 ft,,4,3
18,1,9:25.0,,Defensive rebound by A. Jefferson,4,3
19,1,9:19.0,,A. Jefferson misses 2-pt jump shot from 12 ft,4,3
20,1,9:18.0,Defensive rebound by J. Smith,,4,3
21,1,9:02.0,T. Mozgov misses 2-pt jump shot from 5 ft,,4,3
22,1,9:01.0,,Defensive rebound by N. Batum,4,3
23,1,8:50.0,,A. Jefferson misses 2-pt jump shot from 12 ft,4,3
24,1,8:49.0,Defensive rebound by K. Love,,4,3
25,1,8:45.0,Turnover by T. Mozgov (bad pass; steal by P. Hairston),,4,3
26,1,8:39.0,,P. Hairston misses 3-pt jump shot from 27 ft,4,3
27,1,8:38.0,Defensive rebound by T. Mozgov,,4,3
28,1,8:28.0,T. Mozgov makes 2-pt dunk at rim (assist by M. Williams),,6,3
29,1,8:05.0,,N. Batum makes 2-pt jump shot from 8 ft (assist by M. Williams),6,5
30,1,7:53.0,M. Williams makes 2-pt jump shot from 7 ft,,8,5
31,1,7:36.0,,M. Williams makes 2-pt jump shot from 6 ft (assist by N. Batum),8,7
32,1,7:10.0,K. Love makes 2-pt hook shot from 7 ft,,10,7
33,1,6:59.0,,P. Hairston makes 2-pt layup at rim (assist by N. Batum),10,9
34,1,6:38.0,M. Williams makes 2-pt jump shot from 12 ft,,12,9
35,1,6:20.0,,N. Batum misses 3-pt jump shot from 26 ft,12,9
36,1,6:19.0,Defensive rebound by K. Love,,12,9
37,1,6:10.0,L. James misses 2-pt layup from 2 ft (block by M. Williams),,12,9
38,1,6:08.0,,Defensive rebound by P. Hairston,12,9
39,1,6:04.0,,K. Walker misses 2-pt layup from 2 ft,12,9
40,1,6:01.0,,Offensive rebound by N. Batum,12,9
41,1,6:01.0,,N. Batum makes 2-pt layup from 1 ft,12,11
42,1,5:37.0,K. Love misses 2-pt jump shot from 17 ft,,12,11
43,1,5:35.0,,Defensive rebound by N. Batum,12,11
44,1,5:28.0,,N. Batum misses 2-pt layup at rim,12,11
45,1,5:27.0,Defensive rebound by L. James,,12,11
46,1,5:20.0,J. Smith misses 3-pt jump shot from 24 ft,,12,11
47,1,5:18.0,,Defensive rebound by K. Walker,12,11
48,1,5:12.0,,M. Williams misses 3-pt jump shot from 25 ft,12,11
49,1,5:10.0,,Offensive rebound by N. Batum,12,11
50,1,5:10.0,,N. Batum makes 2-pt dunk at rim,12,13
51,1,5:10.0,Cleveland full timeout,,12,13
52,1,5:10.0,T. Thompson enters the game for K. Love,,12,13
53,1,5:10.0,R. Jefferson enters the game for T. Mozgov,,12,13
54,1,5:10.0,K. Love enters the game for L. James,,12,13
55,1,5:10.0,,C. Zeller enters the game for M. Williams,12,13
56,1,4:55.0,Turnover by M. Williams (bad pass),,12,13
57,1,4:42.0,,A. Jefferson makes 2-pt jump shot from 16 ft (assist by K. Walker),12,15
58,1,4:25.0,M. Williams makes 2-pt jump shot from 17 ft,,14,15
59,1,4:10.0,,K. Walker misses 3-pt jump shot from 27 ft,14,15
60,1,4:09.0,Defensive rebound by T. Thompson,,14,15
61,1,4:03.0,Turnover by M. Williams (bad pass; steal by C. Zeller),,14,15
62,1,3:59.0,,Shooting foul by M. Williams (drawn by C. Zeller),14,15
63,1,3:59.0,,C. Zeller misses free throw 1 of 2,14,15
64,1,3:59.0,,Offensive rebound by Team,14,15
