,QUARTER,TIME_REMAINING,DALLAS_ACTION,BOSTON_ACTION,DALLAS_SCORE,BOSTON_SCORE
0,1,11:46.0,,M. Smart misses 3-pt jump shot from 23 ft,0,0
1,1,11:45.0,Defensive rebound by Z. Pachulia,,0,0
2,1,11:21.0,D. Williams misses 3-pt jump shot from 25 ft,,0,0
3,1,11:20.0,,Defensive rebound by J. Crowder,0,0
4,1,11:12.0,,I. Thomas misses 2-pt jump shot from 15 ft,0,0
5,1,11:11.0,Defensive rebound by Z. Pachulia,,0,0
6,1,10:53.0,D. Nowitzki misses 2-pt jump shot from 12 ft,,0,0
7,1,10:52.0,,Defensive rebound by J. Crowder,0,0
8,1,10:37.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by J. Sullinger),0,3
9,1,10:23.0,C. Parsons misses 2-pt layup from 1 ft,,0,3
10,1,10:22.0,,Defensive rebound by Team,0,3
11,1,10:01.0,,I. Thomas makes 2-pt layup at rim,0,5
12,1,9:52.0,D. Williams misses 2-pt jump shot from 3 ft,,0,5
13,1,9:51.0,,Defensive rebound by J. Sullinger,0,5
14,1,9:43.0,,M. Smart makes 2-pt jump shot from 13 ft,0,7
15,1,9:40.0,Dallas full timeout,,0,7
16,1,9:22.0,W. Matthews misses 3-pt jump shot from 24 ft,,0,7
17,1,9:21.0,,Defensive rebound by M. Smart,0,7
18,1,9:03.0,,J. Sullinger misses 3-pt jump shot from 24 ft,0,7
19,1,9:02.0,Defensive rebound by D. Nowitzki,,0,7
20,1,8:52.0,Personal foul by J. Crowder (drawn by D. Nowitzki),,0,7
21,1,8:43.0,W. Matthews misses 2-pt jump shot from 19 ft,,0,7
22,1,8:42.0,Offensive rebound by Z. Pachulia,,0,7
23,1,8:40.0,D. Nowitzki makes 2-pt jump shot from 20 ft (assist by Z. Pachulia),,2,7
24,1,8:25.0,,I. Thomas makes 2-pt jump shot from 5 ft,2,9
25,1,8:00.0,Shooting foul by M. Smart (drawn by W. Matthews),,2,9
26,1,8:00.0,W. Matthews makes free throw 1 of 3,,3,9
27,1,8:00.0,W. Matthews makes free throw 2 of 3,,4,9
28,1,8:00.0,W. Matthews makes free throw 3 of 3,,5,9
29,1,7:50.0,,A. Johnson makes 2-pt jump shot from 8 ft (assist by I. Thomas),5,11
