,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MILWAUKEE_ACTION,CHICAGO_SCORE,MILWAUKEE_SCORE
0,1,11:36.0,T. Gibson makes 2-pt jump shot from 10 ft,,2,0
1,1,11:22.0,,M. Carter-Williams misses 2-pt dunk at rim,2,0
2,1,11:20.0,,Offensive rebound by J. Parker,2,0
3,1,11:04.0,,G. Monroe misses 2-pt hook shot from 5 ft,2,0
4,1,11:03.0,Defensive rebound by P. Gasol,,2,0
5,1,10:49.0,N. Mirotić makes 3-pt jump shot from 26 ft (assist by T. Gibson),,5,0
6,1,10:29.0,,G. Antetokounmpo misses 2-pt layup at rim,5,0
7,1,10:27.0,Defensive rebound by N. Mirotić,,5,0
8,1,10:17.0,Turnover by D. Rose (bad pass; steal by M. Carter-Williams),,5,0
9,1,10:14.0,,M. Carter-Williams makes 2-pt layup from 1 ft,5,2
10,1,9:58.0,P. Gasol makes 2-pt jump shot from 15 ft (assist by J. Butler),,7,2
11,1,9:42.0,,K. Middleton misses 2-pt jump shot from 8 ft,7,2
12,1,9:41.0,,Offensive rebound by G. Monroe,7,2
13,1,9:41.0,,G. Monroe misses 2-pt layup from 1 ft,7,2
14,1,9:29.0,Defensive rebound by J. Butler,,7,2
15,1,9:29.0,Turnover by P. Gasol (bad pass; steal by J. Parker),,7,2
16,1,9:22.0,,J. Parker misses 2-pt layup from 2 ft (block by P. Gasol),7,2
17,1,9:21.0,,Offensive rebound by J. Parker,7,2
18,1,9:20.0,,J. Parker makes 2-pt jump shot from 18 ft,7,4
19,1,9:03.0,J. Butler makes 3-pt jump shot from 26 ft (assist by P. Gasol),,10,4
20,1,8:55.0,,Milwaukee full timeout,10,4
21,1,8:36.0,,J. Parker misses 2-pt jump shot from 14 ft,10,4
22,1,8:35.0,Defensive rebound by P. Gasol,,10,4
23,1,8:24.0,D. Rose makes 3-pt jump shot from 27 ft (assist by J. Butler),,13,4
24,1,8:09.0,,J. Parker makes 2-pt jump shot from 18 ft (assist by G. Monroe),13,6
25,1,7:56.0,N. Mirotić misses 3-pt jump shot from 22 ft,,13,6
26,1,7:55.0,,Defensive rebound by G. Monroe,13,6
27,1,7:46.0,,G. Antetokounmpo misses 2-pt jump shot from 15 ft,13,6
28,1,7:45.0,,Offensive rebound by G. Monroe,13,6
29,1,7:32.0,,M. Carter-Williams misses 2-pt layup from 4 ft (block by N. Mirotić),13,6
30,1,7:29.0,Defensive rebound by N. Mirotić,,13,6
31,1,7:22.0,N. Mirotić misses 3-pt jump shot from 24 ft,,13,6
32,1,7:21.0,Offensive rebound by T. Gibson,,13,6
33,1,7:17.0,J. Butler makes 2-pt jump shot from 19 ft (assist by D. Rose),,15,6
34,1,7:03.0,,J. Parker misses 2-pt jump shot from 18 ft,15,6
35,1,7:02.0,Defensive rebound by N. Mirotić,,15,6
36,1,6:53.0,D. Rose makes 2-pt jump shot from 3 ft,,17,6
37,1,6:51.0,,Milwaukee full timeout,17,6
38,1,6:51.0,,O. Mayo enters the game for J. Parker,17,6
39,1,6:51.0,,J. Henson enters the game for G. Monroe,17,6
40,1,6:40.0,,Def 3 sec tech foul by T. Gibson,17,6
41,1,6:40.0,,K. Middleton makes technical free throw,17,7
42,1,6:40.0,Violation by J. Butler (kicked ball),,17,7
43,1,6:27.0,,J. Henson makes 2-pt hook shot from 5 ft (assist by O. Mayo),17,9
44,1,6:15.0,P. Gasol misses 2-pt jump shot from 17 ft,,17,9
