,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,BOSTON_ACTION,CHARLOTTE_SCORE,BOSTON_SCORE
0,1,11:41.0,,J. Sullinger makes 2-pt jump shot from 9 ft,0,2
1,1,11:22.0,N. Batum makes 2-pt layup at rim (assist by A. Jefferson),,2,2
2,1,11:00.0,,Shooting foul by C. Lee (drawn by A. Johnson),2,2
3,1,11:00.0,,A. Johnson makes free throw 1 of 2,2,3
4,1,11:00.0,,A. Johnson makes free throw 2 of 2,2,4
5,1,10:47.0,N. Batum makes 2-pt jump shot from 13 ft,,4,4
6,1,10:38.0,,A. Bradley misses 3-pt jump shot from 24 ft,4,4
7,1,10:37.0,Defensive rebound by C. Lee,,4,4
8,1,10:18.0,A. Jefferson makes 2-pt hook shot from 7 ft,,6,4
9,1,10:04.0,,Turnover by I. Thomas (lost ball; steal by A. Jefferson),6,4
10,1,9:56.0,N. Batum misses 3-pt jump shot from 25 ft,,6,4
11,1,9:54.0,,Defensive rebound by I. Thomas,6,4
12,1,9:50.0,,I. Thomas misses 3-pt jump shot from 25 ft,6,4
13,1,9:48.0,Defensive rebound by K. Walker,,6,4
14,1,9:34.0,A. Jefferson makes 2-pt jump shot from 11 ft,,8,4
15,1,9:22.0,,A. Johnson misses 3-pt jump shot from 25 ft,8,4
16,1,9:21.0,Defensive rebound by N. Batum,,8,4
17,1,9:05.0,K. Walker makes 3-pt jump shot from 25 ft (assist by N. Batum),,11,4
18,1,8:46.0,,A. Bradley makes 2-pt jump shot from 19 ft (assist by I. Thomas),11,6
19,1,8:19.0,K. Walker misses 3-pt jump shot from 25 ft,,11,6
20,1,8:18.0,,Defensive rebound by A. Johnson,11,6
21,1,8:06.0,,I. Thomas makes 2-pt jump shot from 12 ft (assist by J. Sullinger),11,8
22,1,7:41.0,Turnover by N. Batum (bad pass; steal by A. Johnson),,11,8
23,1,7:35.0,,J. Crowder makes 2-pt layup from 1 ft (assist by A. Bradley),11,10
24,1,7:12.0,K. Walker misses 3-pt jump shot from 25 ft,,11,10
25,1,7:11.0,,Defensive rebound by A. Bradley,11,10
26,1,7:00.0,,I. Thomas misses 2-pt jump shot from 15 ft,11,10
27,1,6:59.0,Defensive rebound by A. Jefferson,,11,10
